Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,19.46,19.46,19.1,19.19,53111,19.5085,19.3408384674919,-0.028605962227089776,42.217483882506436,-0.7699999999999996,20.421500259410816,18.595499740589187,0.5830000000000002,91824.4,392640,19.46,19.85,19.96
2023-08-15,19.06,19.06,18.45,18.72,56748,19.532999999999998,19.281710994397432,-0.07691712333813072,31.168831074380165,-0.7800000000000011,20.319011919020383,18.746988080979612,0.5480000000000003,90158.7,335892,19.19,19.62,19.5
2023-08-16,18.7,18.98,18.58,18.61,58297,19.5075,19.217738518740536,-0.12078203437706847,43.63636345123965,-0.8200000000000003,20.37843114115387,18.63656885884613,0.46925000000000033,86188.1,277595,18.72,19.39,19.43
2023-08-17,18.66,18.76,18.56,18.73,46601,19.476000000000003,19.171287231241436,-0.14521690100462337,26.190476044973636,-0.870000000000001,20.412497393707564,18.53950260629244,0.417285714285715,82497.25,324196,18.61,19.37,19.6
2023-08-18,18.53,18.95,18.503,18.69,60670,19.4465,19.125450352075585,-0.16523077087417803,24.90118563295792,-0.9199999999999982,20.444166224113477,18.448833775886524,0.4192142857142862,79990.25,263526,18.73,19.46,19.61
2023-08-21,18.75,18.76,18.27,18.27,29747,19.366999999999997,19.043978889973147,-0.20804380115302123,25.30120467702139,-1.5800000000000018,20.47340432316391,18.260595676836086,0.4085000000000006,77425.85,233779,18.69,19.19,19.85
2023-08-22,18.32,18.5,17.72,17.72,62973,19.257,18.917885662356657,-0.2775525532740133,21.212121112131456,-1.9000000000000021,20.553101035697775,17.960898964302228,0.4442142857142863,75093.55,170806,18.27,18.72,19.62
2023-08-23,17.75,17.94,17.75,17.82,69113,19.125,18.813325123084596,-0.3213782147666606,19.310344734363895,-1.5700000000000003,20.442789217231887,17.807210782768113,0.41850000000000065,72956.6,239919,17.72,18.61,19.39
2023-08-24,17.75,17.885,17.51,17.6,65798,19.053500000000003,18.697770349457493,-0.36753562930027783,17.684887380196756,-1.7699999999999996,20.537665900784894,17.569334099215112,0.412428571428572,68201.55,174121,17.82,18.73,19.37
2023-08-25,17.72,17.91,17.35,17.39,42770,18.9265,18.573220792366303,-0.414413138812602,10.064935019185413,-2.0700000000000003,20.525147783860504,17.327852216139497,0.4288571428571432,63298.6,131351,17.6,18.69,19.46
2023-08-28,17.43,17.675,17.28,17.49,48819,18.803000000000004,18.470056907379035,-0.4389358009603441,13.898305018787696,-1.7000000000000028,20.446476418097358,17.15952358190265,0.4183571428571433,61360.1,180170,17.39,18.27,19.19
2023-08-29,17.49,18.19,17.43,17.99,96198,18.7275,18.424337201914366,-0.4164345519622117,28.26086944234403,-0.7300000000000004,20.374888683245153,17.080111316754845,0.4380000000000006,61359.5,276368,17.49,17.72,18.72
2023-08-30,17.99,18.22,17.81,17.98,79908,18.655,18.382019373160617,-0.39477205110668123,28.348909533680768,-0.629999999999999,20.299838817891317,17.010161182108686,0.4405000000000006,61682.15,196460,17.99,17.82,18.61
2023-08-31,17.98,18.225,17.79,17.92,73525,18.571,18.3380175280977,-0.37772290138926223,25.786163408488605,-0.8099999999999987,20.183920202287567,16.958079797712436,0.4580000000000007,62463.15,122935,17.98,17.6,18.73
2023-09-01,18.05,18.36,18.0459,18.26,49766,18.5035,18.33058728732649,-0.33471781722481,35.69230753855621,-0.4299999999999997,20.044740443689157,16.96225955631084,0.4547214285714293,62262.3,172701,17.92,17.39,18.69
2023-09-05,18.23,18.23,17.86,17.88,46950,18.405,18.287674212343017,-0.32566892820985416,36.70886059685949,-0.39000000000000057,19.83143464255243,16.97856535744757,0.43757857142857226,62377.4,125751,18.26,17.49,18.27
2023-09-06,17.78,18.15,17.3,17.44,83229,18.296,18.206943334977016,-0.3479290790846079,33.23782221623797,-0.2799999999999976,19.66346249828305,16.92853750171695,0.4697214285714291,63420.8,42522,17.88,17.99,17.72
2023-09-07,17.38,17.6,17.09,17.13,111801,18.183,18.104377303074443,-0.3847569508718429,28.260869457703194,-0.6900000000000013,19.5433111099265,16.8226888900735,0.49186428571428614,65642.75,-69279,17.44,17.98,17.82
2023-09-08,17.25,17.56,17.07,17.55,69093,18.092,18.0515794646864,-0.37729967963136346,35.96059100900288,-0.05000000000000071,19.35821857263436,16.825781427365637,0.49493571428571465,66463.15,-186,17.13,17.92,17.6
2023-09-11,17.6,17.6,17.21,17.32,46275,17.985,17.981905229954364,-0.3846385099488465,37.72609805473764,-0.07000000000000028,19.11927927499545,16.85072072500455,0.4877928571428574,62569.6,-46461,17.55,18.26,17.39
2023-09-12,17.37,17.6996,16.95,17.62,40794,17.9065,17.947438065196806,-0.36305019803657856,48.618784342358325,0.13000000000000256,18.897964095482823,16.91503590451718,0.4856214285714288,61953.75,-5667,17.32,17.88,17.49
2023-09-13,17.575,17.82,17.47,17.81,76300,17.861,17.934348725654253,-0.3274248767215653,49.86522892234143,-0.17999999999999972,18.775834468777358,16.946165531222643,0.49705000000000027,62931.35,70633,17.62,17.44,17.99
2023-09-14,17.89,18.2325,17.89,17.9,72962,17.825499999999998,17.931077418449085,-0.28886267298100066,54.18994392216219,-0.08000000000000185,18.670384918977597,16.9806150810224,0.4947285714285718,63664.6,143595,17.81,17.13,17.98
2023-09-15,17.96,18.02,17.54,17.66,187167,17.772,17.905260521453933,-0.27385965307556503,53.73961197995719,-0.26000000000000156,18.503648463187208,17.04035153681279,0.4890142857142862,70692.9,-43572,17.9,17.55,17.92
2023-09-18,17.67,17.84,17.29,17.32,41158,17.7035,17.849521424172607,-0.2852494683318767,47.79220761841797,-0.9400000000000013,18.320872190054445,17.086127809945552,0.5000857142857148,69717.3,-84730,17.66,17.32,18.26
2023-09-19,17.27,17.45,17.1468,17.28,40911,17.654000000000003,17.795281288537122,-0.29400029204322564,39.528023435577516,-0.5999999999999979,18.237975486147366,17.07002451385264,0.46745714285714335,70275.5,-125641,17.32,17.62,17.88
2023-09-20,17.4,17.56,17.09,17.12,38930,17.624000000000002,17.73096878486692,-0.30990850781337187,37.853107194931226,-0.3200000000000003,18.253566266734904,16.9944337332651,0.4717428571428575,69073.35,-164571,17.28,17.81,17.44
2023-09-21,17.04,17.25,16.9,17.15,61119,17.5905,17.675638424403406,-0.31648688423044646,39.03133887565842,0.019999999999999574,18.246884835772104,16.934115164227894,0.4656714285714289,68673.65,-103452,17.12,17.9,17.13
2023-09-22,17.18,17.38,16.78,17.28,54212,17.5745,17.637958574460225,-0.30788718009742055,35.15151500238751,-0.2699999999999996,18.245350991377055,16.903649008622946,0.4860928571428573,68094.35,-49240,17.15,17.66,17.55
2023-09-25,17.17,17.89,17.1248,17.7,79212,17.59,17.64386728165449,-0.26484211705261984,47.30538902327082,0.379999999999999,18.25721731644826,16.92278268355174,0.5143214285714287,69916.45,29972,17.28,17.32,17.32
2023-09-26,17.51,17.71,17.165,17.33,65323,17.582,17.613975159592158,-0.257032700555726,48.31804260658937,-0.2900000000000027,18.258044221537084,16.905955778462918,0.4925357142857147,70741.65,-35351,17.7,17.28,17.62
2023-09-27,17.36,17.49,17.13,17.37,55393,17.551000000000002,17.59073943010719,-0.2448457821867116,53.99999974800003,-0.4399999999999977,18.204763195499314,16.89723680450069,0.4818214285714288,68701.4,20042,17.33,17.12,17.81
2023-09-28,17.41,17.75,17.37,17.43,54823,17.523500000000002,17.575430912954126,-0.22779719176714508,47.72727247417353,-0.46999999999999886,18.146844966586258,16.900155033413746,0.473964285714286,67447.15,74865,17.37,17.15,17.9
2023-09-29,17.54,17.59,17.16,17.22,52633,17.4885,17.541580349815636,-0.22832972251707417,48.09160279645705,-0.4400000000000013,18.09652614209726,16.880473857902736,0.4768214285714288,66402.55,22232,17.43,17.28,17.66
2023-10-02,17.18,17.24,16.91,17.05,44182,17.428,17.494763173642717,-0.2395026324868752,38.55421665069916,-0.2699999999999996,17.947092325222847,16.908907674777154,0.44685,66123.35,-21950,17.22,17.7,17.32
2023-10-03,16.99,16.99,16.55,16.7,56086,17.369,17.4190714428196,-0.27306323068534155,29.05660362007832,-0.5800000000000018,17.937651220456193,16.800348779543807,0.4532785714285712,66580.15,-78036,17.05,17.33,17.28
2023-10-04,16.71,16.71,16.37,16.66,59934,17.330000000000002,17.34677892445583,-0.2993851945151462,26.15384601301777,-0.46000000000000085,17.9794045855932,16.680595414406802,0.45309999999999967,65415.4,-137970,16.7,17.37,17.12
2023-10-05,16.83,17.53,16.76,17.5,112062,17.3485,17.361371407840988,-0.2503519737640971,47.4999997921875,0.3500000000000014,17.99498930466995,16.702010695330053,0.47381428571428535,65428.45,-25908,16.66,17.43,17.15
2023-10-06,17.41,17.43,16.66,17.01,104727,17.3215,17.327907464237086,-0.247753763931005,45.37313413873916,-0.2699999999999996,17.977589692199572,16.66541030780043,0.489528571428571,67210.15,-130635,17.5,17.22,17.28
2023-10-09,16.89,17.36,16.76,16.92,153344,17.3015,17.289059134309746,-0.24999886492898327,44.70588216885814,-0.7799999999999976,17.981725194909362,16.62127480509064,0.5107285714285708,72563.6,-283979,17.01,17.05,17.7
2023-10-10,16.99,17.28,16.96,17.14,60280,17.2775,17.274863026280247,-0.2315156136125225,50.28901713755889,-0.18999999999999773,17.944145175092185,16.610854824907815,0.5000142857142852,73537.9,-223699,16.92,16.7,17.33
2023-10-11,17.11,17.49,17.1,17.13,56980,17.2435,17.26106654758689,-0.21518517464626186,49.7093021232761,-0.240000000000002,17.863526315231017,16.623473684768985,0.5028714285714277,72571.9,-280679,17.14,16.66,17.37
2023-10-12,17.24,17.5046,16.89,16.99,59663,17.198,17.235250685911947,-0.21101696191704988,45.79710126343201,-0.4400000000000013,17.744360205070077,16.651639794929924,0.503914285714285,71906.95,-340342,17.13,17.5,17.43
2023-10-13,17.15,17.15,16.59,16.64,75344,17.147,17.178560144396524,-0.23306085154334966,34.31952648506706,-0.5799999999999983,17.70213298548992,16.591867014510076,0.489257142857142,66315.8,-415686,16.99,17.01,17.22
2023-10-16,16.76,16.995,16.63,16.76,118284,17.119,17.138697273501617,-0.23816316814380656,40.8945685071809,-0.28999999999999915,17.693544212947607,16.544455787052392,0.47639999999999916,70172.1,-297402,16.64,16.92,17.05
2023-10-17,16.82,17.41,16.82,17.28,147348,17.119,17.152154676025273,-0.19822115682574548,48.75346241480653,0.5800000000000018,17.693544212947607,16.544455787052392,0.4928285714285706,75493.95,-150054,16.76,17.14,16.7
2023-10-18,17.12,17.22,16.76,16.79,53188,17.1025,17.117663754499056,-0.20353125942849104,42.07920777497303,0.129999999999999,17.69557849839896,16.50942150160104,0.49854285714285623,76206.85,-203242,17.28,17.13,16.66
2023-10-19,16.79,16.9,16.43,16.48,134843,17.069,17.056933873118194,-0.22996676071177902,41.06280179350745,-1.0199999999999996,17.723310404367197,16.4146895956328,0.5013999999999991,79893.05,-338085,16.79,16.99,17.5
2023-10-20,16.52,16.52,16.04,16.08,92443,17.009,16.96389255186884,-0.27980475167910157,38.90160170603603,-0.9300000000000033,17.789712225437373,16.228287774562627,0.5121142857142849,81804.6,-430528,16.48,16.64,17.01
2023-10-23,16.01,16.11,15.75,15.8,139942,16.913999999999998,16.853045642167046,-0.33789179686457516,39.53488359221201,-1.120000000000001,17.796446360379697,16.0315536396203,0.5063999999999993,84841.1,-570470,16.08,16.76,16.92
2023-10-24,15.91,16.09,15.505,15.8,99815,16.8375,16.75275558100828,-0.37954572267339515,39.906103155238156,-1.3399999999999999,17.826893753770463,15.848106246229532,0.5238999999999993,86565.7,-570470,15.8,17.28,17.14
2023-10-25,15.75,16.195,15.19,15.57,157227,16.7475,16.640112192340826,-0.42612614545416605,23.561643745243003,-1.5599999999999987,17.853538449888426,15.641461550111572,0.5406857142857137,91657.4,-727697,15.8,16.79,17.13
2023-10-26,15.73,16.36,15.33,16.16,173133,16.684,16.5943872216417,-0.41086600775364346,38.6666665223111,-0.8299999999999983,17.770712086016694,15.597287913983308,0.5592571428571421,97572.9,-554564,15.57,16.48,16.99
2023-10-27,16.17,17.53,16.15,17.5,139150,16.698,16.680636057675823,-0.28769194511625074,55.79999984375999,0.8599999999999994,17.820414690229114,15.575585309770885,0.6149714285714282,101898.75,-415414,16.16,16.08,16.64
2023-10-30,17.96,18.06,17.51,17.68,234679,16.729499999999998,16.775813575992412,-0.17359776860187281,55.44354823060288,0.9199999999999982,17.92639906358935,15.532600936410645,0.6313999999999994,111423.6,-180735,17.5,15.8,16.76
2023-10-31,17.75,18.29,17.72,18.24,113639,16.8065,16.915259902088373,-0.03768881032129201,60.07259512867217,0.9599999999999973,18.18045740376783,15.432542596232171,0.6442571428571425,114301.25,-67096,17.68,15.8,17.28
2023-11-01,18.23,18.23,17.64,18.06,104359,16.8765,17.024282768556148,0.05489795473090098,59.639639489197315,1.2699999999999996,18.357513522096134,15.395486477903868,0.6424999999999997,116522.5,-171455,18.24,15.57,16.79
2023-11-02,18.19,18.52,18.1723,18.5,110751,16.926499999999997,17.164827266788897,0.16182185355850365,66.48936153708314,2.0199999999999996,18.556201619444817,15.29679838055518,0.627335714285714,116456.95,-60704,18.06,16.16,16.48
2023-11-03,18.73,19.515,18.5591,19.47,174510,17.049500000000002,17.384367527094717,0.3209480136829903,70.87827411520864,3.3900000000000006,19.03764883483951,15.061351165160493,0.6695428571428568,119946.1,113806,18.5,17.5,16.08
2023-11-06,19.39,19.59,19.04,19.4,101400,17.173499999999997,17.576332524514267,0.436385047016568,67.54966871760008,3.599999999999998,19.420184340604123,14.92681565939587,0.666685714285714,117348.9,12406,19.47,17.68,15.8
2023-11-07,19.34,19.515,19.13,19.37,71043,17.285,17.747157998370053,0.5194617343099956,73.11827938644163,3.5700000000000003,19.736676118387926,14.833323881612074,0.6613285714285714,117887.05,-58637,19.4,18.24,15.8
2023-11-08,19.36,19.36,19.06,19.34,69172,17.3955,17.898857236620525,0.5762384054017495,76.98113187212532,3.7699999999999996,20.01147098808957,14.779529011910428,0.6491857142857144,118496.65,-127809,19.37,18.06,15.57
2023-11-09,19.35,19.565,19.21,19.28,89735,17.509999999999998,18.030394642656667,0.6093737036327518,82.25806428394908,3.120000000000001,20.24882033768286,14.771179662317136,0.640257142857143,120000.25,-217544,19.34,18.5,16.16
2023-11-10,19.34,19.692,19.22,19.51,232269,17.6535,18.17130943859413,0.6467065940919277,87.78004048290828,2.0100000000000016,20.499056277130325,14.807943722869677,0.6482571428571431,127846.5,14725,19.28,19.47,17.5
2023-11-13,19.31,19.76,18.9,19.64,167044,17.7975,18.311184730156594,0.678939216190841,88.09523785052913,1.9600000000000009,20.74242516212659,14.852574837873409,0.6679000000000005,130284.5,181769,19.51,19.4,17.68
2023-11-14,20.12,21.425,20.12,21.36,148739,18.0015,18.6015480891893,0.8334775361018707,94.33384359560894,3.120000000000001,21.335094709050658,14.667905290949344,0.6893285714285718,130354.05,330508,19.64,19.37,18.24
2023-11-15,21.31,21.62,20.05,21.28,117300,18.226000000000003,18.85663874736175,0.9386785174486825,92.52491672834743,3.2200000000000024,21.811317427039285,14.64068257296072,0.7279000000000005,133559.65,213208,21.36,19.34,18.06
2023-11-16,21.25,21.25,20.64,20.8,239522,18.442,19.041720771422536,0.9721538927782305,81.97674396362905,2.3000000000000007,22.104116730439983,14.779883269560017,0.6729000000000003,138793.6,-26314,21.28,19.28,18.5
2023-11-17,21.16,21.485,21.015,21.04,111927,18.69,19.232033078906102,1.006425025309703,82.18390782556045,1.5700000000000003,22.35040549953863,15.029594500461371,0.6671857142857147,139767.8,85613,20.8,19.51,19.47
2023-11-20,21.13,21.17,20.76,21.16,84947,18.958000000000002,19.41564897615314,1.0313674422524741,80.54393281849063,1.7600000000000016,22.51077563840473,15.405224361595273,0.6557571428571433,137018.05,170560,21.04,19.64,19.4
2023-11-21,21.1,21.105,20.59,20.69,73876,19.2025,19.537015740329032,1.0016950776054792,75.93688341950373,1.3200000000000003,22.504390208254726,15.900609791745273,0.6504000000000004,135721.1,96684,21.16,21.36,19.37
2023-11-22,20.93,21.1,20.55,20.68,56401,19.458000000000002,19.64587138410722,0.9662338147785441,73.49137908860362,1.3399999999999999,22.340583636436705,16.5754163635633,0.6648500000000005,130679.8,40283,20.69,21.28,19.34
2023-11-24,20.65,20.91,20.56,20.68,25284,19.683999999999997,19.744359823716056,0.9274384488900225,66.48501337035694,1.3999999999999986,22.15761146589567,17.210388534104325,0.6215714285714292,123287.35,40283,20.68,20.8,19.28
2023-11-27,20.65,20.72,20.48,20.56,72122,19.836999999999996,19.822039840505003,0.8769074430394852,65.59139760261304,1.0499999999999972,22.112425697592244,17.56157430240775,0.5994285714285719,119935.95,-31839,20.68,21.04,19.51
2023-11-28,20.57,20.7,20.39,20.47,75311,19.9765,19.88375033188548,0.8201489586198321,64.55026431118947,0.8299999999999983,22.026005973848847,17.926994026151156,0.5940714285714288,111967.55,-107150,20.56,21.16,19.64
2023-11-29,20.65,21.06,20.65,20.71,67658,20.1,19.962440776467815,0.7854664731325798,67.16791956382185,-0.6499999999999986,22.00123505565254,18.198764944347463,0.6019285714285717,109668.5,-39492,20.47,20.69,21.36
2023-11-30,20.9,21.29,20.615,21.0,180530,20.247,20.061255940613737,0.772462382950323,70.37914668594595,-0.28000000000000114,21.925722571982696,18.568277428017304,0.6247857142857145,113477.05,141038,20.71,20.68,21.28
2023-12-01,21.08,22.09,20.98,21.98,202571,20.421,20.243993470079097,0.8316053700789077,74.8490943565619,1.1799999999999997,22.05818500385329,18.78381499614671,0.670357142857143,118068.05,343609,21.0,20.68,20.8
2023-12-04,21.94,22.49,21.94,22.24,101724,20.5595,20.434089330071565,0.8891949534835071,75.49019587120338,1.1999999999999993,22.321824720660928,18.797175279339072,0.6482142857142854,114428.75,445333,21.98,20.56,21.04
2023-12-05,22.25,22.43,22.0,22.43,99864,20.711000000000002,20.62417606054094,0.9393304853684548,64.98599414291206,1.2699999999999996,22.571830601187486,18.85016939881252,0.5857142857142854,114351.95,545197,22.24,20.47,21.16
2023-12-06,22.64,23.0,22.31,22.43,130332,20.863999999999997,20.796159292870374,0.9679048879099277,66.47564443247589,1.7399999999999984,22.763378291635664,18.96462170836433,0.5228571428571426,117316.4,545197,22.43,20.71,20.69
2023-12-07,22.51,23.01,22.3,22.95,122785,21.044500000000003,21.00128697926367,1.0207264346010554,80.45325747129017,2.2699999999999996,23.018728430232134,19.070271569767872,0.5299999999999999,119997.05,667982,22.43,21.0,20.68
2023-12-08,22.9,23.14,22.86,22.97,142531,21.229,21.188783457429036,1.0520726106917486,79.15407821505826,2.289999999999999,23.1985994783872,19.259400521612797,0.5164285714285715,122636.85,810513,22.95,21.98,20.68
2023-12-11,23.05,23.28,22.83,23.28,176273,21.4175,21.387946937673888,1.0893624444285805,80.28571396457141,2.7200000000000024,23.41580322760928,19.41919677239072,0.5192857142857145,119837.05,986786,22.97,22.24,20.56
2023-12-12,23.99,25.0,23.68,24.69,188874,21.67,21.702428181704946,1.2186067218328702,95.04504474535341,4.220000000000002,23.975252583489322,19.36474741651068,0.5767857142857145,120928.55,1175660,23.28,22.43,20.47
2023-12-13,24.87,25.94,24.8,25.59,241911,21.8815,22.072673116780663,1.377752440853687,96.06003727113685,4.879999999999999,24.769517167174513,18.993482832825485,0.6189285714285716,125587.15,1417571,24.69,22.43,20.71
2023-12-14,26.12,26.66,25.7119,26.36,192192,22.1355,22.48098996280155,1.5481454220429995,96.55737682757322,5.359999999999999,25.630545967621806,18.640454032378194,0.6616500000000001,129331.75,1609763,25.59,22.95,21.0
2023-12-15,26.59,26.74,25.72,26.02,245242,22.3965,22.818038537772832,1.636884551114349,93.19620232519829,4.039999999999999,26.234434065970493,18.558565934029506,0.7173642857142859,129617.75,1364521,26.36,22.97,21.98
2023-12-18,26.36,26.42,25.87,26.23,182311,22.656,23.142987248461132,1.704502970893543,94.72049668849581,3.990000000000002,26.797575596443046,18.51442440355695,0.7345071428571431,133136.95,1546832,26.02,23.28,22.24
2023-12-19,26.29,26.87,26.29,26.86,208767,22.941,23.496988462893405,1.788300812574704,95.02196173787593,4.43,27.419866867975937,18.46213313202406,0.7466500000000005,139327.95,1755599,26.23,24.69,22.43
2023-12-20,26.86,27.77,26.68,26.78,249664,23.2455,23.80965622833213,1.8271935608480803,93.65558892580391,4.350000000000001,27.90445165528853,18.58654834471147,0.7762928571428576,148117.35,1505935,26.86,25.59,22.43
2023-12-21,27.07,27.07,26.6,26.66,113794,23.5445,24.081117539919546,1.8272707662503898,90.62499977973091,3.710000000000001,28.27717911218871,18.81182088781129,0.7305785714285717,150987.0,1392141,26.78,26.36,22.95
2023-12-22,26.93,27.1806,26.62,26.93,153126,23.857000000000003,24.35243967897483,1.8280419382483224,90.64124761369543,3.960000000000001,28.61857470635613,19.095425293643874,0.7313357142857146,157379.1,1545267,26.66,26.02,22.97
2023-12-26,26.83,27.59,26.7322,27.35,182729,24.1965,24.63792161431056,1.8413122907855204,90.99999978766668,4.07,28.936485676194206,19.456514323805795,0.7618928571428576,162909.45,1727996,26.93,26.23,23.28
2023-12-27,27.38,27.61,27.2537,27.41,81487,24.5435,24.901929079614316,1.8355108008209662,91.08910870045422,2.719999999999999,29.149035685169352,19.93796431483065,0.7380571428571433,163218.25,1809483,27.35,26.86,24.69
