Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,24.91,25.239,21.0,23.54,1304101.0,25.1725,25.104994879645663,-0.15436117915841052,35.738444137504146,-1.620000000000001,26.732835658895567,23.61216434110443,1.3696000000000004,276645.25,-1233939.0,25.52,24.18,25.16
2023-08-15,23.41,24.41,23.195,23.3,367160.0,25.0295,24.933090605393694,-0.2414870452852682,33.85300662873696,-2.3000000000000007,26.726971494218454,23.332028505781544,1.397457142857143,283063.35,-1601099.0,23.54,24.96,25.6
2023-08-16,23.0,24.21,22.72,23.44,356140.0,24.944,24.790891500118104,-0.29667273334847266,42.11920521991142,-1.0399999999999991,26.782333341286133,23.105666658713865,1.375671428571429,287068.95,-1244959.0,23.3,24.76,24.48
2023-08-17,23.19,23.4,22.32,22.42,160955.0,24.785,24.565092309630664,-0.405251471146709,32.115868961004765,-1.6999999999999993,26.911875642815072,22.658124357184928,1.3706714285714288,289254.45,-1405914.0,23.44,25.7,24.12
2023-08-18,22.23,22.71,21.8701,22.57,269789.0,24.5975,24.37508351823727,-0.4744868681437211,33.79224024116503,-1.8000000000000007,26.813897028845176,22.381102971154824,1.3592357142857145,290326.1,-1136125.0,22.42,25.52,24.37
2023-08-21,22.34,22.41,21.75,22.14,144066.0,24.421,24.162218421262292,-0.5526350721247013,28.3208019553269,-2.039999999999999,26.831502459086735,22.010497540913263,1.3403071428571434,280653.95,-1280191.0,22.57,23.54,24.18
2023-08-22,22.25,23.27,21.99,23.14,241948.0,24.2745,24.06486428590398,-0.5367765284342312,41.475826898134656,-1.8200000000000003,26.618248459648626,21.930751540351373,1.3467357142857146,285380.4,-1038243.0,22.14,23.3,24.96
2023-08-23,23.25,24.15,22.89,23.7,297431.0,24.1495,24.03011530629408,-0.4784541887875271,47.394540860605,-1.0600000000000023,26.32120779269269,21.97779220730731,1.3753071428571428,291341.2,-740812.0,23.14,23.44,24.76
2023-08-24,24.37,24.81,23.94,24.03,408225.0,24.1195,24.03010432474226,-0.40380537573860664,47.91154782914475,-1.6699999999999982,26.279806752097475,21.959193247902522,1.358235714285714,300374.35,-332587.0,23.7,22.42,25.7
2023-08-25,24.2,24.87,23.75,24.71,334292.0,24.092000000000002,24.094856293814427,-0.29184708313943375,53.07068357555162,-0.8099999999999987,26.204654603498703,21.9793453965013,1.36895,306594.15,1705.0,24.03,22.57,25.52
2023-08-28,24.94,26.72,24.755,26.58,439640.0,24.163,24.331536646784482,-0.06524004927644356,58.33333324931412,3.039999999999999,26.50930369999956,21.81669630000044,1.3714499999999998,321419.2,441345.0,24.71,22.14,23.54
2023-08-29,26.48,28.07,26.35,26.99,471243.0,24.2325,24.58472363280501,0.14248888785714442,61.22860011508555,3.6899999999999977,26.827222376387574,21.63777762361243,1.4346642857142855,326227.7,912588.0,26.58,23.14,23.3
2023-08-30,26.95,27.6491,26.0,26.68,274786.0,24.3425,24.784273763014056,0.2803292246557767,55.26881712110071,3.2399999999999984,27.1584984674039,21.526501532596104,1.4612785714285714,331827.0,637802.0,26.99,23.7,23.44
2023-08-31,26.6,26.65,25.71,26.65,288269.0,24.469,24.961961976060337,0.3826073250226365,56.174863302027525,4.229999999999997,27.4644976741419,21.473502325858103,1.4519999999999997,339786.45,349533.0,26.68,24.03,22.42
2023-09-01,26.73,27.075,25.96,26.06,199481.0,24.5535,25.066537025959352,0.41422608910608716,66.23711328256192,3.4899999999999984,27.63145061688781,21.475549383112188,1.2288571428571424,344879.0,150052.0,26.65,24.71,22.57
2023-09-05,25.85,26.2,24.285,24.77,414274.0,24.583,25.038295404439413,0.3376300768348841,58.342792188785566,2.629999999999999,27.657185215116705,21.508814784883292,1.2788571428571422,356110.7,-264222.0,26.06,26.58,22.14
2023-09-06,24.91,25.4,24.17,24.3,263696.0,24.55,24.967981556397564,0.23848349216003584,54.70459510220302,1.1600000000000001,27.62131379397363,21.47868620602637,1.2602857142857133,356864.45,-527918.0,24.77,26.99,23.14
2023-09-07,24.15,24.3,23.5268,23.9,257255.0,24.506999999999998,24.866269027216845,0.12795818719689933,58.685445912958166,0.1999999999999993,27.589993077479985,21.42400692252001,1.2383714285714278,359970.25,-785173.0,24.3,26.68,23.7
2023-09-08,23.98,24.8299,22.71,23.08,338137.0,24.376,24.69614816748191,-0.02218667988969969,52.774755088264776,-0.9500000000000028,27.468193226072472,21.28380677392753,1.329799999999999,356495.65,-1123310.0,23.9,26.65,24.03
2023-09-11,23.44,23.94,22.71,22.95,219874.0,24.2475,24.52984834200744,-0.14933323098205165,54.55568045401804,-1.7600000000000016,27.353093425790927,21.14190657420907,1.3705142857142847,352538.1,-1343184.0,23.08,26.06,24.71
2023-09-12,22.73,23.97,22.54,23.29,289180.0,24.235,24.41176754753054,-0.22116494918489948,50.911300034901785,-3.289999999999999,27.354564746968133,21.115435253031865,1.3812285714285704,301792.05,-1054004.0,22.95,24.77,26.58
2023-09-13,23.32,24.01,22.96,23.53,181445.0,24.2465,24.327789685860967,-0.2564641462173185,48.92541078571989,-3.4599999999999973,27.353221236626375,21.139778763373627,1.3662285714285705,292506.3,-872559.0,23.29,24.3,26.99
2023-09-14,23.69,24.38,23.5,24.0,183533.0,24.2745,24.296571620540874,-0.24503075758900295,49.81366450964082,-2.6799999999999997,27.360642030363962,21.188357969636037,1.3669428571428563,283875.95,-689026.0,23.53,23.9,26.68
2023-09-15,24.1,24.5335,23.31,23.63,169190.0,24.335,24.23308860906079,-0.2617904766427266,43.02325573613363,-3.0199999999999996,27.313636212129737,21.356363787870265,1.3743357142857135,284287.7,-858216.0,24.0,23.08,26.65
2023-09-18,23.78,24.605,23.22,24.48,193123.0,24.430500000000002,24.25660397962643,-0.2062288850135694,34.374999928385435,-1.5799999999999983,27.291000324290003,21.56999967571,1.3329071428571422,280454.4,-665093.0,23.63,22.95,26.06
2023-09-19,24.52,24.7728,23.52,23.57,164568.0,24.502000000000002,24.191213124423914,-0.23084914549554725,26.31578942265638,-1.1999999999999993,27.187576288248028,21.816423711751977,1.2995357142857138,281479.5,-829661.0,24.48,23.29,24.77
2023-09-20,23.56,23.8437,22.53,22.61,229922.0,24.4755,24.0406213982883,-0.32201131976181685,24.14231253646858,-1.6900000000000013,27.227306870518284,21.723693129481717,1.2755785714285708,280878.2,-1059583.0,23.57,23.53,24.3
2023-09-21,22.35,22.8802,21.8001,22.28,244768.0,24.4045,23.872943169879893,-0.41538790855633323,23.255813913637553,-1.6199999999999974,27.309562550282294,21.499437449717703,1.2855857142857137,278245.05,-1304351.0,22.61,24.0,23.9
2023-09-22,22.41,22.73,21.74,21.85,150004.0,24.2955,23.68028191560562,-0.5172764803029537,23.720349521587423,-1.2299999999999969,27.4153749974959,21.175625002504102,1.2766571428571425,265334.0,-1454355.0,22.28,23.63,23.08
2023-09-25,22.05,22.32,21.2,21.38,184234.0,24.128999999999998,23.461207447452704,-0.6278516104329697,26.42559104729372,-1.5700000000000003,27.50097677459692,20.757023225403074,1.2198714285714283,257831.1,-1638589.0,21.85,24.48,22.95
2023-09-26,21.19,21.78,20.64,20.75,205416.0,23.8375,23.20299721436197,-0.7565405117187503,25.85034008681569,-2.539999999999999,27.323392621470294,20.351607378529703,1.213442857142857,246119.9,-1844005.0,21.38,23.57,23.29
2023-09-27,20.94,21.2,20.6102,20.74,151585.0,23.525,22.968426051089402,-0.8494708978338643,27.298850519801178,-2.7900000000000027,26.940830021655362,20.109169978344635,1.2003428571428572,230137.0,-1995590.0,20.75,22.61,23.53
2023-09-28,20.75,21.155,20.6801,20.82,90770.0,23.232,22.763814046223747,-0.9062791531427123,31.832797356003383,-3.1799999999999997,26.51091252832719,19.95308747167281,1.0828428571428574,220936.2,-1904820.0,20.74,22.28,24.0
2023-09-29,21.07,21.07,19.68,19.73,215349.0,22.886,22.474879375154817,-1.0260072980924448,27.576601617538685,-3.8999999999999986,26.106182407386584,19.665817592613415,1.0942714285714288,217290.2,-2120169.0,20.82,21.85,23.63
2023-10-02,19.76,20.02,19.012,19.31,274602.0,22.548499999999997,22.17346229180674,-1.1410871919637664,22.589531636879727,-5.170000000000002,25.78288288264993,19.314117117350065,1.0641285714285718,221046.25,-2394771.0,19.73,21.38,24.48
2023-10-03,19.17,19.5,18.26,18.38,424785.0,22.229,21.812180168777527,-1.2913872195123268,17.610062862070336,-5.190000000000001,25.785775002871638,18.67222499712836,1.0777,221571.8,-2819556.0,19.31,20.75,23.57
2023-10-04,18.34,18.83,17.96,18.69,155830.0,21.9485,21.514829676513,-1.3699545966401878,15.917843360353089,-3.919999999999998,25.697252915444352,18.199747084555646,1.0769857142857142,216178.5,-2663726.0,18.38,20.74,22.61
2023-10-05,18.69,19.1787,18.27,18.9,180823.0,21.698500000000003,21.265798278749855,-1.3993001129048181,19.003931813098973,-3.3800000000000026,25.564341094564153,17.832658905435853,1.0544999999999998,212356.9,-2482903.0,18.69,20.82,22.28
2023-10-06,18.66,19.3299,18.26,18.97,107692.0,21.493,21.047150823630822,-1.4007898637846523,9.781021877819825,-2.8800000000000026,25.484544220368576,17.50145577963142,1.0319928571428567,200834.65,-2375211.0,18.9,19.73,21.85
2023-10-09,18.82,19.26,18.3,18.41,156360.0,21.266,20.79599360233265,-1.430197731872532,10.307692285491143,-2.969999999999999,25.421667784705843,17.110332215294154,1.011078571428571,197658.95,-2531571.0,18.97,19.31,21.38
2023-10-10,18.57,18.94,18.04,18.2,202683.0,21.0115,20.54875611639621,-1.4535108935087706,11.65217388467299,-2.5500000000000007,25.267489092783794,16.75551090721621,0.9815285714285713,193334.1,-2734254.0,18.41,18.38,20.75
2023-10-11,18.31,18.86,18.12,18.36,201804.0,20.753,20.340303152929902,-1.4425320740526466,14.874551934006519,-2.379999999999999,24.99291112121343,16.51308887878657,0.9572357142857142,194352.05,-2532450.0,18.2,18.69,20.74
2023-10-12,18.3,18.77,17.68,18.21,186460.0,20.4635,20.137417138365148,-1.4293431720295757,15.660377317123547,-2.6099999999999994,24.55810890748592,16.36889109251408,0.9643785714285712,194498.4,-2718910.0,18.36,18.9,20.82
2023-10-13,18.26,18.66,18.0127,18.07,81953.0,20.185499999999998,19.940520268044658,-1.4137898962539275,16.700201160200677,-1.6600000000000001,24.127022414926532,16.243977585073463,0.9306142857142855,190136.55,-2800863.0,18.21,18.97,19.73
2023-10-16,18.13,19.21,18.05,18.99,184673.0,19.910999999999998,19.84999452823088,-1.3125811742724451,33.269961888635066,-0.3200000000000003,23.322237775045092,16.499762224954903,0.932042857142857,189714.05,-2616190.0,18.07,18.41,19.31
2023-10-17,18.79,19.65,18.78,19.53,141749.0,19.709,19.819518858875558,-1.1755123882299827,39.550949818011546,1.1500000000000021,22.65462583824681,16.763374161753188,0.9520571428571424,188573.1,-2474441.0,18.99,18.2,18.38
2023-10-18,19.39,19.62,18.8,19.13,225327.0,19.535,19.753850396125504,-1.0864465270254975,36.170212683079704,0.4399999999999977,22.151880424836907,16.918119575163093,0.9767071428571423,188343.35,-2699768.0,19.53,18.36,18.69
2023-10-19,19.07,19.2,18.55,18.76,255407.0,19.359,19.659197977446883,-1.033636477537474,41.00185518107126,-0.13999999999999702,21.651981511160997,17.066018488839006,0.9238499999999993,188875.3,-2955175.0,19.13,18.21,18.9
2023-10-20,18.73,19.0099,18.05,18.65,375602.0,19.198999999999998,19.563083884356704,-0.9892065629073912,43.503936887981276,-0.3200000000000003,21.18632721857374,17.211672781426255,0.920414285714285,200155.2,-3330777.0,18.76,18.07,18.97
2023-10-23,18.2,19.4,17.3,18.7,600801.0,19.064999999999998,19.480885419179874,-0.9391473359596922,53.80952363015872,0.28999999999999915,20.77522313102547,17.354776868974525,0.9818428571428564,220983.55,-2729976.0,18.65,18.99,18.41
2023-10-24,18.83,19.13,17.81,18.0,462349.0,18.9275,19.339848712591316,-0.9448226069147729,42.48366000113915,-0.1999999999999993,20.50430389596031,17.350696104039688,1.0139857142857136,233830.2,-3192325.0,18.7,19.53,18.2
2023-10-25,18.02,19.65,18.02,19.01,291834.0,18.841,19.30843454948738,-0.858242106125072,51.02040803074479,0.6500000000000021,20.16939277641098,17.512607223589022,1.065507142857142,240842.65,-2900491.0,18.0,19.13,18.36
2023-10-26,18.88,19.75,18.8,19.54,184161.0,18.776999999999997,19.330488401917155,-0.7385002995207266,54.87179474047776,1.3299999999999983,19.78978355353728,17.764216446462715,1.0569428571428567,245512.2,-2716330.0,19.01,18.76,18.21
2023-10-27,19.72,19.77,19.3,19.43,189059.0,18.762,19.339965696972662,-0.6450145083997043,59.444444290329216,1.3599999999999994,19.722911847646383,17.801088152353618,1.0219428571428566,244197.7,-2905389.0,19.54,18.65,18.07
2023-10-30,19.39,19.88,17.74,18.04,353683.0,18.698500000000003,19.216159440118123,-0.6749561507809503,48.78419442507922,-0.9499999999999993,19.674663812827283,17.722336187172722,1.110514285714285,248151.75,-3259072.0,19.43,18.7,18.99
