Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,2.93,2.93,2.57,2.63,789947.0,2.6205,2.6366724152415886,0.018419228627308826,56.24999917968752,-0.010000000000000231,2.790016339842755,2.450983660157245,0.14285714285714285,481441.25,5051.0,2.91,2.62,2.64
2023-08-15,2.62,2.66,2.525,2.545,435193.0,2.61675,2.627941709028104,0.009576810856711138,50.7317066241523,-0.10499999999999998,2.789598427668199,2.4439015723318014,0.1460714285714286,487977.45,-430142.0,2.63,2.62,2.65
2023-08-16,2.55,2.62,2.49,2.5,674781.0,2.60625,2.615756784358761,-0.00040162711115021565,50.980391457131894,-0.1299999999999999,2.7807530538113125,2.431746946188688,0.1471428571428572,505499.55,-1104923.0,2.545,2.63,2.63
2023-08-17,2.51,2.57,2.47,2.51,659014.0,2.60125,2.6056847096579263,-0.007456236554755247,45.05494436179205,-0.08000000000000007,2.780953703502826,2.4215462964971737,0.14214285714285715,523660.05,-445909.0,2.5,2.6,2.59
2023-08-18,2.51,2.59,2.47,2.51,422034.0,2.59525,2.596571880166695,-0.012847388084773925,42.52873494781343,-0.10000000000000009,2.778882212516444,2.4116177874835563,0.1442857142857143,533076.65,-445909.0,2.51,2.91,2.61
2023-08-21,2.51,2.655,2.47,2.63,425037.0,2.59725,2.5997555106270096,-0.008548006942229236,48.979591137026254,0.009999999999999787,2.781511684625569,2.4129883153744305,0.14928571428571424,540400.15,-20872.0,2.51,2.63,2.62
2023-08-22,2.66,2.7,2.55,2.55,364910.0,2.59925,2.5950168905672943,-0.010718301840854316,46.15384553254439,-0.07000000000000028,2.7803656943416066,2.4181343056583935,0.15357142857142855,538065.85,-385782.0,2.63,2.545,2.62
2023-08-23,2.56,2.6797,2.55,2.65,286259.0,2.60525,2.600253377179933,-0.005195814116908171,52.72727205619835,0.020000000000000018,2.784648849964043,2.4258511500359567,0.15212142857142857,537434.25,-99523.0,2.55,2.5,2.63
2023-08-24,2.64,2.64,2.525,2.58,357114.0,2.6102499999999997,2.5983244841151776,-0.005834530716610775,48.69565158109642,-0.020000000000000018,2.7802801830790487,2.440219816920951,0.1553357142857143,525156.25,-456637.0,2.65,2.51,2.6
2023-08-25,2.61,2.688,2.56,2.62,314964.0,2.6112499999999996,2.6003888189613513,-0.0033815641898358173,49.999999406779665,-0.29000000000000004,2.781261609510707,2.4412383904892923,0.15305000000000005,525208.75,-141673.0,2.58,2.51,2.91
2023-08-28,2.65,2.6625,2.62,2.63,206668.0,2.61075,2.603208931441223,-0.0007010782342296018,50.420167474048434,0.0,2.780464155970686,2.441035844029314,0.14822857142857146,520639.55,64995.0,2.62,2.63,2.63
2023-08-29,2.63,2.67,2.5,2.575,399482.0,2.607,2.6005223665420587,-0.002621965067596932,47.7732788106673,0.03000000000000025,2.7763765658307897,2.4376234341692107,0.15537142857142858,524209.9,-334487.0,2.63,2.55,2.545
2023-08-30,2.57,2.625,2.5585,2.61,275005.0,2.6060000000000003,2.601424998299958,-0.0015161475298066662,50.40322523738293,0.10999999999999988,2.7750406366590754,2.436959363340925,0.15297857142857144,522641.85,-59482.0,2.575,2.65,2.5
2023-08-31,2.61,2.68,2.58,2.59,411973.0,2.606,2.6003369032237713,-0.0021153339626187595,33.157894248199426,0.08000000000000007,2.775040636659075,2.4369593633409248,0.13797857142857145,479101.6,-471455.0,2.61,2.58,2.51
