Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,113.41,114.28,111.69,113.1,218415,105.65899999999999,107.20685528815466,1.7779444936984703,71.22161311679316,10.649999999999991,114.26038275297395,97.05761724702603,3.6385714285714283,176354.3,744563,113.99,105.39,102.45
2023-08-15,112.33,112.61,110.0,112.23,94541,106.05049999999999,107.68525002261612,1.830767207151041,68.56596554646568,8.490000000000009,115.1111203459052,96.98987965409476,3.7235714285714283,173740.8,650022,113.1,108.02,103.74
2023-08-16,114.01,114.41,111.06,111.3,133413,106.5175,108.0295119252241,1.7874679091204229,75.49473679760311,8.549999999999997,115.6528999134656,97.3821000865344,3.6199999999999997,172913.35,516609,112.23,112.59,102.75
2023-08-17,111.87,113.96,109.3,111.61,156653,106.87750000000001,108.37051078948848,1.7537573165833322,71.28761711899227,7.920000000000002,116.22814056347846,97.52685943652156,3.6499999999999995,174908.45,673262,111.3,112.88,103.69
2023-08-18,110.4,112.12,110.4,110.79,96126,107.09649999999999,108.60093833334672,1.6505026040087074,70.28210111945775,3.7900000000000063,116.60487475735553,97.58812524264445,3.556428571428571,175927.6,577136,111.61,113.99,107.0
2023-08-21,111.9,111.9,108.84,111.28,116323,107.48800000000001,108.85608706350418,1.584858725895927,69.07894731947852,5.890000000000001,117.00897872014606,97.96702127985397,3.537499999999999,174568.25,693459,110.79,113.1,105.39
2023-08-22,113.05,113.6,110.02,110.92,136923,107.921,109.05265020031331,1.4899070486935528,71.35389435447182,2.9000000000000057,117.22611777690673,98.61588222309328,3.5049999999999994,176271.85,556536,111.28,112.23,108.02
2023-08-23,110.5,112.64,110.36,111.57,128450,108.37349999999999,109.29239780028347,1.4445898192480655,70.91295111503285,-1.0200000000000102,117.45012185014482,99.29687814985516,3.4324999999999997,178838.8,684986,110.92,111.3,112.59
2023-08-24,110.8,114.1,110.51,112.5,230424,109.03899999999999,109.597883724066,1.4589166310334036,66.70716883755165,-0.37999999999999545,117.18455196669356,100.89344803330641,3.3360714285714264,186085.0,915410,111.57,111.61,112.88
2023-08-25,114.08,114.15,112.4301,113.72,155694,109.576,109.9904662265359,1.5410742605650967,75.91785929913817,-0.269999999999996,117.45128418869005,101.70071581130993,3.2007071428571416,185003.9,1071104,112.5,110.79,113.99
2023-08-28,115.85,116.04,113.39,114.52,87681,110.1795,110.42185039543725,1.6454293619730578,72.82303363626951,1.4200000000000017,117.59178702543072,102.76721297456929,3.030707142857142,182815.25,1158785,113.72,111.28,113.1
2023-08-29,114.81,115.28,113.33,114.6,95441,110.7225,110.8197694053956,1.7137206598044088,60.30769222109662,2.3699999999999903,117.72853010946548,103.71646989053451,2.827135714285714,178495.45,1254226,114.52,110.92,112.23
2023-08-30,115.77,115.8,113.95,114.45,128034,111.30749999999998,111.16550565250078,1.7362135698759857,58.168574316924094,3.1500000000000057,117.40564769115652,105.20935230884344,2.7285642857142856,168630.2,1126192,114.6,111.57,111.3
2023-08-31,114.86,118.69,114.01,118.0,235094,112.023,111.81640987607214,1.9966191481928348,66.63900407195474,6.390000000000001,117.70148423066355,106.34451576933644,2.877849999999999,168704.35,1361286,114.45,112.5,111.61
2023-09-01,119.63,124.58,119.63,123.44,208148,112.845,112.92341845930336,2.5822527546407628,81.1445782448179,12.649999999999991,120.02345167296211,105.66654832703789,3.0464214285714277,167303.6,1569434,118.0,113.72,110.79
2023-09-05,122.27,124.79,122.23,123.1,189227,113.73049999999998,113.89261670127448,2.9850377124795955,83.8207839966714,11.819999999999993,121.39001894875359,106.07098105124636,3.042849999999999,168723.7,1380207,123.44,114.52,111.28
2023-09-06,122.65,124.43,119.02,120.71,254304,114.36499999999998,114.5418913011531,3.0860059608849895,76.83970330429234,9.789999999999992,122.13438526322518,106.59561473677478,3.1899928571428577,171882.05,1125903,123.1,114.6,110.92
2023-09-07,120.58,121.92,119.45,119.52,222444,114.7115,115.01599689151948,3.0396173971177234,71.48288967948072,7.950000000000003,122.76066543565395,106.66233456434605,3.0335642857142866,166911.5,903459,120.71,114.45,111.57
2023-09-08,119.31,122.27,118.22,120.59,99179,115.09700000000001,115.54685433042239,3.0495268961446698,76.25937829219555,8.090000000000003,123.50724713323605,106.68675286676397,3.1999928571428575,159179.3,1002638,119.52,118.0,112.5
2023-09-11,123.12,123.12,115.63,117.29,171622,115.26199999999999,115.7128682037155,2.7710412906923807,63.996273828786805,3.5700000000000074,123.71020155261957,106.8137984473804,3.5164214285714297,157906.8,831016,120.59,123.44,113.72
2023-09-12,119.07,122.65,119.07,121.75,228065,115.69449999999999,116.28783313669497,2.8619628594189805,71.17716069626594,7.230000000000004,124.55239918065996,106.83660081934002,3.5164214285714306,158389.3,1059081,117.29,123.1,114.52
2023-09-13,125.28,125.28,119.71,120.05,200131,116.0855,116.64613474272402,2.7700189506769703,65.92787374444066,5.450000000000003,124.98974257247484,107.18125742752515,3.751421428571431,163668.8,858950,121.75,120.71,114.6
2023-09-14,122.03,123.15,119.82,119.94,121144,116.51750000000001,116.95983619579792,2.657822698192632,64.41860461620696,5.489999999999995,125.28142095618826,107.75357904381177,3.732850000000004,163055.35,737806,120.05,119.52,114.45
2023-09-15,119.0,119.9,115.89,115.9,438168,116.732,116.85889941524573,2.228119424823987,53.80852548031729,-2.0999999999999943,125.1950157620953,108.2689842379047,3.8964285714285753,177131.1,299638,119.94,120.59,118.0
2023-09-18,115.76,117.2999,113.02,114.96,152171,116.9405,116.678051851889,1.793501720786665,50.76495129656782,-8.480000000000004,124.98211145149662,108.89888854850338,4.012850000000003,179933.35,147467,115.9,117.29,123.44
2023-09-19,116.36,116.89,112.8,113.56,116829,117.05449999999999,116.38109453266148,1.3241974828033705,48.271276573278016,-9.539999999999992,124.81807615643986,109.29092384356012,4.165707142857146,179958.65,30638,114.96,121.75,123.1
2023-09-20,112.9,115.005,111.54,111.95,127390,117.106,115.95908552955086,0.8165508677192292,46.036778673287415,-8.759999999999991,124.71026583881495,109.50173416118504,4.281064285714288,179482.0,-96752,113.56,120.05,120.71
2023-09-21,114.84,115.74,110.63,111.02,214216,117.0785,115.4886964314984,0.3373148643458279,37.932226814279,-8.5,124.7705335412685,109.3864664587315,4.311778571428575,183770.3,-310968,111.95,119.94,119.52
2023-09-22,111.29,112.765,110.42,111.54,148126,117.0305,115.11263010468903,-0.001335921677167562,25.208333318628505,-9.049999999999997,124.85369486493444,109.20730513506557,4.125707142857146,179655.4,-162842,111.02,115.9,120.59
2023-09-25,111.54,114.01,110.42,113.39,209403,117.01399999999998,114.94857009471865,-0.12212051298267568,30.968247728986483,-3.9000000000000057,124.86792533437223,109.16007466562773,4.199278571428574,182340.85,46561,111.54,114.96,117.29
2023-09-26,112.12,114.76,110.97,113.45,205237,116.9605,114.80584913331687,-0.21063315435519314,34.33994821049359,-8.299999999999997,124.90006773316239,109.0209322668376,4.083564285714289,188218.65,251798,113.39,113.56,121.75
2023-09-27,116.47,119.35,115.5,118.58,203696,117.15950000000001,115.16529207300098,0.12418288809470823,48.26696162700083,-1.4699999999999989,125.04931081755714,109.26968918244287,4.1821357142857165,193631.4,455494,113.45,111.95,120.05
2023-09-28,118.36,121.21,117.85,120.92,258539,117.48300000000002,115.71335949461994,0.5685125760612522,50.58119053511319,0.980000000000004,125.43536105290681,109.53063894709322,4.132850000000003,200156.65,714033,118.58,111.02,119.94
2023-09-29,120.47,120.865,117.79,118.66,140680,117.516,115.99399192370375,0.7326003123274774,52.50457035703603,2.759999999999991,125.48285872190141,109.5491412780986,3.8174928571428586,195435.95,573353,120.92,111.54,115.9
2023-10-02,118.86,118.86,113.11,117.21,267532,117.20450000000001,116.10980221668434,0.7387753578425418,40.67378797989182,2.25,124.66732992746823,109.74167007253179,3.9724928571428575,198405.15,305821,118.66,113.39,114.96
