Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-14,17.6,19.4,17.5,18.8,187679.2,20.485,19.996687077288517,-0.5878391465422546,38.34586462129007,-1.8000000000000007,25.554734758970707,15.415265241029292,1.8310714285714282,953382.4949999999,7342578.200000001,18.3,15.4,20.6
2023-08-15,17.8,18.5,17.7,18.0,109363.0,20.225,19.80652640326104,-0.6061342650307289,36.170212730043765,-2.0,25.241551551981125,15.208448448018878,1.766785714285714,890925.4299999999,7233215.200000001,18.8,19.0,20.0
2023-08-16,18.15,18.5,17.8,18.0,126343.7,19.985,19.63447626961713,-0.6130762280928508,38.636363595385674,-0.6000000000000014,24.941771020267975,15.028228979732024,1.6953571428571426,861724.3350000002,7233215.200000001,18.0,20.0,18.6
2023-08-17,17.9,18.491,17.6,17.7,95372.9,19.6,19.450240434415498,-0.6315733254800548,37.777777738600825,-0.1999999999999993,23.94414306248867,15.255856937511332,1.7161428571428565,617611.6,7137842.300000001,18.0,19.5,17.9
2023-08-18,16.2,16.35,15.1,15.3,311723.3,19.134999999999998,19.05497944066164,-0.8034775837626071,32.90322577673257,-1.8000000000000007,23.208159900979503,15.061840099020491,1.6839999999999995,598751.72,6826119.000000001,17.7,18.3,17.1
2023-08-21,18.0,18.45,16.7,17.0,809920.9,18.85,18.85926711297958,-0.809549508838213,40.96385538713892,1.5999999999999996,22.66216888122069,15.037831118779312,1.716142857142857,619375.1500000001,7636039.900000001,15.3,18.8,15.4
2023-08-22,17.1,17.3,16.201,17.2,135841.8,18.615,18.70124167364819,-0.7907456097198065,45.454545413223144,-1.8000000000000007,22.20872259714953,15.021277402850465,1.7089285714285711,616855.235,7771881.700000001,17.0,18.0,19.0
2023-08-23,16.9,17.0,16.5,16.9,78177.1,18.365000000000002,18.52969484758646,-0.7881193389685635,46.66666662311112,-3.1000000000000014,21.681481966116955,15.048518033883047,1.6517857142857142,579586.53,7693704.6000000015,17.2,18.0,20.0
2023-08-24,16.8,17.098,15.8,16.1,106805.9,18.119999999999997,18.29829533829251,-0.8340894169045967,46.66666662311112,-3.3999999999999986,21.339414788272457,14.900585211727538,1.665928571428571,567157.9299999999,7586898.700000001,16.9,17.7,19.5
2023-08-25,16.2,16.482,15.8,15.9,83155.1,17.865000000000002,18.06988625845513,-0.8746741870798331,51.85185179807956,-2.4000000000000004,20.928039426177182,14.80196057382282,1.5789285714285712,561879.655,7503743.6000000015,16.1,15.3,18.3
2023-08-28,15.8,16.0,15.3,15.7,89431.7,17.619999999999997,17.84418280526893,-0.9107313974311353,33.66336628997156,-3.1000000000000014,20.54257997054154,14.697420029458458,1.2432142857142854,548387.5050000001,7414311.900000001,15.9,17.0,18.8
2023-08-29,15.8,16.1,15.5,15.7,76285.3,17.404999999999998,17.63997491905284,-0.9283413244507415,26.373626333051547,-2.3000000000000007,20.221100327160173,14.588899672839823,1.0860714285714284,539510.315,7414311.900000001,15.7,17.2,18.0
2023-08-30,15.8,15.8,15.4,15.4,100905.4,17.245,17.42664397438114,-0.9534446451872469,26.96629209241256,-2.5999999999999996,20.137804139494026,14.352195860505978,0.9896428571428569,533954.15,7313406.500000001,15.7,16.9,18.0
2023-08-31,15.4,15.6,15.2,15.6,88278.9,17.13,17.252677881582937,-0.9472411318711522,32.91139234673929,-2.0999999999999996,20.095130688519493,14.164869311480507,0.9264285714285713,527235.605,7401685.400000001,15.4,16.1,17.7
2023-09-01,15.6,16.0,15.0,15.8,87840.7,17.065,17.114327607146468,-0.9165692454006837,30.263157838988917,0.5,20.089305052839688,14.040694947160315,0.862142857142857,520477.46499999997,7489526.1000000015,15.6,15.9,15.3
2023-09-05,16.1,16.2,15.5,15.6,108433.5,17.075,16.970105930275377,-0.8969874709652998,32.85714279142856,-1.4000000000000004,20.077367486886953,14.072632513113046,0.8549999999999998,510378.5,7381092.6000000015,15.8,15.7,17.0
2023-09-06,15.6,15.6,15.1,15.3,77070.6,16.889999999999997,16.811048222630102,-0.8939023806352964,31.506849254644393,-1.8999999999999986,19.848591414490148,13.931408585509846,0.8407142857142855,252309.59,7304022.000000002,15.6,15.7,17.2
