Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,17.61,17.645,17.19,17.51,479651.0,20.157249999999998,19.691718819635156,-0.6862389807184748,25.661057649128026,-3.799999999999997,23.638972917419512,16.675527082580484,0.7942857142857142,476239.7,-2856639.0,17.71,19.85,21.31
2023-08-16,17.51,17.65,17.29,17.39,483877.0,19.91325,19.472507503479427,-0.7158386870082261,26.26076256240458,-3.0700000000000003,23.455019220393446,16.371480779606557,0.7485714285714283,478529.1,-3340516.0,17.51,16.735,20.46
2023-08-17,17.36,17.5,16.95,16.96,512447.0,19.68825,19.233221074576626,-0.7590684147204705,25.87878783487234,-3.5199999999999996,23.38465974460355,15.991840255396452,0.7235714285714285,483466.85,-3852963.0,17.39,17.08,20.48
2023-08-18,16.62,17.17,16.55,16.86,534410.0,19.45025,19.00720001985504,-0.7903900356093025,17.899603665707474,-3.4299999999999997,23.234867723864532,15.665632276135469,0.7107142857142856,486765.3,-4387373.0,16.96,18.07,20.29
2023-08-21,16.92,17.05,16.39,16.43,384198.0,19.20925,18.761752398916467,-0.8349488686297519,17.85243738472542,-3.6900000000000013,23.122977897111866,15.295522102888137,0.7249999999999999,487738.4,-4771571.0,16.86,17.71,20.12
2023-08-22,16.47,16.63,16.04,16.11,384975.0,18.94175,18.509204551400614,-0.882023666328692,19.19263452284747,-3.740000000000002,22.938205370239466,14.945294629760534,0.7142857142857143,477489.05,-5156546.0,16.43,17.51,19.85
2023-08-23,16.19,16.56,16.12,16.55,253252.0,18.69125,18.322613641743413,-0.877437123858062,23.72994647964984,-0.18499999999999872,22.624257253061156,14.758242746938844,0.7135714285714284,476611.15,-4903294.0,16.11,17.39,16.735
2023-08-24,16.55,16.7,16.355,16.47,213415.0,18.45225,18.146174247291658,-0.8692811149740862,24.08412478464348,-0.6099999999999994,22.31079959797073,14.59370040202927,0.6982142857142856,464731.65,-5116709.0,16.55,16.96,17.08
2023-08-25,16.44,16.725,16.39,16.58,208027.0,18.23425,17.997014795168642,-0.8449242730466473,25.78659365786426,-1.490000000000002,21.992353209977367,14.476146790022634,0.6849999999999999,464583.3,-4908682.0,16.47,16.86,18.07
2023-08-28,16.73,16.895,16.51,16.59,200856.0,17.97775,17.863013386104964,-0.8153735001564719,26.8794325707359,-1.120000000000001,21.42122204676358,14.534277953236419,0.6560714285714285,458409.0,-4707826.0,16.58,16.43,17.71
2023-08-29,16.5,16.9,16.5,16.86,267364.0,17.75525,17.767488301714014,-0.7632307019127076,51.486325631198916,-0.6500000000000021,20.849505245825053,14.660994754174947,0.5489285714285713,452972.25,-4440462.0,16.59,16.11,17.51
2023-08-30,16.76,16.98,16.72,16.8,239110.0,17.57225,17.675346558693633,-0.7180510071778166,46.42857126275514,-0.5899999999999999,20.415729105084594,14.728770894915405,0.5032142857142856,441561.9,-4679572.0,16.86,16.55,17.39
2023-08-31,16.85,17.05,16.785,16.86,342370.0,17.391250000000003,17.597694505484714,-0.6700269622401436,29.765886148253372,-0.10000000000000142,19.896091364868834,14.886408635131172,0.43607142857142833,440420.7,-4337202.0,16.8,16.47,16.96
2023-09-01,16.99,17.385,16.96,17.36,283619.0,17.24475,17.575056933533787,-0.5877247408077118,44.40894548826668,0.5,19.34595635776089,15.14354364223911,0.4349999999999997,439361.45,-4053583.0,16.86,16.58,16.86
2023-09-05,17.18,17.375,17.11,17.32,266902.0,17.104750000000003,17.55076579700676,-0.5195742610051042,46.801346580734375,0.8900000000000006,18.715122545978776,15.49437745402123,0.4214285714285713,430890.5,-4320485.0,17.36,16.59,16.43
