Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,1.97,2.04,1.97,1.98,305552.0,2.113,2.087048762252762,-0.027970980389578237,41.09588962281856,-0.2799999999999998,2.2957393887768216,1.9302606112231784,0.13316428571428568,428509.8,-2359444.0,1.99,2.11,2.26
2023-08-16,1.98,2.01,1.8,1.96,750725.0,2.1065,2.0749488801334515,-0.03237514103243866,44.7761184673647,-0.2400000000000002,2.301519567169419,1.9114804328305812,0.13852142857142855,417717.05,-3110169.0,1.98,2.0,2.2
2023-08-17,1.98,1.98,1.8707,1.89,275839.0,2.097,2.0573347010731227,-0.04009446710452602,29.032257408949008,-0.32000000000000006,2.3146525478347253,1.8793474521652744,0.13597142857142855,410503.55,-3386008.0,1.96,2.03,2.21
2023-08-18,1.91,1.9301,1.83,1.85,258762.0,2.0815,2.0375885390661588,-0.04832336211851418,7.6923074852070386,-0.33000000000000007,2.323097751819446,1.839902248180554,0.1316928571428571,397165.75,-3644770.0,1.89,1.99,2.18
2023-08-21,1.83,1.86,1.78,1.82,276053.0,2.0655,2.016865821059858,-0.05620659880726686,7.6923074852070386,-0.34999999999999987,2.331897012785528,1.7991029872144721,0.11883571428571425,393387.55,-3920823.0,1.85,1.99,2.17
2023-08-22,1.83,1.8408,1.76,1.77,140361.0,2.0494999999999997,1.9933547904827287,-0.0651512755064827,7.843137039600094,-0.33999999999999986,2.3463944522712974,1.752605547728702,0.10532142857142854,387944.15,-4061184.0,1.82,1.98,2.11
2023-08-23,1.77,1.93,1.77,1.85,454717.0,2.0364999999999998,1.9797019532938973,-0.06573341057357274,18.965516783590957,-0.1499999999999999,2.344790703548999,1.7282092964510003,0.10965714285714281,395260.2,-3606467.0,1.77,1.96,2.0
2023-08-24,1.85,1.86,1.78,1.78,262336.0,2.024,1.9606827196468595,-0.07038061484655111,17.741935083246617,-0.24999999999999978,2.352979282662378,1.695020717337622,0.10679999999999996,385595.7,-3868803.0,1.85,1.89,2.03
2023-08-25,1.78,1.78,1.68,1.72,390743.0,2.0025,1.937760555870968,-0.07747414361092186,16.417910104700383,-0.27,2.3523495917420876,1.652650408257912,0.10465714285714282,386919.35,-4259546.0,1.78,1.85,1.99
2023-08-28,1.75,1.79,1.72,1.76,180059.0,1.9759999999999998,1.920830979121352,-0.07922431202224578,23.076922579881668,-0.22999999999999998,2.3142555869535095,1.63774441304649,0.10394285714285711,368198.5,-4079487.0,1.72,1.82,1.99
2023-08-29,1.76,1.8,1.73,1.77,219407.0,1.9515,1.9064661239669376,-0.07894479564046275,29.090908350413244,-0.20999999999999996,2.2737470448192463,1.6292529551807537,0.09679999999999997,344460.95,-3860080.0,1.76,1.77,1.98
2023-08-30,1.75,1.8,1.75,1.77,229711.0,1.9300000000000002,1.8934693502558007,-0.07781182323850366,24.999999326923117,-0.18999999999999995,2.2395667600815194,1.6204332399184809,0.09251428571428569,329089.85,-3860080.0,1.77,1.85,1.96
2023-08-31,1.74,1.8,1.72,1.72,164592.0,1.9055,1.8769484597552482,-0.0797069579547458,24.528301238875073,-0.16999999999999993,2.1988993147482407,1.612100685251759,0.09394285714285713,321213.5,-4024672.0,1.77,1.78,1.89
2023-09-01,1.74,1.78,1.72,1.77,150834.0,1.8849999999999998,1.8667628921595103,-0.07656486988145383,31.034482009512516,-0.08000000000000007,2.1539159524343705,1.616084047565629,0.09430000000000001,318470.05,-3873838.0,1.72,1.72,1.85
2023-09-05,1.77,1.87,1.765,1.82,267660.0,1.8675000000000002,1.8623092833824142,-0.06950172999096815,37.09677335587932,0.0,2.101627720429865,1.6333722795701355,0.09680000000000001,314462.4,-3606178.0,1.77,1.76,1.82
2023-09-06,1.8,1.86,1.7,1.74,349102.0,1.8489999999999998,1.8506607802031367,-0.06916453922306687,33.823528715397956,-0.030000000000000027,2.0597530358150595,1.6382469641849398,0.09322857142857147,317379.8,-3955280.0,1.82,1.77,1.77
2023-09-07,1.7,1.735,1.62,1.7,310094.0,1.8340000000000003,1.8363121344695046,-0.07111243304268422,35.38461462248523,-0.15000000000000013,2.0421901964424305,1.62580980355757,0.09363571428571434,303612.0,-4265374.0,1.74,1.77,1.85
2023-09-08,1.75,1.805,1.55,1.59,749321.0,1.812,1.8128538359485995,-0.08012678757823544,31.944443823302493,-0.18999999999999995,2.0258961873137746,1.5981038126862255,0.10470000000000004,322559.75,-5014695.0,1.7,1.72,1.78
2023-09-11,1.6,1.76,1.57,1.71,508612.0,1.798,1.8030582325249234,-0.0771587956397144,43.209875796372515,-0.010000000000000009,1.9991126942524382,1.5968873057475619,0.1125571428571429,329918.1,-4506083.0,1.59,1.77,1.72
2023-09-12,1.72,1.81,1.6,1.65,678559.0,1.781,1.7884812579987401,-0.07851724410336902,42.6829261005354,-0.1100000000000001,1.970947361129343,1.5910526388706567,0.12178571428571432,346151.95,-5184642.0,1.71,1.82,1.76
2023-09-13,1.64,1.665,1.6,1.63,498357.0,1.7635,1.773387804856003,-0.0802070418177907,35.52631513504156,-0.14000000000000012,1.9402871155105132,1.5867128844894869,0.11500000000000003,355792.2,-5682999.0,1.65,1.74,1.77
2023-09-14,1.62,1.685,1.615,1.64,358305.0,1.7475,1.7606842043935265,-0.0798432858290945,39.99999920000001,-0.13000000000000012,1.9064273253309305,1.5885726746690696,0.11428571428571432,336171.2,-5324694.0,1.63,1.7,1.77
2023-09-15,1.65,1.675,1.58,1.63,713489.0,1.7345,1.748238089689381,-0.07941170249005514,43.07692214911244,-0.09000000000000008,1.8867428807427247,1.5822571192572752,0.11392857142857146,358053.7,-6038183.0,1.64,1.59,1.72
2023-09-18,1.62,1.64,1.55,1.6,273526.0,1.722,1.7341201763856304,-0.08047610306077435,37.49999917968753,-0.16999999999999993,1.8753623161014512,1.5686376838985487,0.11535714285714287,358791.9,-6311709.0,1.63,1.71,1.77
2023-09-19,1.6,1.67,1.57,1.62,305095.0,1.7119999999999997,1.7232515881584276,-0.07884210642740119,38.46153763313612,-0.19999999999999996,1.864536449483571,1.5594635505164285,0.11750000000000001,360244.0,-6006614.0,1.6,1.65,1.82
2023-09-20,1.62,1.74,1.61,1.69,198700.0,1.7080000000000002,1.7200847702385773,-0.07123762452914528,44.444443580246926,-0.050000000000000044,1.858311956312623,1.5576880436873775,0.1232142857142857,363160.95,-5807914.0,1.62,1.63,1.74
2023-09-21,1.69,1.725,1.63,1.72,172839.0,1.7015,1.7200766968825223,-0.0621383598554579,49.99999900000002,0.020000000000000018,1.8364112768881107,1.5665887231118893,0.12428571428571429,349067.05,-5635075.0,1.69,1.64,1.7
2023-09-22,1.73,1.75,1.61,1.61,205009.0,1.693,1.7095932019413298,-0.06285812234577226,39.47368348337951,0.020000000000000018,1.828506845816584,1.557493154183416,0.12999999999999998,346200.7,-5840084.0,1.72,1.63,1.59
2023-09-25,1.59,1.63,1.53,1.62,274500.0,1.688,1.7010605160421555,-0.06192344980399711,36.111110408950616,-0.08999999999999986,1.8266551952070182,1.5493448047929816,0.12964285714285712,340388.55,-5565584.0,1.61,1.6,1.71
2023-09-26,1.59,1.73,1.55,1.67,164449.0,1.6835,1.6981023716571884,-0.056579841829870636,44.927535320310874,0.020000000000000018,1.8180988191079877,1.5489011808920123,0.13107142857142853,339608.05,-5401135.0,1.62,1.62,1.65
2023-09-27,1.66,1.72,1.66,1.69,176893.0,1.6794999999999998,1.6973307172136467,-0.05018389657844713,49.25373031410116,0.06000000000000005,1.8078867512430252,1.5511132487569743,0.12714285714285709,337482.35,-5224242.0,1.67,1.69,1.63
