Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,11.2,11.28,10.83,10.89,2086105.0,10.885,11.033775863663056,0.13710712571134742,54.89749413016744,0.23000000000000043,11.908029556603429,9.86197044339657,0.4939285714285712,2501283.25,2979043.0,11.33,11.37,10.66
2023-08-16,10.84,11.07,10.75,10.81,1351483.0,10.8875,11.012463876647526,0.1004369030740655,54.52488670512479,0.5099999999999998,11.90948722826503,9.865512771734968,0.4532142857142855,2451073.5,1627560.0,10.89,11.49,10.3
2023-08-17,10.87,10.91,10.62,10.7,1906972.0,10.8975,10.982705412204904,0.0634712922432108,48.418491319255736,0.5800000000000001,11.907364503678327,9.887635496321675,0.4385714285714285,2451941.8,-279412.0,10.81,11.8,10.12
2023-08-18,10.5,10.66,10.4109,10.5,1342043.0,10.898,10.93673346818539,0.020462657210677193,44.89311148966662,-0.6799999999999997,11.90702454197893,9.88897545802107,0.43207857142857137,2460934.55,-1621455.0,10.7,11.7,11.18
2023-08-21,10.49,10.62,10.155,10.24,1849260.0,10.8835,10.870377899786781,-0.031056918543276524,44.99999985000001,-1.3399999999999999,11.922675280286196,9.844324719713804,0.4431499999999999,2373589.45,-3470715.0,10.5,11.33,11.58
2023-08-22,10.31,10.42,10.13,10.31,1162575.0,10.8805,10.817008575997564,-0.06588982815201128,50.12787705836566,-1.0599999999999987,11.926242747876762,9.834757252123238,0.43564999999999987,2318685.55,-2308140.0,10.24,10.89,11.37
2023-08-23,10.29,10.56,10.2599,10.52,722315.0,10.8835,10.788722044950177,-0.07748783958183658,55.07614193627766,-0.9700000000000006,11.924496991754587,9.842503008245412,0.4256571428571428,2270923.55,-1585825.0,10.31,10.81,11.49
2023-08-24,10.54,10.59,10.27,10.32,809423.0,10.879,10.744081850193018,-0.09979528336049803,36.038960875147595,-1.4800000000000004,11.92935131967206,9.82864868032794,0.37315,2152740.75,-2395248.0,10.52,10.7,11.8
2023-08-25,10.32,10.53,10.14,10.42,1310631.0,10.858500000000001,10.713216912079398,-0.10887544716049113,29.136690500750476,-1.2799999999999994,11.928694768304005,9.788305231695997,0.3506499999999999,2109271.6,-1084617.0,10.32,10.5,11.7
2023-08-28,10.49,10.56,10.4,10.44,1686982.0,10.834,10.687196253786121,-0.11325220832632432,32.04633187310864,-0.8900000000000006,11.919626668407648,9.74837333159235,0.33422142857142845,2049453.0,602365.0,10.42,10.24,11.33
2023-08-29,10.35,10.525,10.205,10.49,1343224.0,10.8255,10.668415658187444,-0.11172303202568656,30.15872999118166,-0.40000000000000036,11.919492687361299,9.731507312638701,0.3274357142857142,2008384.85,1945589.0,10.44,10.31,10.89
2023-08-30,10.52,10.75,10.47,10.74,849833.0,10.8475,10.675233214550545,-0.09094995592518096,28.455284390904865,-0.07000000000000028,11.914357165006784,9.780642834993216,0.3163642857142856,1935660.85,2795422.0,10.49,10.52,10.81
2023-08-31,10.72,10.86,10.61,10.68,1053076.0,10.875499999999999,10.67568719411716,-0.07808352271276853,28.925619667372445,-0.019999999999999574,11.890077433427852,9.860922566572146,0.3185071428571428,1864414.45,1742346.0,10.74,10.32,10.7
2023-09-01,10.75,10.85,10.445,10.52,1648323.0,10.8425,10.660859842296478,-0.07897308741942943,31.674207944145266,0.019999999999999574,11.85830924442172,9.826690755578278,0.32065714285714275,1668018.7,94023.0,10.68,10.42,10.5
2023-09-05,10.42,10.59,10.1,10.24,2566890.0,10.7755,10.620777952553956,-0.099606754668077,34.14634123022009,0.0,11.762861715834037,9.788138284165962,0.3235142857142857,1607302.65,-2472867.0,10.52,10.44,10.24
2023-09-06,10.15,10.42,10.12,10.35,2129610.0,10.724499999999999,10.594989576120247,-0.10636237877751675,38.942307430195974,0.03999999999999915,11.687641242306432,9.761358757693566,0.32208571428571425,1607741.45,-343257.0,10.24,10.49,10.31
2023-09-07,10.23,10.49,10.15,10.49,2293942.0,10.6745,10.5849905688707,-0.09989406938682421,45.023696383729046,-0.02999999999999936,11.571899166011365,9.777100833988635,0.32565714285714276,1623102.05,1950685.0,10.35,10.74,10.52
2023-09-08,10.38,10.45,10.11,10.27,1569436.0,10.598,10.55499146707349,-0.11030118561470559,44.60093867398443,-0.05000000000000071,11.338571614220715,9.857428385779286,0.3321499999999999,1519411.3,381249.0,10.49,10.68,10.32
2023-09-11,10.32,10.41,10.165,10.18,887913.0,10.522,10.519277994018871,-0.1240023932651777,48.46938740889212,-0.2400000000000002,11.074491009691087,9.969508990308913,0.31643571428571426,1492039.1,-506664.0,10.27,10.52,10.42
2023-09-12,10.11,10.22,9.9,9.99,1368546.0,10.455,10.468870566017074,-0.14776455622940787,42.30769202292898,-0.4499999999999993,10.911600712358533,9.998399287641467,0.3185785714285715,1496929.1,-1875210.0,10.18,10.24,10.44
2023-09-13,9.93,10.0,9.65,9.74,1472277.0,10.3975,10.399454321634495,-0.18376497089786525,31.603773376201502,-0.75,10.90970370125464,9.885296298745361,0.3221428571428571,1466237.7,-3347487.0,9.99,10.35,10.49
2023-09-14,9.81,9.97,9.78,9.91,937187.0,10.352500000000001,10.352839624335973,-0.19680931731935658,40.191387290584004,-0.8300000000000001,10.870222746366498,9.834777253633504,0.3128571428571429,1445522.9,-2410300.0,9.74,10.49,10.74
2023-09-15,9.8,9.8407,9.36,9.43,3124825.0,10.289,10.264950136303975,-0.24166081556817431,29.959514000229476,-1.25,10.925235639895856,9.652764360104143,0.31933571428571444,1506415.55,-5535125.0,9.91,10.27,10.68
2023-09-18,9.44,9.44,9.22,9.25,1482586.0,10.2265,10.16828821856074,-0.2878813754221632,27.376425709783305,-1.2699999999999996,11.005116181372275,9.447883818627725,0.32362142857142867,1513442.7,-7017711.0,9.43,10.18,10.52
2023-09-19,9.23,9.34,9.19,9.19,962995.0,10.174000000000001,10.075117912031146,-0.32541051642363783,25.378787744203393,-1.0500000000000007,11.079966189679348,9.268033810320654,0.31147857142857155,1469129.45,-7980706.0,9.25,9.99,10.24
2023-09-20,9.25,9.34,8.975,9.0,1630601.0,10.108500000000001,9.972725729932941,-0.36578865106636194,16.279069679105817,-1.3499999999999996,11.152042045151996,9.064957954848007,0.31755000000000017,1492530.75,-9611307.0,9.19,9.74,10.35
2023-09-21,8.84,8.91,8.47,8.47,1907730.0,10.006,9.829608993748852,-0.4343651251428664,13.770491740069872,-2.0199999999999996,11.260707346880459,8.751292653119542,0.3311214285714287,1551801.5,-11519037.0,9.0,9.91,10.49
2023-09-22,8.53,8.6308,8.325,8.4,1932415.0,9.91,9.693455756248962,-0.4885439499639883,14.189189122078176,-1.8699999999999992,11.344477715333872,8.475522284666129,0.32403571428571454,1607951.1,-13451452.0,8.47,9.43,10.27
2023-09-25,8.31,8.4,8.2,8.25,2024109.0,9.8015,9.555983779463347,-0.5370762231608008,14.840989325874972,-1.9299999999999997,11.393205804607454,8.209794195392547,0.3033214285714289,1643625.0,-15475561.0,8.4,9.25,10.18
2023-09-26,8.17,8.275,8.1,8.13,1543373.0,9.686,9.420175800466838,-0.5783126883020593,10.915492903937732,-1.8599999999999994,11.412187158237241,7.9598128417627585,0.29439285714285746,1636444.55,-17018934.0,8.25,9.19,9.99
2023-09-27,8.18,8.3254,8.07,8.13,2201518.0,9.568000000000001,9.297301914708092,-0.6039981710617077,6.296296263648827,-1.6099999999999994,11.38313635851415,7.7528636414858525,0.28835000000000033,1679359.25,-17018934.0,8.13,9.0,9.74
2023-09-28,8.09,8.29,8.05,8.23,2189318.0,9.442499999999999,9.19565411330732,-0.6093814193863079,10.465116222282319,-1.6799999999999997,11.2635219802714,7.621478019728597,0.2812071428571431,1746333.5,-14829616.0,8.13,8.47,9.91
2023-09-29,8.38,8.43,8.17,8.18,1975739.0,9.317499999999999,9.098925150135194,-0.6105553117508418,10.629921201252387,-1.25,11.124013070443777,7.51098692955622,0.28227857142857155,1792466.65,-16805355.0,8.23,8.4,9.43
2023-10-02,8.05,8.27,7.9,7.99,3779708.0,9.191,8.9933132310747,-0.6194178364568224,10.629921201252387,-1.2599999999999998,10.997291927213258,7.384708072786744,0.28585000000000005,1899035.9,-20585063.0,8.18,8.25,9.25
2023-10-03,7.87,7.96,7.45,7.48,3594946.0,9.053,8.849188161448538,-0.6593761829753202,9.64285709464285,-1.709999999999999,10.941693226880203,7.164306773119799,0.2972785714285715,1950438.7,-24180009.0,7.99,8.13,9.19
2023-10-04,7.5,7.65,7.32,7.62,3149424.0,8.916500000000001,8.732122622262963,-0.6721279914895018,8.664259884007336,-1.38,10.805117149356136,7.027882850643866,0.3072785714285714,2001429.4,-21030585.0,7.48,8.13,9.0
2023-10-05,7.58,7.96,7.57,7.84,1606590.0,8.784,8.647158562999824,-0.6571110542031207,18.326693124871014,-0.6300000000000008,10.577231719549927,6.990768280450075,0.3007999999999999,1967061.8,-19423995.0,7.62,8.23,8.47
2023-10-06,7.67,8.03,7.65,7.94,1981379.0,8.6675,8.579810128428411,-0.6299602975087506,23.04526735694084,-0.45999999999999996,10.353802401550109,6.981197598449891,0.31222857142857136,1987658.95,-17442616.0,7.84,8.18,8.4
2023-10-09,7.81,8.145,7.79,8.13,1379401.0,8.565000000000001,8.536971068578087,-0.5865058097447715,29.29687483978273,-0.11999999999999922,10.107267640094998,7.022732359905005,0.3268714285714284,2012233.35,-16063215.0,7.94,7.99,8.25
2023-10-10,8.16,8.29,8.08,8.1,2553489.0,8.4705,8.495354776332555,-0.5481401536414996,31.24999981770833,-0.030000000000001137,9.8701461958953,7.070853804104698,0.3157999999999998,2071480.5,-18616704.0,8.13,7.48,8.13
2023-10-11,8.16,8.38,8.1,8.19,1986785.0,8.392999999999999,8.466273369062787,-0.5047161352790965,42.85714255102038,0.05999999999999872,9.662249260078768,7.123750739921229,0.30437142857142846,2097205.9,-16629919.0,8.1,7.62,8.13
2023-10-12,8.19,8.19,7.8,7.82,3235279.0,8.2885,8.40472352439014,-0.49420385906616815,37.16814136267523,-0.41000000000000014,9.360719046748612,7.21628095325139,0.3103857142857141,2212110.5,-19865198.0,8.19,7.84,8.23
2023-10-13,7.84,7.85,7.59,7.75,1936742.0,8.2045,8.34236890301965,-0.4858697016562612,38.5321098442892,-0.4299999999999997,9.156693589339332,7.252306410660668,0.31467142857142827,2152706.35,-21801940.0,7.82,7.94,8.18
2023-10-16,7.82,7.975,7.73,7.86,1361305.0,8.135,8.29642900749397,-0.46508630288182573,43.77880156087408,-0.1299999999999999,8.960348411278517,7.309651588721484,0.31967142857142816,2146642.3,-20440635.0,7.75,8.13,7.99
2023-10-17,7.62,7.9,7.62,7.86,1389365.0,8.0685,8.254864340113592,-0.4434986692175933,43.77880156087408,0.3799999999999999,8.734968303822448,7.402031696177553,0.32142857142857106,2167960.8,-20440635.0,7.86,8.1,7.48
2023-10-18,7.75,7.79,7.475,7.5,1970031.0,7.9935,8.182972498198012,-0.4500661186550916,34.97942366678522,-0.1200000000000001,8.546549916848637,7.4404500831513625,0.32678571428571407,2184932.3,-22410666.0,7.86,8.19,7.62
2023-10-19,7.5,7.6,7.42,7.43,2490693.0,7.9415,8.111260831702964,-0.4556291684290006,34.69387735276969,-0.41000000000000014,8.501435146620588,7.38156485337941,0.32107142857142834,2214080.45,-24901359.0,7.5,7.82,7.84
2023-10-20,7.38,7.495,7.29,7.31,2023342.0,7.886999999999999,8.034950276302682,-0.4643119217869103,35.71428550420168,-0.6300000000000008,8.470712257880512,7.303287742119485,0.3092857142857141,2218626.8,-26924701.0,7.43,7.75,7.94
2023-10-23,7.25,7.47,7.19,7.36,1263330.0,7.842499999999999,7.970669297607189,-0.4618498380599343,46.87499965820313,-0.7700000000000005,8.445086530147957,7.239913469852041,0.29285714285714265,2180587.85,-25661371.0,7.31,7.86,8.13
2023-10-24,7.45,7.565,7.3,7.34,1127907.0,7.803,7.910605554977932,-0.45624195603058837,42.222221893827175,-0.7599999999999998,8.429337726285418,7.176662273714582,0.28821428571428553,2159814.55,-26789278.0,7.36,7.86,8.1
2023-10-25,7.23,7.3,7.17,7.21,1880416.0,7.757,7.843881216408605,-0.4569719554136684,31.578947109880005,-0.9799999999999995,8.416476666519882,7.097523333480117,0.26964285714285696,2143759.45,-28669694.0,7.34,7.5,8.19
2023-10-26,7.19,7.42,7.18,7.3,1434048.0,7.710500000000001,7.7920830053220715,-0.44518167432076616,31.176470331487906,-0.5200000000000005,8.360632779960303,7.060367220039697,0.25964285714285706,2105995.95,-27235646.0,7.21,7.43,7.82
2023-10-27,7.3,7.38,7.2,7.3,1522250.0,7.666500000000001,7.74521795719616,-0.43086845052794853,22.516556082627957,-0.4500000000000002,8.301787750799395,7.031212249200607,0.24714285714285708,2083321.5,-27235646.0,7.3,7.31,7.75
2023-10-30,7.4,7.485,7.23,7.31,1574214.0,7.6325,7.703768627939382,-0.4139470098226381,23.489932665195283,-0.5500000000000007,8.267675069111672,6.997324930888329,0.25035714285714283,1973046.8,-25661432.0,7.3,7.36,7.86
2023-10-31,7.34,7.45,7.3,7.39,937054.0,7.628,7.673885901468965,-0.3896084738193535,22.972972755661104,-0.47000000000000064,8.268972944662593,6.987027055337406,0.24107142857142852,1840152.2,-24724378.0,7.31,7.34,7.86
2023-11-01,7.31,7.575,7.205,7.52,2551231.0,7.623,7.659230101329063,-0.3557581291961016,37.90322537851196,0.019999999999999574,8.26579324661566,6.980206753384341,0.2396428571428571,1810242.55,-22173147.0,7.39,7.21,7.5
2023-11-02,7.75,8.12,7.675,8.1,3976130.0,7.636,7.701208186916771,-0.2790382964414393,59.99999951999998,0.6699999999999999,8.307162385245467,6.964837614754534,0.2528571428571428,1928719.55,-18197017.0,7.52,7.3,7.43
2023-11-03,8.315,8.95,8.09,8.63,5219162.0,7.6705,7.789664550067555,-0.1735765988446767,67.74193504682621,1.3200000000000012,8.466740508495006,6.8742594915049935,0.29678571428571426,2090608.7,-12977855.0,8.1,7.3,7.31
2023-11-06,8.59,8.59,7.96,8.15,2715187.0,7.6715,7.823982211965883,-0.12717627806929777,55.47169782014951,0.79,8.470216733925486,6.872783266074514,0.32178571428571423,2157398.0,-15693042.0,8.63,7.31,7.36
2023-11-07,8.14,8.275,8.045,8.16,1637130.0,7.6745,7.85598390606437,-0.08857794634600236,64.34782569527408,0.8200000000000003,8.480411709935085,6.868588290064916,0.31571428571428567,2111580.05,-14055912.0,8.15,7.39,7.34
2023-11-08,8.16,8.45,8.095,8.41,1543331.0,7.6855,7.908747343582049,-0.037424357759505256,69.7580641223335,1.2000000000000002,8.526288477060586,6.844711522939414,0.32821428571428557,2089407.35,-12512581.0,8.16,7.52,7.21
2023-11-09,8.42,8.48,7.85,7.86,1669584.0,7.6875,7.904104739431378,-0.04071577837824503,59.450171535291275,0.5600000000000005,8.529824478046171,6.845175521953829,0.3585714285714285,2011122.6,-14182165.0,8.41,8.1,7.3
2023-11-10,7.93,8.35,7.93,8.33,1773663.0,7.716499999999999,7.9446661928188655,-0.00540074504063881,64.56456429312195,1.0300000000000002,8.60647397951316,6.826526020486838,0.3685714285714285,2002968.65,-12408502.0,7.86,8.63,7.3
2023-11-13,8.27,8.28,7.99,7.99,1538500.0,7.723000000000001,7.948983698264688,-0.004751401413455092,58.90410936310753,0.6800000000000006,8.619263589047664,6.826736410952337,0.3703571428571427,2011828.4,-13947002.0,8.33,8.15,7.31
2023-11-14,8.39,9.35,8.39,9.22,3711296.0,7.7909999999999995,8.070032869858528,0.09378918486258847,71.15789452711357,1.830000000000001,8.90977564657459,6.67222435342541,0.42964285714285694,2127924.95,-10235706.0,7.99,8.16,7.39
2023-11-15,9.02,9.33,9.001,9.03,2698380.0,7.8675,8.161458310824383,0.15478654537476366,67.83505135057922,1.5099999999999998,9.1053908207958,6.6296091792042,0.43599999999999983,2164342.4,-12934086.0,9.22,8.41,7.52
2023-11-16,8.99,9.165,8.84,8.93,1883692.0,7.942500000000001,8.234652757412537,0.19284410567769328,66.46464627666563,0.8300000000000001,9.248661511734602,6.636338488265401,0.4463571428571426,2133992.35,-14817778.0,9.03,7.86,8.1
2023-11-17,9.04,9.11,8.93,9.01,1212599.0,8.0275,8.308495351944677,0.2268372076418288,66.93227072967095,0.379999999999999,9.380763112861484,6.674236887138515,0.4409999999999998,2093455.2,-13605179.0,8.93,8.33,8.63
2023-11-20,9.0,9.1295,8.86,8.99,1713487.0,8.109,8.373400556521375,0.24929037846306557,66.12903207141,0.8399999999999999,9.48906712270015,6.728932877299849,0.4495357142857141,2115963.05,-15318666.0,9.01,7.99,8.15
