Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,MACD,RSI_14,Momentum_10,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,OBV,Lag_1,Lag_5,Lag_10
2023-08-15,5.61,5.61,5.38,5.42,618761.0,6.409999999999999,6.308703257332626,-0.216021912399877,28.389830340060314,-1.3899999999999997,7.582850777963001,5.237149222036997,0.30494285714285724,781071.15,-2254094.0,5.66,6.45,6.81
2023-08-16,5.47,5.5,5.17,5.2,622667.0,6.2965,6.2031124709199945,-0.24716641136668382,24.505928718149008,-1.1899999999999995,7.476763574487985,5.116236425512015,0.31565714285714297,769036.75,-2876761.0,5.42,5.72,6.39
2023-08-17,5.21,5.23,5.04,5.07,463353.0,6.1735,6.095196997499043,-0.277053652302393,18.39999989696001,-1.2799999999999994,7.32488863528944,5.022111364710559,0.30994285714285724,769153.6,-3340114.0,5.2,5.51,6.35
2023-08-18,5.02,5.215,5.02,5.14,538558.0,6.0825000000000005,6.004225854880087,-0.2921924489511669,18.725099497150836,-1.2600000000000007,7.259559225804984,4.905440774195017,0.30994285714285724,748134.85,-2801556.0,5.07,5.68,6.4
2023-08-21,5.15,5.16,4.67,4.97,1811347.0,5.99,5.905728154415317,-0.3121885799801962,14.341085193498003,-1.4000000000000004,7.21290422226849,4.767095777731511,0.3295857142857144,743573.8,-4612903.0,5.14,5.66,6.37
2023-08-22,5.02,5.1408,4.84,4.87,1135272.0,5.915,5.807087377804335,-0.3310180564727778,16.37168131451172,-1.58,7.220945916507303,4.609054083492697,0.3216857142857144,757895.65,-5748175.0,4.97,5.42,6.45
2023-08-23,4.88,5.05,4.85,4.99,605344.0,5.842499999999999,5.72926953229916,-0.33337059806899205,20.94017081488788,-0.7299999999999995,7.186177201210404,4.498822798789595,0.3156142857142858,760357.35,-5142831.0,4.87,5.2,5.72
2023-08-24,4.99,5.01,4.84,4.95,569321.0,5.7655,5.655053386365907,-0.33414334715933336,18.88412005820699,-0.5599999999999996,7.129294628774318,4.401705371225683,0.3113285714285715,758845.65,-5712152.0,4.99,5.07,5.51
2023-08-25,4.97,5.09,4.925,4.98,486052.0,5.682,5.590762587664392,-0.32870615947771764,20.17167369853931,-0.6999999999999993,7.022064413220104,4.341935586779897,0.31025714285714295,751892.3,-5226100.0,4.95,5.14,5.68
2023-08-28,5.0,5.09,4.9575,5.08,459712.0,5.6005,5.542118531696354,-0.31343259958579495,20.851063705568123,-0.5800000000000001,6.8739284432193255,4.327071556780675,0.2811500000000001,744709.6,-4766388.0,4.98,4.97,5.66
