Date,Open,High,Low,Close,Volume
2023-09-06 04:00:00,3.2,3.29,3.16,3.19,64813.0
2023-09-07 04:00:00,3.17,3.32,3.1,3.16,62216.0
2023-09-08 04:00:00,3.24,3.3,3.16,3.29,29998.0
2023-09-11 04:00:00,3.34,3.44,3.27,3.33,49528.0
2023-09-12 04:00:00,3.33,3.36,3.23,3.36,33284.0
2023-09-13 04:00:00,3.35,3.35,3.17,3.24,38853.0
2023-09-14 04:00:00,3.25,3.3,3.16,3.17,25443.0
2023-09-15 04:00:00,3.16,3.19,3.005,3.02,149566.0
2023-09-18 04:00:00,3.08,3.0837,2.92,3.01,89952.0
2023-09-19 04:00:00,3.05,3.13,2.95,3.01,35665.0
2023-09-20 04:00:00,3.01,3.17,2.99,3.08,35646.0
2023-09-21 04:00:00,3.06,3.08,2.92,3.03,36556.0
2023-09-22 04:00:00,2.99,3.04,2.94,2.97,25996.0
2023-09-25 04:00:00,2.97,3.1598,2.96,2.99,25390.0
2023-09-26 04:00:00,2.94,3.02,2.76,3.0,136102.0
2023-09-27 04:00:00,3.03,3.16,2.82,3.0,34678.0
2023-09-28 04:00:00,3.0,3.0685,2.85,2.9,22764.0
2023-09-29 04:00:00,2.88,2.93,2.84,2.85,28948.0
2023-10-02 04:00:00,2.85,3.066,2.75,2.84,28572.0
2023-10-03 04:00:00,2.85,2.85,2.7,2.76,17020.0
2023-10-04 04:00:00,2.71,2.8,2.61,2.62,26380.0
2023-10-05 04:00:00,2.65,2.65,2.34,2.49,116360.0
2023-10-06 04:00:00,2.44,2.56,2.3,2.48,65138.0
2023-10-09 04:00:00,2.43,2.58,2.4,2.56,47583.0
2023-10-10 04:00:00,2.62,2.94,2.61,2.89,97087.0
2023-10-11 04:00:00,2.82,2.95,2.77,2.77,41133.0
2023-10-12 04:00:00,2.77,2.86,2.65,2.75,42207.0
2023-10-13 04:00:00,2.74,2.7899,2.68,2.78,17294.0
2023-10-16 04:00:00,2.79,2.79,2.67,2.67,9186.0
2023-10-17 04:00:00,2.71,2.89,2.7,2.8,36629.0
2023-10-18 04:00:00,2.75,2.88,2.68,2.79,15747.0
2023-10-19 04:00:00,2.85,2.9,2.77,2.77,16668.0
2023-10-20 04:00:00,2.78,2.78,2.36,2.46,51883.0
2023-10-23 04:00:00,2.36,2.84,2.2,2.65,111554.0
2023-10-24 04:00:00,2.68,2.85,2.58,2.8,75831.0
2023-10-25 04:00:00,2.77,3.0,2.61,2.86,58966.0
2023-10-26 04:00:00,2.77,2.93,2.7,2.9,67856.0
2023-10-27 04:00:00,2.69,2.9,2.51,2.71,42113.0
2023-10-30 04:00:00,2.71,2.741,2.66,2.69,9364.0
2023-10-31 04:00:00,2.67,3.0,2.5414,3.0,77116.0
2023-11-01 04:00:00,2.99,2.99,2.7901,2.95,40179.0
2023-11-02 04:00:00,2.96,2.96,2.75,2.83,23510.0
2023-11-03 04:00:00,2.94,2.94,2.67,2.72,73297.0
2023-11-06 05:00:00,2.75,2.76,2.6401,2.69,39177.0
2023-11-07 05:00:00,2.665,2.72,2.6499,2.72,17038.0
2023-11-08 05:00:00,2.9,3.0,2.74,3.0,130554.0
