Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,132.85,133.0,131.93,132.23,91943
2023-09-08 04:00:00,132.65,132.95,131.2,131.63,72719
2023-09-11 04:00:00,132.64,132.69,131.06,132.28,113609
2023-09-12 04:00:00,132.1,132.11,130.535,131.36,87592
2023-09-13 04:00:00,130.88,132.48,130.335,131.08,94868
2023-09-14 04:00:00,131.73,133.91,131.4928,133.73,80725
2023-09-15 04:00:00,133.58,135.04,132.41,134.78,399322
2023-09-18 04:00:00,135.24,135.24,130.39,130.76,102539
2023-09-19 04:00:00,130.8,132.58,130.02,130.59,98609
2023-09-20 04:00:00,131.39,132.52,130.12,130.3,64070
2023-09-21 04:00:00,129.26,129.26,127.6625,128.49,71205
2023-09-22 04:00:00,128.39,129.8293,127.17,127.19,60588
2023-09-25 04:00:00,126.17,127.59,126.17,126.57,64269
2023-09-26 04:00:00,125.83,126.325,123.34,123.49,98210
2023-09-27 04:00:00,123.74,125.01,121.44,123.38,139626
2023-09-28 04:00:00,123.61,126.91,123.61,125.93,162474
2023-09-29 04:00:00,126.21,126.46,123.46,124.04,133181
2023-10-02 04:00:00,123.89,124.02,121.54,123.08,124960
2023-10-03 04:00:00,122.98,123.3075,121.83,123.0,67362
2023-10-04 04:00:00,122.8,124.99,121.7716,123.85,95922
2023-10-05 04:00:00,124.08,126.14,123.47,126.05,118775
2023-10-06 04:00:00,125.23,127.075,124.515,126.17,89818
2023-10-09 04:00:00,125.6,126.3,124.35,125.7,41001
2023-10-10 04:00:00,126.14,127.14,125.74,125.81,75743
2023-10-11 04:00:00,126.38,127.05,124.62,127.05,49463
2023-10-12 04:00:00,126.55,126.55,123.53,124.35,53123
2023-10-13 04:00:00,125.23,125.23,123.9,125.0,70366
2023-10-16 04:00:00,126.27,127.19,125.2201,126.67,93894
2023-10-17 04:00:00,126.02,129.68,126.02,128.41,82191
2023-10-18 04:00:00,127.4,127.6,125.42,125.44,47323
2023-10-19 04:00:00,124.94,126.7,122.95,123.13,96402
2023-10-20 04:00:00,123.49,124.53,122.25,122.47,89022
2023-10-23 04:00:00,121.77,123.79,121.28,121.89,117867
2023-10-24 04:00:00,123.05,123.805,121.14,121.69,70051
2023-10-25 04:00:00,120.59,121.9099,119.95,121.07,56346
2023-10-26 04:00:00,121.71,122.205,120.97,121.68,59321
2023-10-27 04:00:00,115.01,116.22,110.74,115.08,147368
2023-10-30 04:00:00,114.74,116.04,113.9,115.58,108897
2023-10-31 04:00:00,114.97,116.89,114.97,116.24,78563
2023-11-01 04:00:00,115.71,117.09,115.15,116.7,69725
2023-11-02 04:00:00,117.83,119.42,117.83,118.91,79205
2023-11-03 04:00:00,120.77,122.14,120.69,121.02,75172
2023-11-06 05:00:00,120.46,121.8701,120.43,120.87,75807
2023-11-07 05:00:00,121.32,121.32,119.42,119.51,52578
2023-11-08 05:00:00,119.43,119.43,118.01,118.45,49636
2023-11-09 05:00:00,118.99,119.5,116.84,117.45,65491
2023-11-10 05:00:00,118.04,118.94,116.98,118.31,73235
2023-11-13 05:00:00,117.37,119.0,117.095,118.78,51409
2023-11-14 05:00:00,122.2,126.25,122.2,125.98,87924
2023-11-15 05:00:00,125.66,126.54,124.11,124.38,63801
2023-11-16 05:00:00,124.63,125.5,121.965,124.02,89109
2023-11-17 05:00:00,125.0,125.0703,122.325,122.43,91057
2023-11-20 05:00:00,122.56,124.18,122.28,124.07,57913
2023-11-21 05:00:00,123.46,124.75,122.05,122.21,59951
2023-11-22 05:00:00,123.36,123.36,120.76,121.6,59196
2023-11-24 05:00:00,121.22,123.11,120.81,122.96,31743
2023-11-27 05:00:00,122.24,123.424,121.71,123.23,85346
2023-11-28 05:00:00,123.14,123.14,120.8701,122.71,64728
2023-11-29 05:00:00,123.92,125.01,123.3,124.94,95085
2023-11-30 05:00:00,125.17,125.17,123.88,124.72,126708
2023-12-01 05:00:00,125.31,125.64,124.07,124.94,129511
2023-12-04 05:00:00,124.34,126.6125,124.34,126.52,106513
2023-12-05 05:00:00,126.72,128.09,125.23,128.02,106760
2023-12-06 05:00:00,129.33,133.59,127.44,131.57,114942
2023-12-07 05:00:00,131.27,135.13,131.1,134.97,142526
2023-12-08 05:00:00,135.16,136.36,131.735,133.13,83703
2023-12-11 05:00:00,132.98,135.02,132.89,134.84,85752
2023-12-12 05:00:00,134.84,135.535,133.82,135.15,201477
2023-12-13 05:00:00,135.08,140.57,135.0,140.13,156755
2023-12-14 05:00:00,141.95,144.7,141.11,141.28,177410
2023-12-15 05:00:00,142.44,142.515,139.26,140.25,639202
2023-12-18 05:00:00,141.13,142.04,139.39,141.18,116706
2023-12-19 05:00:00,142.51,145.43,141.96,145.17,158367
2023-12-20 05:00:00,144.3,148.03,142.955,143.17,137434
2023-12-21 05:00:00,144.44,145.81,143.545,145.39,81957
2023-12-22 05:00:00,146.5,148.395,146.18,146.76,112578
2023-12-26 05:00:00,147.11,148.685,145.65,148.25,70139
2023-12-27 05:00:00,147.95,149.96,145.12,149.82,91092
2023-12-28 05:00:00,148.86,150.82,148.86,150.35,78349
2023-12-29 05:00:00,150.73,150.73,148.75,148.75,121467
2024-01-02 05:00:00,147.89,148.0,144.675,146.2,285354
2024-01-03 05:00:00,145.69,145.78,140.1484,142.73,156859
2024-01-04 05:00:00,142.86,144.08,142.59,143.39,152310
2024-01-05 05:00:00,142.16,143.56,139.82,140.17,105566
2024-01-08 05:00:00,140.67,142.55,139.99,142.44,87812
2024-01-09 05:00:00,140.29,141.24,139.615,141.16,74006
2024-01-10 05:00:00,140.56,141.57,139.8,141.39,87742
2024-01-11 05:00:00,140.69,141.375,139.412,140.36,108300
2024-01-12 05:00:00,142.18,142.72,140.19,140.84,54455
2024-01-16 05:00:00,139.85,141.51,136.975,137.5,124670
2024-01-17 05:00:00,135.84,138.38,135.84,137.06,96022
2024-01-18 05:00:00,137.51,140.375,136.74,139.58,123055
2024-01-19 05:00:00,140.36,141.2,138.31,141.06,101834
2024-01-22 05:00:00,142.0,144.97,142.0,144.21,196446
2024-01-23 05:00:00,145.46,145.7,141.8,141.98,111576
2024-01-24 05:00:00,143.38,143.85,139.38,139.68,70000
2024-01-25 05:00:00,141.45,141.45,138.34,139.37,97932
2024-01-26 05:00:00,140.32,140.705,138.85,139.43,73761
2024-01-29 05:00:00,138.92,142.1,138.696,141.92,59659
2024-01-30 05:00:00,140.95,143.11,140.64,142.93,85465
2024-01-31 05:00:00,143.4,143.675,140.05,140.16,135148
2024-02-01 05:00:00,141.37,143.05,139.84,142.9,97570
2024-02-02 05:00:00,141.21,143.54,141.02,143.14,101058
2024-02-05 05:00:00,141.38,141.66,138.38,140.28,116927
2024-02-06 05:00:00,140.31,142.66,140.31,141.21,83654
2024-02-07 05:00:00,141.34,143.91,139.91,142.28,131578
2024-02-08 05:00:00,142.5,143.64,141.895,143.43,84623
2024-02-09 05:00:00,143.9,145.6,143.0,145.14,106681
2024-02-12 05:00:00,145.2,146.59,144.2,145.33,135492
2024-02-13 05:00:00,142.14,144.4,139.57,140.58,179704
2024-02-14 05:00:00,142.28,143.44,140.19,142.73,119531
2024-02-15 05:00:00,142.66,146.84,141.585,146.39,118310
2024-02-16 05:00:00,148.0,151.535,145.0394,149.2,129350
2024-02-20 05:00:00,148.46,157.465,148.34,157.27,184432
2024-02-21 05:00:00,155.0,156.35,152.335,153.66,190061
2024-02-22 05:00:00,153.36,155.57,153.08,155.29,160141
2024-02-23 05:00:00,155.0,157.25,155.0,156.88,103875
2024-02-26 05:00:00,155.74,156.235,154.08,155.44,131249
2024-02-27 05:00:00,156.2,156.2,154.22,154.64,69217
2024-02-28 05:00:00,153.0,154.33,152.94,154.08,70559
2024-02-29 05:00:00,155.75,158.27,155.27,157.19,91682
2024-03-01 05:00:00,157.29,157.6,155.51,156.93,72694
2024-03-04 05:00:00,156.77,157.595,156.31,156.99,61089
2024-03-05 05:00:00,155.91,157.595,154.14,154.5,68674
2024-03-06 05:00:00,156.19,157.5,154.91,157.05,78400
2024-03-07 05:00:00,157.51,159.52,155.99,156.99,85660
2024-03-08 05:00:00,158.22,159.41,156.29,156.42,75926
2024-03-11 04:00:00,157.405,157.405,155.52,156.04,66285
2024-03-12 04:00:00,155.65,156.175,154.11,155.58,86852
2024-03-13 04:00:00,155.08,156.42,154.0322,155.27,109134
2024-03-14 04:00:00,154.59,154.59,152.715,153.99,92158
2024-03-15 04:00:00,153.08,156.459,153.08,156.39,360014
2024-03-18 04:00:00,156.19,157.41,155.64,155.87,104658
2024-03-19 04:00:00,155.87,158.1,155.34,156.79,86888
2024-03-20 04:00:00,156.27,158.05,155.54,156.91,92779
2024-03-21 04:00:00,157.75,158.38,156.51,156.93,109116
2024-03-22 04:00:00,157.4,157.92,155.14,155.55,61941
2024-03-25 04:00:00,156.04,156.585,153.58,153.63,57960
2024-03-26 04:00:00,154.15,154.59,153.23,153.44,66205
2024-03-27 04:00:00,154.6,155.66,153.65,154.46,117311
2024-03-28 04:00:00,154.89,156.27,154.67,154.95,95985
2024-04-01 04:00:00,155.45,155.45,151.38,152.12,69289
2024-04-02 04:00:00,151.59,151.59,148.9,150.75,134245
2024-04-03 04:00:00,149.45,153.07,149.45,152.59,91048
2024-04-04 04:00:00,153.98,153.98,150.35,150.87,70622
2024-04-05 04:00:00,150.05,151.4899,149.6,150.24,86101
2024-04-08 04:00:00,151.23,153.3,150.4,152.79,52246
2024-04-09 04:00:00,153.2,153.8,151.97,153.56,62118
2024-04-10 04:00:00,149.45,150.1,147.93,148.99,95969
2024-04-11 04:00:00,148.82,150.245,148.09,149.3,76234
2024-04-12 04:00:00,148.3,148.71,146.05,147.9,77443
2024-04-15 04:00:00,147.72,149.63,145.93,146.76,77674
2024-04-16 04:00:00,146.39,147.95,144.95,145.62,64914
2024-04-17 04:00:00,145.68,145.68,143.68,143.8,62573
2024-04-18 04:00:00,143.89,145.53,142.65,143.12,124973
2024-04-19 04:00:00,142.64,144.11,142.51,143.48,94637
2024-04-22 04:00:00,144.13,145.1099,143.02,143.72,64336
2024-04-23 04:00:00,143.36,145.52,143.36,145.07,70624
2024-04-24 04:00:00,144.36,144.865,140.33,140.64,119526
2024-04-25 04:00:00,139.17,139.88,137.79,138.5,111231
2024-04-26 04:00:00,138.7,139.92,138.52,139.26,58508
2024-04-29 04:00:00,139.86,140.5,138.64,139.23,93235
2024-04-30 04:00:00,137.98,141.42,137.69,141.38,166356
2024-05-01 04:00:00,141.66,145.66,141.09,143.82,142105
2024-05-02 04:00:00,144.42,146.4,143.47,146.28,118608
2024-05-03 04:00:00,147.05,150.4,145.11,150.4,102016
2024-05-06 04:00:00,152.0,154.07,151.42,153.32,106372
2024-05-07 04:00:00,153.35,157.2299,153.35,155.48,115435
2024-05-08 04:00:00,154.13,154.995,152.53,153.28,81625
2024-05-09 04:00:00,153.86,155.34,152.3,155.02,78646
2024-05-10 04:00:00,154.48,156.63,153.92,156.43,66885
2024-05-13 04:00:00,156.63,156.63,153.97,154.46,46770
2024-05-14 04:00:00,155.88,156.28,154.595,155.27,58802
2024-05-15 04:00:00,155.77,156.77,154.69,156.36,75448
2024-05-16 04:00:00,156.27,157.02,154.95,156.63,69788
2024-05-17 04:00:00,157.11,157.11,155.02,155.83,81568
2024-05-20 04:00:00,155.39,156.055,153.7,154.39,124229
2024-05-21 04:00:00,154.33,155.74,153.52,155.5,55852
2024-05-22 04:00:00,155.42,156.24,154.82,155.2,64902
2024-05-23 04:00:00,155.2,155.29,152.47,153.75,115455
2024-05-24 04:00:00,154.51,154.75,152.48,153.02,156251
2024-05-28 04:00:00,153.46,153.46,150.6,152.03,80241
2024-05-29 04:00:00,150.61,151.465,149.24,149.63,55929
2024-05-30 04:00:00,150.2,152.96,149.04,151.52,65748
2024-05-31 04:00:00,152.03,154.55,151.115,153.6,132731
2024-06-03 04:00:00,154.56,155.63,152.89,154.7,82802
2024-06-04 04:00:00,153.97,153.97,152.5,153.1,56244
2024-06-05 04:00:00,153.4,157.18,153.34,155.45,89551
2024-06-06 04:00:00,154.65,155.9,151.84,153.83,94102
2024-06-07 04:00:00,152.48,152.99,151.435,152.25,57727
2024-06-10 04:00:00,150.48,151.19,149.27,151.03,75025
2024-06-11 04:00:00,150.51,151.47,149.18,151.47,110222
2024-06-12 04:00:00,155.15,155.63,153.02,153.24,56919
2024-06-13 04:00:00,152.76,152.76,150.0,152.31,62739
2024-06-14 04:00:00,150.59,150.84,149.3,150.69,77832
2024-06-17 04:00:00,150.49,153.94,149.77,153.84,82497
2024-06-18 04:00:00,153.86,154.16,152.49,152.5,84226
2024-06-20 04:00:00,151.27,153.23,150.03,150.43,65338
2024-06-21 04:00:00,150.48,151.6,149.37,151.6,312414
2024-06-24 04:00:00,151.45,153.35,150.995,151.44,77981
2024-06-25 04:00:00,150.94,151.685,149.97,151.6,80200
2024-06-26 04:00:00,151.36,151.95,150.69,151.03,122045
2024-06-27 04:00:00,151.81,151.93,149.595,151.6,111522
2024-06-28 04:00:00,152.64,154.49,151.365,153.95,359642
2024-07-01 04:00:00,153.75,154.845,151.785,154.1,155719
2024-07-02 04:00:00,154.59,159.15,153.04,158.82,116854
2024-07-03 04:00:00,159.23,160.0,158.52,159.73,80851
2024-07-05 04:00:00,158.95,160.66,158.23,160.51,91611
2024-07-08 04:00:00,161.82,163.025,161.56,162.28,72604
2024-07-09 04:00:00,161.99,163.095,161.1,161.92,88989
2024-07-10 04:00:00,162.83,163.02,162.135,162.89,59396
2024-07-11 04:00:00,164.34,168.04,163.75,164.4,167465
2024-07-12 04:00:00,166.14,168.0,165.345,166.08,186347
2024-07-15 04:00:00,167.28,169.2,165.97,167.94,225192
2024-07-16 04:00:00,169.94,176.9,169.03,176.3,186550
2024-07-17 04:00:00,175.4,178.35,170.2,174.58,161017
2024-07-18 04:00:00,174.54,177.3,173.365,174.03,142960
2024-07-19 04:00:00,174.29,174.29,171.87,172.44,94468
2024-07-22 04:00:00,172.45,176.06,171.28,175.64,120147
2024-07-23 04:00:00,175.35,180.76,174.905,179.69,116961
2024-07-24 04:00:00,178.77,180.43,174.95,174.95,101034
2024-07-25 04:00:00,176.25,178.805,174.72,174.81,202300
2024-07-26 04:00:00,178.53,182.588,172.58,180.78,156553
2024-07-29 04:00:00,181.85,186.03,180.085,181.56,125181
2024-07-30 04:00:00,179.9,180.59,176.89,178.16,164153
2024-07-31 04:00:00,176.42,181.03,175.55,177.46,179028
2024-08-01 04:00:00,177.93,178.685,172.625,175.99,172364
2024-08-02 04:00:00,170.82,172.73,169.65,171.47,194266
2024-08-05 04:00:00,166.49,168.61,163.83,164.27,268029
2024-08-06 04:00:00,164.4,168.5099,164.1,165.16,148469
2024-08-07 04:00:00,167.14,167.195,162.56,162.85,89594
2024-08-08 04:00:00,164.47,168.48,163.27,168.18,83901
2024-08-09 04:00:00,167.58,168.3,163.0,163.66,145129
2024-08-12 04:00:00,164.15,165.135,162.435,162.65,78167
2024-08-13 04:00:00,163.83,165.32,162.76,164.62,66461
2024-08-14 04:00:00,165.24,165.43,163.35,164.76,72891
2024-08-15 04:00:00,168.45,169.195,167.35,167.73,91917
2024-08-16 04:00:00,167.15,168.83,165.72,166.29,94461
2024-08-19 04:00:00,166.94,169.275,166.57,168.92,63876
2024-08-20 04:00:00,169.26,169.29,167.0,167.28,57571
2024-08-21 04:00:00,168.28,169.5,166.87,169.27,36736
2024-08-22 04:00:00,169.4,169.4,167.47,167.83,41016
2024-08-23 04:00:00,168.9,173.96,168.895,172.74,92715
2024-08-26 04:00:00,173.54,175.84,172.85,173.19,69265
2024-08-27 04:00:00,172.64,173.14,171.29,172.41,96393
2024-08-28 04:00:00,172.26,174.55,171.46,171.7,53236
2024-08-29 04:00:00,172.76,174.08,172.0393,172.47,51981
2024-08-30 04:00:00,173.46,177.95,173.14,177.03,103564
2024-09-03 04:00:00,176.35,176.795,171.19,171.8,104196
2024-09-04 04:00:00,171.89,172.9,170.68,172.54,59071
2024-09-05 04:00:00,173.02,173.02,171.02,171.9,79112
2024-09-06 04:00:00,171.9,172.73,167.0135,168.63,130426
2024-09-09 04:00:00,168.23,168.755,166.43,167.16,89831
2024-09-10 04:00:00,167.86,168.26,165.87,167.68,86946
2024-09-11 04:00:00,166.67,167.04,163.59,163.97,124849
2024-09-12 04:00:00,164.72,168.435,164.35,168.13,98642
2024-09-13 04:00:00,169.68,173.42,169.68,171.82,80624
