Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,21.82,22.045,21.765,21.93,2539602.0
2023-09-08 04:00:00,21.92,22.13,21.84,22.04,2330959.0
2023-09-11 04:00:00,22.11,22.205,21.87,22.08,1527596.0
2023-09-12 04:00:00,22.06,22.515,22.03,22.48,3505262.0
2023-09-13 04:00:00,22.46,22.55,22.25,22.36,3600000.0
2023-09-14 04:00:00,22.58,23.01,22.46,22.99,1648808.0
2023-09-15 04:00:00,22.79,23.015,22.77,22.9,4085020.0
2023-09-18 04:00:00,22.86,22.89,22.46,22.49,1320875.0
2023-09-19 04:00:00,22.49,22.62,22.32,22.34,1854315.0
2023-09-20 04:00:00,22.52,22.715,22.18,22.19,1467332.0
2023-09-21 04:00:00,22.04,22.04,21.67,21.68,2041347.0
2023-09-22 04:00:00,21.75,21.835,21.4,21.4,1736273.0
2023-09-25 04:00:00,21.28,21.445,21.215,21.37,2565726.0
2023-09-26 04:00:00,21.15,21.275,20.8,20.91,2213174.0
2023-09-27 04:00:00,21.0,21.25,20.73,20.83,3054508.0
2023-09-28 04:00:00,20.96,21.205,20.83,20.89,3101563.0
2023-09-29 04:00:00,21.19,21.24,20.595,20.78,3604086.0
2023-10-02 04:00:00,20.43,20.63,19.96,20.15,1801250.0
2023-10-03 04:00:00,20.04,20.04,19.46,19.74,3642191.0
2023-10-04 04:00:00,19.79,20.09,19.555,20.07,2384087.0
2023-10-05 04:00:00,20.02,20.2,19.815,20.19,3571955.0
2023-10-06 04:00:00,20.05,20.24,19.7625,19.89,3931778.0
2023-10-09 04:00:00,19.77,20.31,19.76,20.18,2297712.0
2023-10-10 04:00:00,20.2,20.54,20.06,20.42,2388375.0
2023-10-11 04:00:00,20.56,20.89,20.495,20.88,1760992.0
2023-10-12 04:00:00,20.8,20.8,20.4,20.49,1876565.0
2023-10-13 04:00:00,20.6,20.66,20.005,20.2,3317781.0
2023-10-16 04:00:00,20.42,20.66,20.245,20.47,3740968.0
2023-10-17 04:00:00,20.31,21.19,20.27,20.93,5500314.0
2023-10-18 04:00:00,20.88,20.9,20.44,20.55,1600107.0
2023-10-19 04:00:00,20.39,20.74,20.205,20.28,2728244.0
2023-10-20 04:00:00,20.35,20.47,20.07,20.08,2095217.0
2023-10-23 04:00:00,19.9,20.075,19.7,19.71,2425614.0
2023-10-24 04:00:00,19.89,20.06,19.755,19.96,2166199.0
2023-10-25 04:00:00,19.81,19.96,19.55,19.59,1901605.0
2023-10-26 04:00:00,19.66,20.44,19.63,20.3,3006782.0
2023-10-27 04:00:00,20.42,20.42,19.785,19.89,2000575.0
2023-10-30 04:00:00,20.04,20.255,19.875,20.16,2247041.0
2023-10-31 04:00:00,20.36,20.925,20.02,20.79,3249309.0
2023-11-01 04:00:00,20.8,21.21,20.76,21.09,3024777.0
2023-11-02 04:00:00,21.48,21.59,21.31,21.37,2404101.0
2023-11-03 04:00:00,21.82,22.065,21.715,21.74,2944841.0
2023-11-06 05:00:00,21.67,21.68,21.165,21.37,2668688.0
2023-11-07 05:00:00,21.3,21.37,21.025,21.08,1965488.0
2023-11-08 05:00:00,21.14,21.38,21.04,21.35,2051393.0
2023-11-09 05:00:00,21.41,21.44,20.76,20.85,1403466.0
2023-11-10 05:00:00,20.98,21.09,20.775,21.05,1541441.0
2023-11-13 05:00:00,20.94,20.9799,20.69,20.77,1009072.0
2023-11-14 05:00:00,21.47,22.395,21.45,22.07,2444964.0
2023-11-15 05:00:00,21.96,22.17,21.8,21.93,1426354.0
2023-11-16 05:00:00,21.92,22.01,21.42,21.44,2935416.0
2023-11-17 05:00:00,21.71,21.79,21.46,21.66,1878567.0
2023-11-20 05:00:00,21.62,21.62,21.39,21.6,2411755.0
2023-11-21 05:00:00,21.45,21.48,21.175,21.26,2517822.0
2023-11-22 05:00:00,21.48,21.567,21.32,21.4,995058.0
2023-11-24 05:00:00,21.32,21.47,21.185,21.38,773878.0
2023-11-27 05:00:00,21.31,21.65,21.22,21.43,1699846.0
2023-11-28 05:00:00,21.33,21.52,21.16,21.45,1563067.0
2023-11-29 05:00:00,21.65,21.77,21.3,21.32,2441293.0
2023-11-30 05:00:00,21.36,21.56,21.28,21.52,2712346.0
2023-12-01 05:00:00,21.46,22.105,21.36,21.95,2936230.0
2023-12-04 05:00:00,21.9,22.64,21.88,22.6,3098047.0
2023-12-05 05:00:00,22.51,22.56,22.31,22.55,3224869.0
2023-12-06 05:00:00,22.66,22.85,22.4,22.52,4283921.0
2023-12-07 05:00:00,22.53,22.75,22.4011,22.6,2461191.0
2023-12-08 05:00:00,22.56,22.73,22.205,22.71,2746048.0
2023-12-11 05:00:00,22.64,22.86,22.585,22.85,2033575.0
2023-12-12 05:00:00,22.88,22.9,22.63,22.64,1876849.0
2023-12-13 05:00:00,22.65,23.79,22.62,23.66,2027528.0
2023-12-14 05:00:00,24.0,24.47,23.945,24.14,4096730.0
2023-12-15 05:00:00,24.23,24.29,23.375,23.55,5172515.0
2023-12-18 05:00:00,23.62,23.645,23.38,23.38,1957769.0
2023-12-19 05:00:00,23.55,23.6,23.31,23.35,2222570.0
2023-12-20 05:00:00,23.39,23.76,23.245,23.25,2967388.0
2023-12-21 05:00:00,23.5,23.5,23.17,23.42,3059092.0
2023-12-22 05:00:00,23.61,23.69,23.41,23.43,1731965.0
2023-12-26 05:00:00,23.5,23.64,23.38,23.57,1342107.0
2023-12-27 05:00:00,23.64,23.64,23.375,23.55,1371356.0
2023-12-28 05:00:00,23.42,23.69,23.38,23.67,1439079.0
2023-12-29 05:00:00,23.59,23.6,23.27,23.27,2073815.0
2024-01-02 05:00:00,22.94,23.42,22.83,23.22,1933423.0
2024-01-03 05:00:00,23.02,23.02,22.54,22.67,2300693.0
2024-01-04 05:00:00,22.64,22.875,22.54,22.74,2358359.0
2024-01-05 05:00:00,22.56,22.86,22.45,22.58,2759633.0
2024-01-08 05:00:00,22.52,22.785,22.49,22.73,2712781.0
2024-01-09 05:00:00,22.51,22.71,22.4,22.69,3379062.0
2024-01-10 05:00:00,22.84,23.0,22.69,22.95,3229519.0
2024-01-11 05:00:00,22.9,22.93,22.675,22.81,2376006.0
2024-01-12 05:00:00,23.07,23.2,22.755,22.88,1820028.0
2024-01-16 05:00:00,22.77,22.84,22.42,22.52,2322111.0
2024-01-17 05:00:00,22.21,22.7,22.1201,22.33,2261951.0
2024-01-18 05:00:00,22.33,22.39,21.9325,22.17,3202706.0
2024-01-19 05:00:00,22.3,22.59,22.04,22.5,2605490.0
2024-01-22 05:00:00,22.69,22.87,22.57,22.64,1758109.0
2024-01-23 05:00:00,22.8,22.81,22.42,22.66,1532711.0
2024-01-24 05:00:00,22.97,22.97,22.305,22.37,1686123.0
2024-01-25 05:00:00,22.74,22.84,22.58,22.82,2110053.0
2024-01-26 05:00:00,22.96,22.991,22.615,22.7,3186307.0
2024-01-29 05:00:00,22.7,22.7,22.435,22.6,2062503.0
2024-01-30 05:00:00,22.54,22.785,22.46,22.66,1987937.0
2024-01-31 05:00:00,22.75,22.85,22.335,22.44,3160014.0
2024-02-01 05:00:00,22.41,22.805,22.32,22.76,3098074.0
2024-02-02 05:00:00,22.42,22.625,22.24,22.46,2273931.0
2024-02-05 05:00:00,22.06,22.295,21.91,22.01,2915665.0
2024-02-06 05:00:00,21.99,22.63,21.91,22.47,1681648.0
2024-02-07 05:00:00,22.54,22.74,22.34,22.61,3673029.0
2024-02-08 05:00:00,22.53,22.955,22.43,22.86,4527374.0
2024-02-09 05:00:00,22.83,22.87,22.49,22.76,3449839.0
2024-02-12 05:00:00,22.76,22.92,22.495,22.55,3643919.0
2024-02-13 05:00:00,22.01,22.67,21.75,22.66,5576313.0
2024-02-14 05:00:00,22.73,22.91,22.435,22.8,3560614.0
2024-02-15 05:00:00,23.0,23.24,23.0,23.21,1803186.0
2024-02-16 05:00:00,22.86,23.225,22.78,23.13,2104898.0
2024-02-20 05:00:00,23.0,23.195,22.8,22.84,2074689.0
2024-02-21 05:00:00,22.84,23.23,22.81,22.92,3109219.0
2024-02-22 05:00:00,22.91,23.07,22.84,23.06,2128385.0
2024-02-23 05:00:00,22.88,23.0,22.74,22.77,1830883.0
2024-02-26 05:00:00,22.73,22.79,22.435,22.53,1996194.0
2024-02-27 05:00:00,22.7,22.86,22.41,22.47,2309562.0
2024-02-28 05:00:00,22.25,22.725,22.23,22.47,3008602.0
2024-02-29 05:00:00,22.71,22.71,22.225,22.61,7275690.0
2024-03-01 05:00:00,22.55,22.82,22.37,22.81,2521891.0
2024-03-04 05:00:00,22.78,22.89,22.56,22.8,2023296.0
2024-03-05 05:00:00,22.69,22.995,22.65,22.72,1881971.0
2024-03-06 05:00:00,22.79,22.89,22.59,22.71,1367741.0
