Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,19.51,20.0,17.8,19.732,53500.0
2023-09-08 04:00:00,19.732,20.4,18.8,19.868,21366.3
2023-09-11 04:00:00,19.6,19.868,18.4,19.24,27086.5
2023-09-12 04:00:00,19.378,19.82,19.03,19.7,14003.5
2023-09-13 04:00:00,19.8,22.8,19.75,22.4,44335.0
2023-09-14 04:00:00,22.2,22.4,20.6,21.8,29327.3
2023-09-15 04:00:00,21.6,22.184,21.0,21.4,23647.05
2023-09-18 04:00:00,21.4,21.8,20.6,21.4,18699.4
2023-09-19 04:00:00,21.0,21.4,20.6,21.0,20050.95
2023-09-20 04:00:00,21.0,24.4,21.0,22.8,49368.35
2023-09-21 04:00:00,23.2,23.4,19.8,20.4,40539.85
2023-09-22 04:00:00,21.8,22.0,19.6,20.4,22807.95
2023-09-25 04:00:00,19.8,20.2,19.06,19.402,13770.25
2023-09-26 04:00:00,19.22,20.01,19.202,19.6,9857.45
2023-09-27 04:00:00,19.462,20.028,19.2,19.402,13576.4
2023-09-28 04:00:00,19.6,19.748,18.8,18.8,10527.0
2023-09-29 04:00:00,18.97,19.56,18.5,18.844,11406.15
2023-10-02 04:00:00,18.85,19.498,18.2,18.4,15613.25
2023-10-03 04:00:00,18.194,18.798,18.194,18.496,4399.35
2023-10-04 04:00:00,18.6,18.998,17.622,18.6,12503.0
2023-10-05 04:00:00,18.672,20.6,18.5,19.4,22626.4
2023-10-06 04:00:00,19.076,19.77,18.6,19.2,12851.1
2023-10-09 04:00:00,19.2,19.4,18.0,18.8,9823.15
2023-10-10 04:00:00,18.8,19.8,18.8,19.304,9718.9
2023-10-11 04:00:00,19.8,19.88,18.132,18.5,14915.35
2023-10-12 04:00:00,18.778,18.998,17.912,18.4,16732.9
2023-10-13 04:00:00,17.71,20.398,17.7,18.4,22426.9
2023-10-16 04:00:00,18.6,19.0,17.8,18.8,14958.0
2023-10-17 04:00:00,18.452,19.19,18.288,18.288,17796.1
2023-10-18 04:00:00,18.1,18.256,17.0,17.202,17920.0
2023-10-19 04:00:00,17.2,18.0,16.6,17.508,16855.65
2023-10-20 04:00:00,17.576,18.2,17.0,17.12,9123.6
2023-10-23 04:00:00,16.976,17.6,16.434,16.822,10762.8
2023-10-24 04:00:00,16.822,17.55,16.4258,16.9,13494.15
2023-10-25 04:00:00,16.668,17.342,16.6,16.6,9766.05
2023-10-26 04:00:00,17.0,17.2,15.6,16.17,14443.45
2023-10-27 04:00:00,15.812,16.1,15.146,15.52,19633.3
2023-10-30 04:00:00,15.6,15.808,14.51,15.28,18594.3
2023-10-31 04:00:00,15.4,15.794,15.004,15.34,13298.0
2023-11-01 04:00:00,14.8,16.396,14.608,16.07,8700.55
2023-11-02 04:00:00,15.63,18.34,15.63,17.294,12695.7
2023-11-03 04:00:00,17.8,18.162,16.014,16.2,27634.4
2023-11-06 05:00:00,16.2,16.4,15.8,16.0,7109.0
2023-11-07 05:00:00,16.378,16.378,15.52,16.002,6719.5
2023-11-08 05:00:00,15.98,16.366,15.6,15.6,5882.05
2023-11-09 05:00:00,15.6,16.034,15.0,15.06,7998.15
2023-11-10 05:00:00,15.0,16.0,14.8,15.4,7558.45
2023-11-13 05:00:00,15.07,15.94,14.8,15.6,13880.0
2023-11-14 05:00:00,15.4,16.034,15.2,15.8,9641.3
2023-11-15 05:00:00,15.4,16.4,15.4,15.5,9556.65
2023-11-16 05:00:00,15.8,16.8,15.254,16.058,17490.15
2023-11-17 05:00:00,14.4,15.72,11.86,15.6,46697.45
2023-11-20 05:00:00,15.4,15.8,14.322,14.98,17513.05
2023-11-21 05:00:00,15.0,15.2,14.6,14.65,10392.15
2023-11-22 05:00:00,14.422,14.8,14.0,14.3,8226.1
2023-11-24 05:00:00,14.178,15.36,13.9,14.2,9536.3
2023-11-27 05:00:00,14.3,14.822,14.06,14.062,14199.85
2023-11-28 05:00:00,14.8,14.8,13.6,13.64,19322.4
2023-11-29 05:00:00,13.9,14.2,13.64,13.82,12769.8
2023-11-30 05:00:00,14.2,14.2,13.8,14.188,14792.3
2023-12-01 05:00:00,13.81,15.8,13.602,15.618,26593.35
2023-12-04 05:00:00,15.208,15.99,14.66,15.27,18768.7
2023-12-05 05:00:00,15.434,16.4,15.0,15.6,31630.35
2023-12-06 05:00:00,15.494,15.7,15.02,15.18,15530.5
2023-12-07 05:00:00,16.0,16.2,14.642,14.824,26846.2
2023-12-08 05:00:00,14.8,15.0,14.416,14.798,20698.9
2023-12-11 05:00:00,14.6,15.096,14.126,14.93,17178.95
2023-12-12 05:00:00,14.93,14.958,14.106,14.3,19606.95
2023-12-13 05:00:00,14.584,14.76,14.024,14.36,13596.4
2023-12-14 05:00:00,14.4,15.0,14.36,14.896,23489.25
2023-12-15 05:00:00,15.0,15.228,14.31,14.31,16581.6
2023-12-18 05:00:00,14.8,15.352,14.408,14.66,27466.9
2023-12-19 05:00:00,14.84,15.2,14.02,14.4,42665.55
2023-12-20 05:00:00,14.426,15.0,14.4,15.0,21258.4
2023-12-21 05:00:00,15.0,15.28,14.246,14.758,25434.9
2023-12-22 05:00:00,17.564,18.88,15.458,16.4,592630.4
2023-12-26 05:00:00,16.398,16.398,15.402,15.5,83500.9
2023-12-27 05:00:00,15.134,16.4,15.134,15.96,42602.7
2023-12-28 05:00:00,15.57,16.2,15.202,16.2,42330.1
2023-12-29 05:00:00,16.572,16.58,15.402,15.88,30136.45
2024-01-02 05:00:00,15.706,16.2,15.124,16.014,30314.4
2024-01-03 05:00:00,16.0,16.256,15.2,15.666,20485.2
2024-01-04 05:00:00,15.7,16.09,15.24,15.62,17364.05
2024-01-05 05:00:00,15.978,15.98,15.26,15.55,18544.1
2024-01-08 05:00:00,15.4,15.46,14.9,15.36,21144.15
2024-01-09 05:00:00,15.4,16.4,15.1,16.0,34175.65
2024-01-10 05:00:00,16.226,16.234,15.6,15.862,17405.5
2024-01-11 05:00:00,15.892,16.1,15.402,15.634,24934.55
2024-01-12 05:00:00,15.4,15.796,15.202,15.32,16648.45
2024-01-16 05:00:00,15.4,15.68,14.8,14.822,20304.65
2024-01-17 05:00:00,14.7,15.202,14.24,14.24,15647.95
2024-01-18 05:00:00,14.494,15.0,14.02,15.0,27425.85
2024-01-19 05:00:00,14.7,14.8,13.8,14.316,23569.05
2024-01-22 05:00:00,14.4,14.698,13.82,14.298,19090.2
2024-01-23 05:00:00,14.2,14.4,13.732,13.86,11948.55
2024-01-24 05:00:00,13.86,13.998,12.854,13.8,22816.6
2024-01-25 05:00:00,13.43,14.0,13.32,13.5,11701.0
2024-01-26 05:00:00,13.52,14.0,13.022,13.298,24259.4
2024-01-29 05:00:00,13.4,13.7,13.026,13.46,103875.5
2024-01-30 05:00:00,13.6,14.138,13.022,13.158,79176.4
2024-01-31 05:00:00,13.0,13.4,12.7,12.824,28795.35
2024-02-01 05:00:00,13.2,13.2,12.5,13.08,31076.55
2024-02-02 05:00:00,13.198,13.98,12.8,13.98,31572.75
2024-02-05 05:00:00,14.0,14.0,13.046,13.398,17434.55
2024-02-06 05:00:00,13.38,13.98,13.204,13.422,14026.15
2024-02-07 05:00:00,13.6,13.6,13.1,13.104,11893.3
2024-02-08 05:00:00,13.4,13.598,12.9,13.42,21763.85
2024-02-09 05:00:00,13.6,14.578,13.444,14.56,43647.1
2024-02-12 05:00:00,14.6,15.198,13.977,14.1,24534.65
2024-02-13 05:00:00,14.3,14.6,13.4,13.602,13333.45
2024-02-14 05:00:00,13.552,14.0,13.3,13.58,13521.7
2024-02-15 05:00:00,14.0,14.194,13.162,13.846,22651.75
2024-02-16 05:00:00,14.2,14.484,13.6,14.298,23459.35
2024-02-20 05:00:00,14.2,14.392,13.802,14.18,16428.95
2024-02-21 05:00:00,13.85,14.0,13.62,13.8,17173.55
2024-02-22 05:00:00,13.75,14.492,13.7,13.82,11034.45
2024-02-23 05:00:00,14.0,14.0,13.622,14.0,24134.4
2024-02-26 05:00:00,14.0,14.6,13.4,14.386,21994.5
2024-02-27 05:00:00,14.0,14.998,14.0,14.574,21305.85
2024-02-28 05:00:00,14.6,14.876,14.244,14.404,12990.05
2024-02-29 05:00:00,14.558,14.71,14.0,14.15,23241.25
2024-03-01 05:00:00,14.236,14.776,14.082,14.244,11921.15
2024-03-04 05:00:00,14.58,14.58,13.6,14.14,18450.45
2024-03-05 05:00:00,13.8,14.0,13.4,13.998,18271.7
2024-03-06 05:00:00,13.622,14.2,13.622,13.986,11122.2
2024-03-07 05:00:00,13.896,13.974,13.6,13.66,4810.2
2024-03-08 05:00:00,13.888,14.178,13.782,13.82,13205.7
2024-03-11 04:00:00,13.6,13.798,13.02,13.22,26742.25
2024-03-12 04:00:00,13.378,13.964,13.202,13.678,19875.05
2024-03-13 04:00:00,13.418,14.14,13.3,13.3,35601.3
2024-03-14 04:00:00,13.52,13.892,12.8,12.82,40252.65
2024-03-15 04:00:00,13.298,14.934,13.2752,13.698,67246.95
2024-03-18 04:00:00,14.298,14.6,13.71,13.87,31061.25
2024-03-19 04:00:00,13.984,14.88,13.64,14.284,32793.85
2024-03-20 04:00:00,14.332,15.554,14.328,15.262,44088.95
2024-03-21 04:00:00,15.6,16.4,15.6,16.062,37094.65
2024-03-22 04:00:00,16.374,16.374,15.2,15.546,33739.95
2024-03-25 04:00:00,15.6,15.896,14.42,14.928,24992.45
2024-03-26 04:00:00,14.786,15.0,14.4,14.8,23074.05
2024-03-27 04:00:00,15.026,17.0,14.802,16.842,72316.5
2024-03-28 04:00:00,17.2,19.17,17.0,18.4,75452.25
2024-04-01 04:00:00,16.2,20.0,15.61,19.356,87369.25
2024-04-02 04:00:00,19.6,21.8,18.644,21.4,71272.15
2024-04-03 04:00:00,22.8,24.4,20.7,21.0,132041.55
2024-04-04 04:00:00,21.0,23.0,20.4,21.6,44165.2
2024-04-05 04:00:00,22.8,24.198,20.0,23.2,114598.35
2024-04-08 04:00:00,23.2,24.0,20.8,21.4,70164.6
2024-04-09 04:00:00,21.4,22.0,17.302,17.5,84580.35
2024-04-10 04:00:00,16.4,19.552,15.602,18.402,46050.55
2024-04-11 04:00:00,18.6,19.198,16.402,17.282,26253.4
2024-04-12 04:00:00,17.282,17.822,15.766,16.2,26923.3
2024-04-15 04:00:00,17.4,17.6,16.4,16.494,15256.15
2024-04-16 04:00:00,17.0,17.4,13.8,14.6,63498.15
2024-04-17 04:00:00,14.46,16.0,14.202,14.444,21492.4
2024-04-18 04:00:00,14.4,14.998,14.302,14.44,13716.35
2024-04-19 04:00:00,14.1,14.8,13.6,13.62,18245.65
2024-04-22 04:00:00,12.0,12.96,10.004,10.278,192657.45
2024-04-23 04:00:00,10.824,11.6,10.004,10.25,96083.7
2024-04-24 04:00:00,10.18,12.59,10.1057,12.29,326436.0
2024-04-25 04:00:00,14.5,14.96,12.133,13.0,753807.0
2024-04-26 04:00:00,12.65,13.43,11.57,12.63,200108.0
2024-04-29 04:00:00,12.59,12.82,11.9,12.325,112391.0
2024-04-30 04:00:00,12.2,12.6351,11.72,11.98,76446.0
2024-05-01 04:00:00,11.85,11.86,11.0161,11.81,107666.0
2024-05-02 04:00:00,11.84,12.85,11.52,12.68,65150.0
2024-05-03 04:00:00,11.75,13.1999,11.75,12.51,54051.0
2024-05-06 04:00:00,12.6,14.09,12.6,13.61,102155.0
2024-05-07 04:00:00,13.73,14.1206,13.405,13.44,40727.0
2024-05-08 04:00:00,13.39,13.5899,13.0403,13.05,17270.0
2024-05-09 04:00:00,13.32,13.57,12.6,12.6,27810.0
2024-05-10 04:00:00,12.6,13.04,12.16,12.16,30353.0
2024-05-13 04:00:00,12.25,12.7,12.25,12.7,14814.0
2024-05-14 04:00:00,12.6,13.44,12.3301,13.09,28569.0
2024-05-15 04:00:00,13.13,13.13,12.537,12.71,22090.0
2024-05-16 04:00:00,12.28,12.7,11.85,12.0,46216.0
2024-05-17 04:00:00,12.0,12.0,10.88,11.21,60758.0
2024-05-20 04:00:00,11.22,12.0,10.82,11.26,54020.0
2024-05-21 04:00:00,11.123,11.15,10.62,10.62,41467.0
2024-05-22 04:00:00,10.58,13.17,10.5,12.34,197606.0
2024-05-23 04:00:00,12.6,12.7,11.84,11.92,73167.0
2024-05-24 04:00:00,12.0,12.205,11.65,12.02,29408.0
2024-05-28 04:00:00,12.0,12.2676,11.5301,11.77,32988.0
2024-05-29 04:00:00,11.63,12.29,11.4,11.82,38795.0
2024-05-30 04:00:00,12.09,12.78,11.9291,12.42,38209.0
2024-05-31 04:00:00,12.71,13.49,12.3304,12.69,35316.0
2024-06-03 04:00:00,13.24,13.24,12.1,12.41,18143.0
2024-06-04 04:00:00,12.146,12.565,12.145,12.34,16542.0
2024-06-05 04:00:00,12.34,12.975,11.5,12.5,51164.0
2024-06-06 04:00:00,12.5,13.47,12.5,13.38,91069.0
2024-06-07 04:00:00,13.21,13.44,12.6452,12.84,46437.0
2024-06-10 04:00:00,12.65,13.55,12.65,13.43,34445.0
2024-06-11 04:00:00,13.27,13.65,12.8301,13.55,37125.0
2024-06-12 04:00:00,13.92,14.5446,13.82,14.37,66214.0
2024-06-13 04:00:00,14.15,14.4899,14.0,14.16,26099.0
2024-06-14 04:00:00,13.85,14.25,13.3575,13.44,59048.0
2024-06-17 04:00:00,13.28,13.67,12.52,12.59,41770.0
2024-06-18 04:00:00,12.58,13.0,11.85,12.1,40260.0
2024-06-20 04:00:00,11.97,12.44,11.53,11.7,69245.0
2024-06-21 04:00:00,12.08,12.2,11.25,11.62,54013.0
2024-06-24 04:00:00,11.37,11.85,10.45,11.29,163666.0
2024-06-25 04:00:00,11.16,11.95,11.16,11.95,72304.0
2024-06-26 04:00:00,11.865,11.87,11.12,11.2,21687.0
2024-06-27 04:00:00,11.445,11.66,11.1112,11.19,23321.0
2024-06-28 04:00:00,11.49,11.94,11.15,11.94,52684.0
2024-07-01 04:00:00,11.96,12.35,11.55,12.04,65352.0
2024-07-02 04:00:00,11.97,12.1,11.2,11.93,25241.0
2024-07-03 04:00:00,11.77,12.245,11.77,12.16,20039.0
2024-07-05 04:00:00,12.1523,12.1523,11.7601,12.05,37479.0
2024-07-08 04:00:00,12.05,12.13,11.42,11.78,32967.0
2024-07-09 04:00:00,11.8,11.8,11.33,11.525,38727.0
2024-07-10 04:00:00,11.5,11.7707,11.22,11.32,29174.0
2024-07-11 04:00:00,11.33,11.51,11.1351,11.26,43831.0
2024-07-12 04:00:00,11.68,11.68,11.2551,11.48,17051.0
2024-07-15 04:00:00,11.68,12.535,11.6201,12.5,57053.0
2024-07-16 04:00:00,12.37,13.075,12.37,12.94,25873.0
2024-07-17 04:00:00,12.51,13.03,12.51,13.01,18832.0
2024-07-18 04:00:00,13.04,13.04,12.53,12.64,9696.0
2024-07-19 04:00:00,12.55,12.55,11.8,11.81,8854.0
2024-07-22 04:00:00,11.7,11.99,11.51,11.74,15138.0
2024-07-23 04:00:00,11.51,11.95,11.2157,11.48,20823.0
2024-07-24 04:00:00,11.47,11.905,11.47,11.84,26741.0
2024-07-25 04:00:00,11.725,12.15,11.63,11.95,30627.0
2024-07-26 04:00:00,12.21,13.3421,11.88,13.24,70977.0
2024-07-29 04:00:00,13.03,13.2029,12.7601,13.05,13268.0
2024-07-30 04:00:00,13.3674,13.3674,13.0,13.13,4893.0
2024-07-31 04:00:00,13.13,13.2699,12.85,13.11,8205.0
2024-08-01 04:00:00,12.88,13.07,12.54,12.89,11214.0
2024-08-02 04:00:00,12.795,12.795,11.59,11.88,14629.0
2024-08-05 04:00:00,11.11,11.85,11.1,11.68,16738.0
2024-08-06 04:00:00,11.79,11.815,11.1,11.43,22119.0
2024-08-07 04:00:00,11.01,11.53,11.01,11.29,9209.0
2024-08-08 04:00:00,11.05,11.83,10.77,11.59,16575.0
2024-08-09 04:00:00,11.78,11.85,11.28,11.81,16812.0
2024-08-12 04:00:00,11.37,11.79,11.37,11.725,8349.0
2024-08-13 04:00:00,11.47,12.395,11.47,12.15,14651.0
2024-08-14 04:00:00,12.54,13.0,12.01,12.86,46364.0
2024-08-15 04:00:00,11.58,13.36,11.58,12.64,26436.0
2024-08-16 04:00:00,12.445,12.82,12.27,12.79,11723.0
2024-08-19 04:00:00,12.7,12.96,12.0101,12.96,21249.0
2024-08-20 04:00:00,12.66,12.965,12.31,12.95,11565.0
2024-08-21 04:00:00,12.3416,13.01,12.3416,13.0,20987.0
2024-08-22 04:00:00,12.48,13.0,12.4454,13.0,14967.0
2024-08-23 04:00:00,13.0,13.0,12.6101,12.98,16401.0
2024-08-26 04:00:00,12.7663,12.865,12.51,12.865,9013.0
2024-08-27 04:00:00,12.4176,13.0,12.4176,12.97,52088.0
2024-08-28 04:00:00,12.73,12.99,12.51,12.9593,57669.0
2024-08-29 04:00:00,12.4399,12.97,12.4399,12.95,7538.0
2024-08-30 04:00:00,12.46,12.755,11.51,11.89,40636.0
2024-09-03 04:00:00,11.77,11.99,11.5,11.59,10369.0
2024-09-04 04:00:00,11.32,11.54,10.76,11.315,42580.0
2024-09-05 04:00:00,11.43,11.56,11.26,11.55,4227.0
2024-09-06 04:00:00,11.6,11.6,11.25,11.44,4341.0
2024-09-09 04:00:00,11.58,11.73,10.97,11.7,10018.0
2024-09-10 04:00:00,11.53,11.99,11.45,11.95,5408.0
2024-09-11 04:00:00,11.64,11.86,11.42,11.62,24303.0
2024-09-12 04:00:00,11.76,11.7973,11.33,11.35,18245.0
2024-09-13 04:00:00,11.21,12.68,11.21,11.94,32898.0
2024-09-16 04:00:00,12.01,12.1004,11.51,11.8,6395.0
2024-09-17 04:00:00,11.6,11.975,11.6,11.63,7235.0
2024-09-18 04:00:00,11.63,12.33,11.5581,11.62,29932.0
2024-09-19 04:00:00,11.91,12.27,11.69,11.72,27974.0
2024-09-20 04:00:00,11.7,11.88,10.94,11.27,40312.0
2024-09-23 04:00:00,11.18,11.28,10.87,10.87,21641.0
2024-09-24 04:00:00,11.0,11.19,10.75,10.77,22498.0
2024-09-25 04:00:00,10.98,11.24,10.81,10.82,10091.0
2024-09-26 04:00:00,10.855,11.28,10.6,10.79,22683.0
2024-09-27 04:00:00,10.6501,10.79,10.61,10.74,12705.0
2024-09-30 04:00:00,10.74,10.88,10.5,10.75,14387.0
2024-10-01 04:00:00,10.61,10.707,10.4136,10.61,17231.0
2024-10-02 04:00:00,10.52,10.6812,10.4121,10.55,8291.0
2024-10-03 04:00:00,10.46,10.7,10.26,10.7,17842.0
2024-10-04 04:00:00,10.52,10.925,10.42,10.9,17685.0
2024-10-07 04:00:00,10.73,11.15,10.7197,11.13,9994.0
2024-10-08 04:00:00,10.98,11.15,10.5144,10.71,17224.0
2024-10-09 04:00:00,10.79,10.97,10.57,10.85,7062.0
2024-10-10 04:00:00,10.7,10.82,10.45,10.52,19661.0
2024-10-11 04:00:00,10.75,10.95,10.3771,10.61,12725.0
2024-10-14 04:00:00,10.69,10.69,10.29,10.3,10884.0
2024-10-15 04:00:00,10.3,10.48,10.14,10.17,25792.0
2024-10-16 04:00:00,10.435,10.974,10.2842,10.74,28639.0
2024-10-17 04:00:00,10.65,11.15,10.6,11.15,19429.0
2024-10-18 04:00:00,11.01,11.58,10.37,11.26,42879.0
2024-10-21 04:00:00,11.49,11.49,11.07,11.22,16728.0
2024-10-22 04:00:00,11.09,11.39,11.09,11.38,3019.0
2024-10-23 04:00:00,11.11,11.41,11.07,11.3,18444.0
2024-10-24 04:00:00,11.4036,11.7,11.1162,11.16,10838.0
2024-10-25 04:00:00,11.3,13.25,11.285,12.6,74991.0
2024-10-28 04:00:00,12.92,12.92,12.1,12.47,8427.0
2024-10-29 04:00:00,12.61,13.92,12.54,13.39,25478.0
2024-10-30 04:00:00,13.39,13.39,12.6461,12.83,28116.0
2024-10-31 04:00:00,12.77,13.0,12.7,13.0,5620.0
2024-11-01 04:00:00,12.85,13.13,12.6611,13.0899,10602.0
2024-11-04 05:00:00,13.09,13.45,13.0,13.03,20154.0
2024-11-05 05:00:00,13.03,13.26,13.0,13.26,14219.0
2024-11-06 05:00:00,13.47,13.47,12.78,13.26,10430.0
2024-11-07 05:00:00,12.91,13.4,12.74,13.11,31689.0
2024-11-08 05:00:00,13.28,13.78,13.03,13.5,23505.0
2024-11-11 05:00:00,13.51,13.68,12.89,13.35,10773.0
2024-11-12 05:00:00,13.584,13.7301,13.14,13.45,19359.0
2024-11-13 05:00:00,13.31,14.0,13.27,13.9,27119.0
2024-11-14 05:00:00,14.08,14.75,13.82,14.48,30025.0
2024-11-15 05:00:00,14.5,14.97,13.9001,14.37,31566.0
2024-11-18 05:00:00,14.33,14.9899,14.33,14.96,47783.0
2024-11-19 05:00:00,14.93,15.63,14.93,15.63,14825.0
2024-11-20 05:00:00,15.68,16.6367,15.02,15.12,45617.0
2024-11-21 05:00:00,18.98,19.9799,17.1669,17.45,451789.0
2024-11-22 05:00:00,17.73,21.284,17.52,20.4,255755.0
2024-11-25 05:00:00,20.39,20.5,17.25,18.69,147562.0
2024-11-26 05:00:00,18.6,20.2,17.82,19.59,32935.0
2024-11-27 05:00:00,19.53,20.2,19.25,20.2,26722.0
2024-11-29 05:00:00,20.21,20.5,19.5617,20.21,10091.0
2024-12-02 05:00:00,20.2,20.46,18.71,18.76,30767.0
2024-12-03 05:00:00,18.8,18.96,17.41,17.71,62747.0
2024-12-04 05:00:00,17.95,20.33,17.83,19.95,96482.0
2024-12-05 05:00:00,19.84,20.66,18.0276,19.93,39440.0
2024-12-06 05:00:00,19.27,24.0,18.4254,23.73,120254.0
2024-12-09 05:00:00,23.51,24.0,22.14,22.51,49833.0
2024-12-10 05:00:00,22.17,24.0,22.15,22.17,24649.0
2024-12-11 05:00:00,21.94,22.25,21.2152,21.82,36812.0
2024-12-12 05:00:00,21.48,22.08,21.15,21.64,45806.0
2024-12-13 05:00:00,22.78,23.89,22.202,22.88,101274.0
2024-12-16 05:00:00,22.83,23.66,22.8,23.26,37508.0
2024-12-17 05:00:00,23.17,24.99,22.1,22.81,58967.0
2024-12-18 05:00:00,22.47,22.78,19.24,20.53,90508.0
2024-12-19 05:00:00,20.49,23.21,20.2386,22.51,85919.0
2024-12-20 05:00:00,22.12,24.0,21.2,23.22,148362.0
2024-12-23 05:00:00,22.9,24.31,21.88,23.4,75044.0
2024-12-24 05:00:00,23.26,23.7,22.63,23.43,31947.0
2024-12-26 05:00:00,23.2,23.424,22.7,23.22,49538.0
2024-12-27 05:00:00,23.44,24.25,22.85,23.69,134433.0
