Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,55.42,56.15,55.315,55.74,2344373.0
2023-09-08 04:00:00,55.9,56.27,55.595,55.97,1950240.0
2023-09-11 04:00:00,55.73,56.45,55.68,56.14,1570512.0
2023-09-12 04:00:00,56.2,56.271,55.83,56.03,1520026.0
2023-09-13 04:00:00,55.95,57.02,55.95,56.78,1352890.0
2023-09-14 04:00:00,57.19,57.43,56.93,57.25,2014398.0
2023-09-15 04:00:00,57.19,57.61,56.91,57.21,3474154.0
2023-09-18 04:00:00,57.23,57.445,56.8,57.01,2551085.0
2023-09-19 04:00:00,57.0,57.3,56.74,56.81,3248564.0
2023-09-20 04:00:00,57.07,57.63,56.53,56.84,4067960.0
2023-09-21 04:00:00,56.81,57.02,56.17,56.51,2670040.0
2023-09-22 04:00:00,56.24,56.65,56.03,56.37,2580841.0
2023-09-25 04:00:00,56.03,56.155,55.32,55.94,1695111.0
2023-09-26 04:00:00,55.48,55.91,53.905,54.0,2182801.0
2023-09-27 04:00:00,53.88,54.28,53.235,53.35,2240533.0
2023-09-28 04:00:00,53.66,53.7,52.58,52.7,2471811.0
2023-09-29 04:00:00,53.22,53.655,52.81,53.11,2807406.0
2023-10-02 04:00:00,52.86,52.86,50.13,50.57,4085664.0
2023-10-03 04:00:00,50.13,52.05,49.87,51.87,4346801.0
2023-10-04 04:00:00,52.09,52.42,51.13,52.28,2805395.0
2023-10-05 04:00:00,52.64,52.85,51.69,51.81,4882686.0
2023-10-06 04:00:00,51.07,53.145,50.7,53.04,4374820.0
2023-10-09 04:00:00,53.02,53.45,52.57,53.35,2430438.0
2023-10-10 04:00:00,53.45,53.86,53.16,53.54,3019907.0
2023-10-11 04:00:00,53.77,54.29,53.22,54.18,2110181.0
2023-10-12 04:00:00,54.02,54.39,53.24,53.46,2619748.0
2023-10-13 04:00:00,53.76,54.07,53.4,54.02,1916827.0
2023-10-16 04:00:00,54.04,54.58,53.57,54.29,2377931.0
2023-10-17 04:00:00,54.02,54.53,53.91,54.29,1536771.0
2023-10-18 04:00:00,54.29,54.345,53.5,53.95,2747976.0
2023-10-19 04:00:00,53.82,54.24,53.48,53.51,1800637.0
2023-10-20 04:00:00,53.64,53.81,52.775,52.91,4017469.0
2023-10-23 04:00:00,52.35,53.34,52.12,52.61,2796003.0
2023-10-24 04:00:00,53.14,53.76,52.99,53.64,3971937.0
2023-10-25 04:00:00,53.43,54.51,53.38,54.45,4649449.0
2023-10-26 04:00:00,54.46,55.73,54.04,55.18,5237073.0
2023-10-27 04:00:00,55.04,55.295,54.21,54.27,3007185.0
2023-10-30 04:00:00,54.28,54.85,53.53,54.09,2833690.0
2023-10-31 04:00:00,54.34,54.51,53.6388,54.34,2582297.0
2023-11-01 04:00:00,54.46,55.065,53.79,54.73,2481187.0
