Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,7.56,7.7499,7.5501,7.7499,3012
2023-09-08 04:00:00,7.78,7.78,7.6294,7.6294,8539
2023-09-11 04:00:00,7.62,7.71,7.55,7.57,7712
2023-09-12 04:00:00,7.675,7.74,7.35,7.48,5908
2023-09-13 04:00:00,6.54,6.68,6.15,6.23,116937
2023-09-14 04:00:00,6.22,6.44,6.2,6.34,41388
2023-09-15 04:00:00,6.44,6.4475,5.7,5.85,91943
2023-09-18 04:00:00,5.96,6.2799,5.96,6.2,42690
2023-09-19 04:00:00,6.22,6.4423,5.97,6.01,17062
2023-09-20 04:00:00,6.02,6.09,5.9,6.09,20946
2023-09-21 04:00:00,5.93,6.165,5.93,6.02,19495
2023-09-22 04:00:00,6.07,6.26,6.02,6.07,9204
2023-09-25 04:00:00,6.11,6.2104,6.01,6.04,7687
2023-09-26 04:00:00,6.08,6.095,5.9577,6.07,5610
2023-09-27 04:00:00,6.0,6.18,5.9801,6.01,168389
2023-09-28 04:00:00,6.11,6.15,6.0059,6.02,117241
2023-09-29 04:00:00,6.15,6.359,6.15,6.2,22664
2023-10-02 04:00:00,6.27,6.445,6.01,6.16,29521
2023-10-03 04:00:00,6.17,6.22,5.93,5.98,25075
2023-10-04 04:00:00,5.92,6.2,5.91,6.0,28956
2023-10-05 04:00:00,6.18,6.18,5.88,5.91,17555
2023-10-06 04:00:00,5.92,6.03,5.89,6.0,26287
2023-10-09 04:00:00,5.89,6.27,5.89,5.93,24602
2023-10-10 04:00:00,5.94,6.23,5.94,6.14,17146
2023-10-11 04:00:00,6.23,6.35,6.23,6.3,12727
2023-10-12 04:00:00,6.3,6.315,6.2,6.29,10870
2023-10-13 04:00:00,6.36,6.56,6.27,6.56,11808
2023-10-16 04:00:00,6.4501,6.79,6.4501,6.61,13286
2023-10-17 04:00:00,6.86,6.86,6.65,6.75,8550
2023-10-18 04:00:00,6.75,6.75,6.615,6.67,1581
2023-10-19 04:00:00,6.7,6.7,6.45,6.45,5538
2023-10-20 04:00:00,6.52,6.605,6.4,6.4,7337
2023-10-23 04:00:00,6.44,6.52,6.2,6.31,16615
2023-10-24 04:00:00,6.4,6.4,6.23,6.32,3165
2023-10-25 04:00:00,6.4,6.5088,6.3,6.395,1696
2023-10-26 04:00:00,6.32,6.6919,6.32,6.6199,2685
2023-10-27 04:00:00,6.58,6.58,6.5002,6.58,1693
2023-10-30 04:00:00,6.59,6.75,6.46,6.74,16740
2023-10-31 04:00:00,6.61,6.75,6.6,6.6,4491
2023-11-01 04:00:00,6.6,6.77,6.6,6.6817,4310
2023-11-02 04:00:00,6.8,6.95,6.7327,6.87,7423
2023-11-03 04:00:00,6.94,7.12,6.8,7.02,20100
2023-11-06 05:00:00,6.98,7.04,6.8,6.8,5129
2023-11-07 05:00:00,6.8,6.97,6.7,6.7,3463
2023-11-08 05:00:00,6.74,6.85,6.66,6.7,14860
2023-11-09 05:00:00,6.75,6.78,6.58,6.6,9599
2023-11-10 05:00:00,6.62,6.67,6.52,6.52,6214
2023-11-13 05:00:00,6.52,6.65,6.41,6.41,20258
2023-11-14 05:00:00,6.4,6.6,6.35,6.49,22921
2023-11-15 05:00:00,6.6,6.6,6.46,6.46,4366
2023-11-16 05:00:00,6.49,6.49,6.33,6.33,15550
2023-11-17 05:00:00,6.33,6.355,6.23,6.23,9252
2023-11-20 05:00:00,6.47,6.47,6.14,6.14,30612
2023-11-21 05:00:00,6.1464,6.3938,6.0,6.0,33866
2023-11-22 05:00:00,6.0,6.13,6.0,6.02,20062
2023-11-24 05:00:00,6.03,6.13,5.96,6.055,25547
2023-11-27 05:00:00,5.96,6.225,5.96,6.15,17616
