Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,9.0,9.2,8.8,8.98,11705
2023-09-08 04:00:00,8.98,9.06,8.59,8.95,10974
2023-09-11 04:00:00,8.8,9.0,8.51,9.0,3007
2023-09-12 04:00:00,8.96,9.01,7.27,7.51,18331
2023-09-13 04:00:00,8.59,8.595,8.33,8.595,2789
2023-09-14 04:00:00,8.94,8.94,7.76,8.85,18874
2023-09-15 04:00:00,8.6,8.9,8.5,8.5,12361
2023-09-18 04:00:00,8.31,8.77,8.122,8.67,1395
2023-09-19 04:00:00,8.7,8.76,8.6,8.76,5540
2023-09-20 04:00:00,8.33,8.89,8.18,8.89,5818
2023-09-21 04:00:00,8.89,8.98,8.37,8.96,11452
2023-09-22 04:00:00,8.68,8.94,8.669,8.7,5580
2023-09-25 04:00:00,8.42,8.655,8.39,8.5,1553
2023-09-26 04:00:00,8.445,8.745,8.445,8.74,2467
2023-09-27 04:00:00,8.59,8.625,8.5,8.5,1971
2023-09-28 04:00:00,8.6,8.89,8.6,8.82,2326
2023-09-29 04:00:00,8.95,8.95,8.8,8.8,1057
2023-10-02 04:00:00,8.8,8.81,8.26,8.7,2694
2023-10-03 04:00:00,8.55,8.83,8.31,8.74,4664
2023-10-05 04:00:00,8.45,8.81,8.44,8.62,6254
2023-10-06 04:00:00,8.56,8.74,8.205,8.57,4667
2023-10-09 04:00:00,8.4451,8.4451,8.4451,8.4451,630
2023-10-10 04:00:00,8.4015,8.6,8.3556,8.3556,2060
2023-10-11 04:00:00,8.54,8.72,8.4,8.58,10277
2023-10-12 04:00:00,8.75,8.75,8.34,8.4007,4447
2023-10-13 04:00:00,8.18,8.18,8.18,8.18,926
2023-10-16 04:00:00,8.18,8.45,8.18,8.4,2924
2023-10-17 04:00:00,8.29,8.4,8.05,8.1,3608
2023-10-18 04:00:00,8.07,8.09,7.98,8.04,1318
2023-10-19 04:00:00,7.96,8.2,7.285,7.9,28035
2023-10-20 04:00:00,7.9,8.01,7.61,7.93,3863
2023-10-23 04:00:00,7.61,8.125,7.61,7.9905,7092
2023-10-24 04:00:00,7.62,8.12,7.62,7.69,3792
2023-10-25 04:00:00,7.63,7.99,7.4075,7.95,10065
2023-10-26 04:00:00,7.84,8.125,7.79,8.0,7878
2023-10-27 04:00:00,8.02,8.02,7.8,8.0,14564
2023-10-30 04:00:00,7.79,7.97,7.1101,7.97,16037
2023-10-31 04:00:00,7.98,8.0,7.87,7.87,742
2023-11-01 04:00:00,7.7,7.98,7.6,7.8,5890
2023-11-03 04:00:00,7.75,7.75,7.74,7.75,1690
2023-11-06 05:00:00,7.69,7.8,7.4,7.75,1541
2023-11-07 05:00:00,7.4651,7.9165,7.4651,7.85,2848
2023-11-08 05:00:00,7.75,7.87,7.75,7.86,4286
2023-11-09 05:00:00,7.99,7.99,7.67,7.79,1869
2023-11-10 05:00:00,7.79,7.82,7.66,7.82,1487
2023-11-13 05:00:00,7.83,7.83,7.5,7.81,2029
2023-11-14 05:00:00,7.82,7.82,7.82,7.82,293
2023-11-15 05:00:00,7.67,7.82,7.67,7.77,698
2023-11-16 05:00:00,7.62,7.83,7.59,7.83,9587
2023-11-17 05:00:00,7.83,7.83,7.83,7.83,562
2023-11-20 05:00:00,7.8,8.25,7.79,8.24,17439
2023-11-21 05:00:00,7.965,8.2,7.9,8.0,4572
2023-11-22 05:00:00,8.08,8.11,8.08,8.11,1642
2023-11-24 05:00:00,8.13,8.13,8.13,8.13,305
2023-11-27 05:00:00,8.03,8.04,7.3,7.5,8045
2023-11-28 05:00:00,7.6799,7.6799,7.545,7.61,991
2023-11-29 05:00:00,7.61,7.87,7.6,7.7,4483
2023-11-30 05:00:00,8.0,8.0,7.61,7.9,908
2023-12-01 05:00:00,8.0,8.0,7.6,7.92,2129
2023-12-04 05:00:00,8.0,8.0,7.8,7.8,1656
2023-12-05 05:00:00,7.6,7.6445,7.6,7.6445,912
2023-12-06 05:00:00,7.65,7.8,7.65,7.6752,4346
2023-12-07 05:00:00,7.98,7.98,7.6,7.76,3639
2023-12-08 05:00:00,7.85,7.98,7.66,7.98,2773
2023-12-11 05:00:00,7.99,8.0,7.9,8.0,3229
2023-12-12 05:00:00,8.0,8.0,7.7,7.98,1883
2023-12-13 05:00:00,7.62,8.0,7.62,8.0,4456
2023-12-14 05:00:00,7.66,7.99,7.58,7.98,4652
2023-12-15 05:00:00,7.7563,7.97,7.7563,7.97,2190
2023-12-18 05:00:00,7.79,7.885,7.77,7.77,873
2023-12-19 05:00:00,7.42,7.7,7.4,7.6,9016
2023-12-20 05:00:00,7.5588,7.755,7.5,7.75,3850
2023-12-21 05:00:00,7.47,7.75,7.47,7.75,336
2023-12-22 05:00:00,7.5,7.74,7.41,7.74,2096
2023-12-26 05:00:00,7.6094,7.6094,7.58,7.6,911
2023-12-27 05:00:00,7.6,7.88,7.4527,7.88,5126
2023-12-28 05:00:00,7.87,8.0,7.87,8.0,3275
2023-12-29 05:00:00,8.0,8.3,8.0,8.031,6183
2024-01-02 05:00:00,7.46,8.0,7.46,8.0,2180
2024-01-03 05:00:00,7.95,7.95,7.95,7.95,138
2024-01-04 05:00:00,7.8749,7.9,7.8,7.9,831
2024-01-08 05:00:00,7.65,7.9,7.6,7.9,8770
2024-01-09 05:00:00,7.95,8.01,7.75,8.0,4141
2024-01-10 05:00:00,7.95,7.95,7.74,7.74,686
2024-01-11 05:00:00,7.96,7.96,7.71,7.85,2573
2024-01-12 05:00:00,7.84,7.9,7.84,7.9,355
2024-01-16 05:00:00,7.96,7.96,7.49,7.78,10445
2024-01-17 05:00:00,7.7,7.78,7.63,7.63,2360
2024-01-18 05:00:00,7.63,7.65,7.6,7.6,1657
2024-01-19 05:00:00,7.6,7.8,7.58,7.7,1389
2024-01-22 05:00:00,7.78,7.94,7.48,7.8,4221
2024-01-23 05:00:00,7.71,7.71,7.41,7.7,1184
2024-01-24 05:00:00,7.65,7.75,7.65,7.65,1351
2024-01-25 05:00:00,7.74,7.74,7.51,7.685,3969
2024-01-26 05:00:00,7.53,7.69,7.5,7.59,2314
2024-01-29 05:00:00,7.5001,7.58,7.5,7.58,889
2024-01-30 05:00:00,7.5,7.5,6.71,7.31,5689
2024-01-31 05:00:00,7.4,7.4,6.67,7.325,5545
2024-02-01 05:00:00,7.25,7.25,6.7408,7.24,4909
2024-02-02 05:00:00,6.83,6.93,6.16,6.93,2263
2024-02-05 05:00:00,6.77,7.12,6.435,6.7927,17408
2024-02-06 05:00:00,6.7,7.2,6.645,6.9,20325
2024-02-07 05:00:00,6.7,7.23,6.6501,6.71,24689
2024-02-08 05:00:00,6.45,6.925,6.41,6.89,9562
2024-02-09 05:00:00,6.71,7.1,6.08,7.0,9094
2024-02-12 05:00:00,6.9,7.0,6.9,7.0,1538
2024-02-13 05:00:00,6.93,6.93,6.93,6.93,139
2024-02-14 05:00:00,6.67,7.25,6.63,7.25,5985
2024-02-15 05:00:00,6.76,7.035,6.7,6.95,2681
2024-02-16 05:00:00,6.8701,7.15,6.8701,7.15,1310
2024-02-20 05:00:00,6.945,6.95,6.945,6.95,695
2024-02-21 05:00:00,6.95,7.65,6.95,7.3,7741
2024-02-22 05:00:00,7.19,7.58,7.11,7.19,2664
2024-02-23 05:00:00,7.35,7.35,7.1,7.1,1484
2024-02-26 05:00:00,7.05,7.05,7.05,7.05,1538
2024-02-27 05:00:00,7.11,7.11,6.85,6.96,4943
2024-02-28 05:00:00,6.96,7.1,6.8,6.83,12716
2024-02-29 05:00:00,6.784,6.86,6.395,6.44,5523
2024-03-01 05:00:00,6.5667,6.62,6.45,6.62,4122
2024-03-04 05:00:00,6.5,6.5,6.5,6.5,3082
2024-03-05 05:00:00,6.15,6.64,6.15,6.64,809
2024-03-06 05:00:00,6.86,6.86,6.25,6.6086,1510
2024-03-07 05:00:00,6.36,6.5,6.36,6.5,1524
2024-03-08 05:00:00,6.5,6.5,6.17,6.17,959
2024-03-11 04:00:00,6.35,6.69,6.35,6.5,2214
2024-03-12 04:00:00,6.5,6.7999,6.47,6.71,2432
2024-03-13 04:00:00,6.582,6.582,6.56,6.56,589
2024-03-15 04:00:00,6.56,6.56,6.0001,6.3,2954
2024-03-18 04:00:00,6.15,6.3,6.15,6.3,880
2024-03-19 04:00:00,6.297,6.297,6.0,6.0,7010
2024-03-20 04:00:00,6.1,7.0,6.1,6.62,8385
2024-03-21 04:00:00,6.825,6.91,6.82,6.82,1046
2024-03-22 04:00:00,7.0,7.0,7.0,7.0,474
2024-03-25 04:00:00,7.0,7.0,6.6,6.6,2378
2024-03-26 04:00:00,6.9,7.384,6.9,7.2,5714
2024-03-27 04:00:00,7.6,7.95,7.6,7.89,3458
2024-03-28 04:00:00,7.9,8.0,7.3,7.63,8816
2024-04-01 04:00:00,7.59,7.59,7.59,7.59,401
2024-04-02 04:00:00,7.06,7.06,7.06,7.06,648
2024-04-03 04:00:00,7.305,7.305,6.97,6.97,2116
2024-04-04 04:00:00,6.775,7.0,6.5,7.0,2573
2024-04-05 04:00:00,7.05,7.05,7.0,7.01,1051
2024-04-08 04:00:00,7.0,7.0,6.3,6.54,6020
2024-04-09 04:00:00,6.68,6.8,6.5501,6.8,1282
2024-04-10 04:00:00,6.79,7.02,6.54,6.68,1785
2024-04-11 04:00:00,6.68,6.68,6.5,6.51,2295
2024-04-15 04:00:00,6.1384,6.75,6.1384,6.75,1329
2024-04-16 04:00:00,6.41,6.79,6.41,6.79,852
2024-04-17 04:00:00,6.85,6.85,6.54,6.54,709
2024-04-18 04:00:00,6.8,6.8,6.6,6.6,1277
2024-04-19 04:00:00,6.55,6.6,6.1001,6.47,1384
2024-04-22 04:00:00,6.67,6.72,6.56,6.62,5767
2024-04-23 04:00:00,6.67,7.32,6.62,7.24,9345
2024-04-24 04:00:00,7.0,7.0,7.0,7.0,940
2024-04-25 04:00:00,6.74,7.2496,6.1,6.42,2335
2024-04-26 04:00:00,6.61,6.61,6.43,6.61,830
2024-04-29 04:00:00,6.51,6.89,6.42,6.69,3193
2024-04-30 04:00:00,6.6,7.12,6.6,7.12,15490
2024-05-01 04:00:00,6.87,7.14,6.85,7.0,5660
2024-05-02 04:00:00,6.89,7.15,6.84,7.01,3196
2024-05-03 04:00:00,6.92,7.4,6.67,7.29,3903
2024-05-06 04:00:00,6.9,7.43,6.9,7.31,5531
2024-05-07 04:00:00,7.09,7.46,7.05,7.31,3373
2024-05-08 04:00:00,7.4,7.4,7.11,7.12,3315
2024-05-09 04:00:00,7.2,7.33,6.955,7.2,4394
2024-05-10 04:00:00,7.13,7.13,6.5001,7.105,1859
2024-05-13 04:00:00,7.0,7.1,6.94,6.94,3588
2024-05-14 04:00:00,6.9,6.9,6.38,6.6,2144
2024-05-15 04:00:00,6.51,7.28,6.51,7.03,4627
2024-05-16 04:00:00,6.95,7.24,6.83,7.24,2616
2024-05-17 04:00:00,6.53,7.25,6.53,7.11,2835
2024-05-20 04:00:00,7.01,7.2,7.0,7.01,1570
2024-05-21 04:00:00,7.01,7.01,6.7101,6.8,3644
2024-05-22 04:00:00,6.9,6.9,6.7,6.7,3519
2024-05-23 04:00:00,6.7,6.722,6.67,6.722,1462
2024-05-24 04:00:00,6.71,6.71,6.61,6.62,1137
2024-05-28 04:00:00,6.7216,6.7216,6.33,6.4,11013
2024-05-29 04:00:00,6.4001,7.04,6.39,7.04,3021
2024-05-30 04:00:00,6.81,6.99,6.6491,6.99,1330
2024-05-31 04:00:00,6.75,7.45,6.67,7.45,5072
2024-06-03 04:00:00,7.4,7.4399,6.84,6.97,3768
2024-06-04 04:00:00,7.1,7.1,6.7,6.82,8011
2024-06-05 04:00:00,7.0,7.01,6.95,6.999,2969
2024-06-06 04:00:00,6.99,7.15,6.99,7.15,2540
2024-06-07 04:00:00,6.96,7.3,6.96,7.09,8093
