Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,10.98,11.05,10.87,10.99,45497
2023-09-08 04:00:00,11.05,11.15,11.01,11.1,42353
2023-09-11 04:00:00,11.11,11.225,10.65,10.72,167520
2023-09-12 04:00:00,10.73,10.9,10.73,10.87,111335
2023-09-13 04:00:00,10.82,10.8684,10.72,10.74,36045
2023-09-14 04:00:00,10.75,10.86,10.75,10.81,29498
2023-09-15 04:00:00,10.77,10.84,10.74,10.75,48900
2023-09-18 04:00:00,10.77,10.7999,10.73,10.78,39654
2023-09-19 04:00:00,10.8,10.85,10.8,10.83,26667
2023-09-20 04:00:00,10.83,10.93,10.8,10.91,69804
2023-09-21 04:00:00,10.77,10.7775,10.61,10.66,28312
2023-09-22 04:00:00,10.7,10.89,10.68,10.75,129411
2023-09-25 04:00:00,10.78,10.821,10.67,10.71,74728
2023-09-26 04:00:00,10.72,10.7612,10.5,10.51,38890
2023-09-27 04:00:00,10.56,10.59,10.48,10.53,27040
2023-09-28 04:00:00,10.53,10.66,10.475,10.58,26815
2023-09-29 04:00:00,10.58,10.75,10.58,10.71,100360
2023-10-02 04:00:00,10.72,10.85,10.6,10.69,51152
2023-10-03 04:00:00,10.65,10.77,10.55,10.58,59738
2023-10-04 04:00:00,10.55,10.69,10.41,10.51,57242
2023-10-05 04:00:00,10.51,10.605,10.5,10.55,47748
2023-10-06 04:00:00,10.52,10.61,10.5,10.59,29374
2023-10-09 04:00:00,10.55,10.68,10.51,10.64,39307
2023-10-10 04:00:00,10.63,10.78,10.619,10.73,35665
2023-10-11 04:00:00,10.78,10.82,10.71,10.73,32243
2023-10-12 04:00:00,10.75,10.77,10.63,10.67,35517
2023-10-13 04:00:00,10.7,10.75,10.59,10.6,31497
2023-10-16 04:00:00,10.64,10.675,10.46,10.47,74360
2023-10-17 04:00:00,10.46,10.515,10.4,10.44,47376
2023-10-18 04:00:00,10.4,10.456,10.34,10.37,22890
2023-10-19 04:00:00,10.39,10.41,10.3405,10.39,26454
2023-10-20 04:00:00,10.39,10.52,10.38,10.4,32051
2023-10-23 04:00:00,10.21,10.3,10.1804,10.23,48354
2023-10-24 04:00:00,10.29,10.41,10.2272,10.34,31375
2023-10-25 04:00:00,10.32,10.35,10.22,10.24,46572
2023-10-26 04:00:00,10.23,10.2319,10.1,10.15,29711
2023-10-27 04:00:00,10.12,10.16,10.09,10.12,27855
2023-10-30 04:00:00,10.15,10.21,10.0,10.11,61740
2023-10-31 04:00:00,10.11,10.31,10.1,10.29,41492
2023-11-01 04:00:00,10.33,10.48,10.26,10.41,39267
2023-11-02 04:00:00,10.44,10.6,10.44,10.59,55860
2023-11-03 04:00:00,10.64,10.8616,10.54,10.69,47080
2023-11-06 05:00:00,10.72,10.72,10.53,10.61,43614
2023-11-07 05:00:00,10.65,10.72,10.59,10.69,13426
2023-11-08 05:00:00,10.72,10.72,10.64,10.64,27848
2023-11-09 05:00:00,10.67,10.72,10.61,10.64,19769
2023-11-10 05:00:00,10.65,10.65,10.54,10.54,41175
2023-11-13 05:00:00,10.57,10.6,10.46,10.49,24516
2023-11-14 05:00:00,10.57,10.67,10.53,10.57,79613
2023-11-15 05:00:00,10.54,10.6242,10.51,10.51,44076
2023-11-16 05:00:00,10.54,10.93,10.51,10.8,58226
2023-11-17 05:00:00,10.84,10.9222,10.78,10.78,30435
2023-11-20 05:00:00,10.84,10.88,10.72,10.75,52251
2023-11-21 05:00:00,10.68,10.8,10.53,10.8,40697
2023-11-22 05:00:00,10.75,10.84,10.62,10.76,36786
2023-11-24 05:00:00,10.76,10.91,10.65,10.829,22555
2023-11-27 05:00:00,10.83,10.83,10.74,10.7402,40232
2023-11-28 05:00:00,10.74,10.78,10.73,10.74,22508
2023-11-29 05:00:00,10.78,10.8914,10.66,10.7,35439
2023-11-30 05:00:00,10.66,10.72,10.62,10.63,31707
2023-12-01 05:00:00,10.68,10.84,10.6191,10.74,31633
2023-12-04 05:00:00,10.7,10.815,10.65,10.68,60938
2023-12-05 05:00:00,10.7,10.92,10.69,10.81,57103
2023-12-06 05:00:00,10.76,10.8348,10.65,10.71,89321
2023-12-07 05:00:00,10.8,10.93,10.7299,10.93,49581
2023-12-08 05:00:00,10.86,10.89,10.76,10.82,29527
2023-12-11 05:00:00,10.86,10.9,10.82,10.85,34359
2023-12-12 05:00:00,10.89,10.895,10.8301,10.86,38458
2023-12-13 05:00:00,10.91,11.02,10.81,10.98,78597
2023-12-14 05:00:00,10.98,11.205,10.98,11.07,86053
2023-12-15 05:00:00,11.17,11.2383,11.08,11.2,62990
2023-12-18 05:00:00,11.18,11.2299,11.1516,11.21,33143
2023-12-19 05:00:00,11.23,11.32,11.2001,11.24,45789
2023-12-20 05:00:00,11.15,11.15,11.06,11.08,33081
2023-12-21 05:00:00,11.12,11.125,11.0,11.11,43338
2023-12-22 05:00:00,11.14,11.19,11.06,11.15,42204
2023-12-26 05:00:00,11.2,11.2,11.1,11.13,76449
2023-12-27 05:00:00,11.19,11.19,11.1,11.14,31894
2023-12-28 05:00:00,11.19,11.2,11.14,11.17,33760
2023-12-29 05:00:00,11.21,11.27,11.14,11.17,60136
2024-01-02 05:00:00,11.2,11.22,11.165,11.19,81240
2024-01-03 05:00:00,11.16,11.18,11.1,11.17,69764
2024-01-04 05:00:00,11.1,11.1641,11.0,11.1,60773
2024-01-05 05:00:00,11.08,11.13,11.03,11.04,51633
2024-01-08 05:00:00,11.05,11.15,11.02,11.14,37211
2024-01-09 05:00:00,11.14,11.18,11.12,11.17,54379
2024-01-10 05:00:00,11.13,11.23,11.13,11.2,36031
2024-01-11 05:00:00,11.2,11.22,11.17,11.2,22625
2024-01-12 05:00:00,11.2,11.25,11.13,11.15,44454
2024-01-16 05:00:00,11.17,11.18,11.09,11.1,41591
2024-01-17 05:00:00,11.09,11.19,11.01,11.04,24813
2024-01-18 05:00:00,11.04,11.1009,11.0201,11.07,38903
2024-01-19 05:00:00,11.08,11.115,10.88,10.97,107854
2024-01-22 05:00:00,11.01,11.14,11.01,11.13,58383
2024-01-23 05:00:00,11.05,11.1297,11.05,11.1,45640
2024-01-24 05:00:00,11.14,11.2251,11.14,11.19,22246
2024-01-25 05:00:00,11.19,11.19,11.15,11.165,24049
2024-01-26 05:00:00,11.18,11.24,11.16,11.2,88248
2024-01-29 05:00:00,11.23,11.285,11.221,11.24,23855
2024-01-30 05:00:00,11.25,11.27,11.25,11.26,24875
2024-01-31 05:00:00,11.27,11.3,11.25,11.28,43697
2024-02-01 05:00:00,11.37,11.41,11.2801,11.34,82356
2024-02-02 05:00:00,11.37,11.45,11.36,11.43,95926
2024-02-05 05:00:00,11.43,11.4799,11.4,11.43,32083
2024-02-06 05:00:00,11.41,11.44,11.35,11.44,21246
2024-02-07 05:00:00,11.45,11.49,11.44,11.44,37646
2024-02-08 05:00:00,11.46,11.5,11.44,11.48,25050
2024-02-09 05:00:00,11.5,11.5,11.4649,11.47,23779
2024-02-12 05:00:00,11.45,11.49,11.3999,11.3999,33534
2024-02-13 05:00:00,11.38,11.38,11.31,11.33,34291
2024-02-14 05:00:00,11.34,11.38,11.28,11.36,26187
2024-02-15 05:00:00,11.36,11.4,11.32,11.32,67852
2024-02-16 05:00:00,11.3,11.37,11.28,11.34,67168
2024-02-20 05:00:00,11.36,11.381,11.31,11.38,69417
2024-02-21 05:00:00,11.27,11.308,11.246,11.29,39274
2024-02-22 05:00:00,11.32,11.32,11.25,11.25,78968
2024-02-23 05:00:00,11.28,11.34,11.265,11.3,54246
2024-02-26 05:00:00,11.33,11.36,11.3,11.36,64090
2024-02-27 05:00:00,11.35,11.4,11.35,11.4,32395
2024-02-28 05:00:00,11.41,11.46,11.41,11.46,49100
2024-02-29 05:00:00,11.43,11.46,11.41,11.46,57587
2024-03-01 05:00:00,11.49,11.51,11.45,11.5,31096
2024-03-04 05:00:00,11.51,11.64,11.49,11.5941,75700
2024-03-05 05:00:00,11.62,11.64,11.6001,11.64,38605
2024-03-06 05:00:00,11.65,11.69,11.6,11.675,33893
2024-03-07 05:00:00,11.72,11.7999,11.52,11.62,66261
2024-03-08 05:00:00,11.67,11.76,11.635,11.64,42327
2024-03-11 04:00:00,11.66,11.7,11.65,11.69,84497
2024-03-12 04:00:00,11.7,11.78,11.67,11.69,58826
2024-03-13 04:00:00,11.69,11.77,11.68,11.72,90550
2024-03-14 04:00:00,11.7,11.745,11.67,11.67,27902
2024-03-15 04:00:00,11.65,11.67,11.6,11.62,68488
2024-03-18 04:00:00,11.6,11.68,11.59,11.62,70108
2024-03-19 04:00:00,11.64,11.6601,11.62,11.63,51385
2024-03-20 04:00:00,11.5,11.59,11.48,11.55,30280
2024-03-21 04:00:00,11.55,11.62,11.55,11.57,25231
2024-03-22 04:00:00,11.59,11.5998,11.5007,11.52,70955
2024-03-25 04:00:00,11.5,11.54,11.5,11.52,40353
2024-03-26 04:00:00,11.54,11.59,11.54,11.56,29380
2024-03-27 04:00:00,11.55,11.61,11.5299,11.61,44937
2024-03-28 04:00:00,11.61,11.71,11.61,11.71,26755
2024-04-01 04:00:00,11.71,11.73,11.67,11.672,44912
2024-04-02 04:00:00,11.68,11.68,11.61,11.6414,45120
2024-04-03 04:00:00,11.66,11.8,11.65,11.77,64939
2024-04-04 04:00:00,11.8,11.89,11.7308,11.8769,60641
2024-04-05 04:00:00,11.84,11.93,11.83,11.83,41585
2024-04-08 04:00:00,11.8,11.8,11.68,11.69,69590
2024-04-09 04:00:00,11.69,11.7899,11.54,11.57,59540
2024-04-10 04:00:00,11.56,11.58,11.41,11.48,85123
2024-04-11 04:00:00,11.49,11.5453,11.42,11.435,42605
2024-04-12 04:00:00,11.45,11.46,11.35,11.36,45578
2024-04-15 04:00:00,11.36,11.4,11.16,11.22,76643
2024-04-16 04:00:00,11.22,11.52,11.22,11.52,81424
2024-04-17 04:00:00,11.53,11.57,11.48,11.52,42932
2024-04-18 04:00:00,11.54,11.6899,11.5,11.51,75159
2024-04-19 04:00:00,11.51,11.7099,11.51,11.55,59517
2024-04-22 04:00:00,11.45,11.65,11.45,11.6,48522
2024-04-23 04:00:00,11.6,11.69,11.47,11.48,66478
2024-04-24 04:00:00,11.48,11.51,11.34,11.345,46522
2024-04-25 04:00:00,11.34,11.37,11.315,11.32,37438
2024-04-26 04:00:00,11.34,11.3409,11.24,11.24,111772
2024-04-29 04:00:00,11.29,11.3125,11.25,11.28,80056
2024-04-30 04:00:00,11.28,11.3156,11.21,11.27,51308
2024-05-01 04:00:00,11.28,11.54,11.28,11.35,63709
2024-05-02 04:00:00,11.35,11.43,11.3395,11.4299,38041
2024-05-03 04:00:00,11.46,11.51,11.45,11.46,37989
2024-05-06 04:00:00,11.5,11.55,11.48,11.52,48517
2024-05-07 04:00:00,11.55,11.59,11.5,11.575,46830
2024-05-08 04:00:00,11.57,11.74,11.531,11.71,72779
2024-05-09 04:00:00,11.71,11.73,11.66,11.6977,26901
2024-05-10 04:00:00,11.72,11.75,11.66,11.71,39485
2024-05-13 04:00:00,11.72,11.78,11.71,11.75,43205
2024-05-14 04:00:00,11.74,11.77,11.63,11.64,55443
2024-05-15 04:00:00,11.66,11.6934,11.63,11.6673,43837
2024-05-16 04:00:00,11.65,11.6796,11.59,11.605,95930
2024-05-17 04:00:00,11.65,11.6584,11.6,11.64,36876
2024-05-20 04:00:00,11.65,11.73,11.65,11.73,50447
2024-05-21 04:00:00,11.76,11.79,11.74,11.77,43468
2024-05-22 04:00:00,11.64,11.68,11.59,11.6,60523
2024-05-23 04:00:00,11.61,11.695,11.59,11.61,44612
2024-05-24 04:00:00,11.57,11.68,11.57,11.655,40318
2024-05-28 04:00:00,11.65,11.72,11.61,11.7025,69551
2024-05-29 04:00:00,11.71,11.71,11.6201,11.6201,34123
2024-05-30 04:00:00,11.65,11.68,11.65,11.674,34803
2024-05-31 04:00:00,11.66,11.7599,11.66,11.75,31210
2024-06-03 04:00:00,11.8,11.84,11.755,11.78,81571
2024-06-04 04:00:00,11.78,11.9,11.78,11.84,61917
2024-06-05 04:00:00,11.88,11.9,11.85,11.86,40948
2024-06-06 04:00:00,11.84,11.99,11.8366,11.88,62374
2024-06-07 04:00:00,11.89,11.9211,11.87,11.89,37849
2024-06-10 04:00:00,11.89,11.93,11.8601,11.91,23581
2024-06-11 04:00:00,11.92,11.9419,11.86,11.86,26168
2024-06-12 04:00:00,11.93,11.93,11.88,11.895,21881
2024-06-13 04:00:00,11.94,11.98,11.8809,11.9101,37863
2024-06-14 04:00:00,11.92,11.99,11.8784,11.99,48386
2024-06-17 04:00:00,11.98,12.07,11.93,12.07,99714
2024-06-18 04:00:00,12.07,12.07,12.02,12.06,48518
2024-06-20 04:00:00,12.06,12.09,11.8701,11.98,67982
2024-06-21 04:00:00,11.87,11.87,11.8,11.82,76681
2024-06-24 04:00:00,11.81,11.9,11.8,11.85,45498
2024-06-25 04:00:00,11.86,11.895,11.802,11.81,37215
2024-06-26 04:00:00,11.8,11.95,11.8,11.92,56519
2024-06-27 04:00:00,11.97,12.05,11.92,12.03,76269
2024-06-28 04:00:00,12.02,12.0338,11.87,11.93,54140
2024-07-01 04:00:00,11.91,12.03,11.91,11.9801,52477
2024-07-02 04:00:00,12.0,12.04,11.93,11.97,51440
2024-07-03 04:00:00,11.96,12.03,11.96,12.025,31855
2024-07-05 04:00:00,12.04,12.0565,12.03,12.05,37772
2024-07-08 04:00:00,12.05,12.06,12.03,12.045,35139
2024-07-09 04:00:00,12.04,12.07,12.0101,12.04,41514
2024-07-10 04:00:00,12.07,12.0899,12.01,12.04,43733
2024-07-11 04:00:00,12.05,12.095,12.05,12.085,49837
2024-07-12 04:00:00,12.09,12.15,12.07,12.13,37211
2024-07-15 04:00:00,12.125,12.26,12.115,12.24,76155
2024-07-16 04:00:00,12.24,12.24,12.09,12.185,84126
2024-07-17 04:00:00,12.16,12.21,12.08,12.1702,61202
2024-07-18 04:00:00,12.18,12.2,12.1456,12.19,46637
2024-07-19 04:00:00,12.2,12.2399,12.14,12.2399,17268
2024-07-22 04:00:00,12.25,12.3399,12.25,12.27,85326
2024-07-23 04:00:00,12.28,12.3194,12.12,12.15,49374
2024-07-24 04:00:00,12.02,12.08,12.0,12.06,74247
2024-07-25 04:00:00,12.07,12.11,12.0,12.07,49407
