Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,0.2863,0.2863,0.2096,0.2096,1204
2023-09-08 04:00:00,0.1931,0.23,0.1833,0.2031,2313
2023-09-15 04:00:00,0.2791,0.2791,0.2791,0.2791,2103
2023-09-21 04:00:00,0.2033,0.2978,0.2033,0.2464,6497
2023-09-22 04:00:00,0.1656,0.3064,0.1578,0.3064,11291
2023-09-25 04:00:00,0.25,0.3164,0.156,0.3164,9060
2023-09-26 04:00:00,0.2563,0.2563,0.2563,0.2563,272
2023-09-27 04:00:00,0.1827,0.3241,0.172,0.2434,6654
2023-09-28 04:00:00,0.2452,0.2452,0.17,0.2452,1510
2023-09-29 04:00:00,0.261,0.261,0.22,0.22,1180
2023-10-03 04:00:00,0.26,0.337,0.1711,0.2,4066
2023-10-04 04:00:00,0.1811,0.19,0.1811,0.19,475
2023-10-05 04:00:00,0.175,0.175,0.175,0.175,275
2023-10-06 04:00:00,0.176559,0.1951,0.1756,0.1951,821
2023-10-09 04:00:00,0.2091,0.2145,0.1981,0.2145,888
2023-10-10 04:00:00,0.2111,0.2111,0.2111,0.2111,306
2023-10-26 04:00:00,0.1555,0.192545,0.1288,0.1288,8495
2023-10-27 04:00:00,0.1915,0.1916,0.1915,0.1916,1057
2023-10-31 04:00:00,0.1463,0.1467,0.1463,0.1467,306
2023-11-01 04:00:00,0.1678,0.1678,0.1288,0.1397,6522
2023-11-02 04:00:00,0.16,0.16,0.16,0.16,231
2023-11-15 05:00:00,0.1758,0.1758,0.1758,0.1758,300
2023-11-27 05:00:00,0.13,0.135,0.1205,0.1205,1500
2023-11-29 05:00:00,0.1499,0.1925,0.1499,0.16,5800
2023-12-06 05:00:00,0.18,0.18,0.18,0.18,1331
2023-12-14 05:00:00,0.121,0.15,0.121,0.15,6357
2023-12-15 05:00:00,0.1231,0.1231,0.1231,0.1231,2069
2023-12-18 05:00:00,0.18,0.18,0.18,0.18,300
2024-01-02 05:00:00,0.18,0.18,0.18,0.18,150
2024-01-05 05:00:00,0.18,0.18,0.1799,0.18,700
2024-01-26 05:00:00,0.1559,0.1559,0.1559,0.1559,100
2024-01-30 05:00:00,0.1799,0.2047,0.1799,0.2047,1739
2024-02-01 05:00:00,0.2,0.28,0.2,0.27,2178
2024-02-02 05:00:00,0.28,0.3439,0.28,0.29,914
2024-02-05 05:00:00,0.29,0.36,0.29,0.3438,1076
2024-02-06 05:00:00,0.32,0.32,0.32,0.32,1000
2024-02-09 05:00:00,0.320101,0.349201,0.32,0.349201,1300
2024-02-12 05:00:00,0.3201,0.44,0.32,0.32,6867
2024-02-13 05:00:00,0.33,0.33,0.161,0.161,5630
2024-02-14 05:00:00,0.29,0.3031,0.29,0.2901,1103
2024-02-15 05:00:00,0.2509,0.2509,0.2401,0.2509,1924
2024-02-16 05:00:00,0.2404,0.4,0.2404,0.2523,15029
2024-02-20 05:00:00,0.34,0.37,0.28,0.29,13942
2024-02-21 05:00:00,0.32,0.34,0.2999,0.303,8889
2024-02-22 05:00:00,0.37,0.37,0.37,0.37,222
2024-02-26 05:00:00,0.37,0.37,0.35,0.354,2575
2024-02-28 05:00:00,0.35,0.3501,0.35,0.3501,2000
2024-03-01 05:00:00,0.36,0.3601,0.36,0.3601,512
2024-03-04 05:00:00,0.3901,0.66,0.3901,0.65,36697
2024-03-05 05:00:00,0.6004,0.66,0.55,0.56,12175
2024-03-07 05:00:00,0.5,0.65,0.5,0.51,5272
2024-03-08 05:00:00,0.64,0.64,0.52,0.52,589
2024-03-11 04:00:00,0.53,0.53,0.4101,0.4101,1795
2024-03-12 04:00:00,0.64,0.66,0.572,0.572,4247
2024-03-13 04:00:00,0.65,1.14,0.56,0.98,95695
2024-03-14 04:00:00,0.95,1.0,0.9039,0.98,5632
2024-03-15 04:00:00,0.906,1.0899,0.8,0.8,23401
2024-03-18 04:00:00,1.11,1.11,0.77,0.77,4731
2024-03-19 04:00:00,0.8,0.94,0.7926,0.86,8805
2024-03-20 04:00:00,0.98,1.18,0.8485,1.02,18111
2024-03-21 04:00:00,1.08,1.31,0.8,1.26,36476
2024-03-22 04:00:00,1.27,1.27,1.1,1.1,7469
2024-03-25 04:00:00,1.14,1.14,0.9951,0.9951,2025
2024-03-26 04:00:00,1.1,1.35,1.05,1.15,47497
2024-03-27 04:00:00,1.15,1.29,1.11,1.29,35400
2024-03-28 04:00:00,1.1,1.19,0.55,0.759899,93554
2024-04-01 04:00:00,0.57,0.78,0.57,0.65,1199
2024-04-02 04:00:00,0.6121,0.6701,0.6121,0.67,11989
2024-04-03 04:00:00,0.75,0.76,0.7,0.76,5904
2024-04-04 04:00:00,0.73,0.73,0.666,0.70085,9739
2024-04-05 04:00:00,0.6915,0.7759,0.6915,0.7759,5600
2024-04-08 04:00:00,0.666,0.698,0.62,0.698,19726
2024-04-09 04:00:00,0.6447,0.745,0.59,0.59,11994
2024-04-10 04:00:00,0.73,0.73,0.58,0.58,5245
2024-04-11 04:00:00,0.63,0.715,0.609,0.715,34217
2024-04-12 04:00:00,0.6968,0.72,0.6968,0.72,2611
2024-04-15 04:00:00,0.6301,0.6301,0.6301,0.6301,100
2024-04-16 04:00:00,0.605,0.61,0.5,0.5,20503
2024-04-17 04:00:00,0.512,0.61,0.46,0.6,5148
2024-04-18 04:00:00,0.53555,0.6,0.4713,0.4732,4814
2024-04-19 04:00:00,0.5,0.5999,0.4895,0.4895,3912
2024-04-22 04:00:00,0.542501,0.542501,0.35,0.355,39854
2024-04-23 04:00:00,0.355,0.4734,0.352625,0.447,5008
2024-04-24 04:00:00,0.447,0.6,0.415175,0.51,8983
2024-04-25 04:00:00,0.55,0.55,0.55,0.55,205
2024-04-26 04:00:00,0.589,0.59,0.45,0.4934,3456
2024-04-29 04:00:00,0.6,0.6,0.6,0.6,100
2024-04-30 04:00:00,0.59,0.59,0.4655,0.5359,5516
2024-05-01 04:00:00,0.53575,0.6,0.53575,0.5434,1406
2024-05-02 04:00:00,0.535749,0.6,0.535749,0.59,450
2024-05-06 04:00:00,0.4877,0.6,0.444,0.5507,11228
2024-05-07 04:00:00,0.6,0.6,0.565,0.57655,6863
2024-05-08 04:00:00,0.6,0.6,0.526,0.526,10955
2024-05-09 04:00:00,0.75,0.77,0.6601,0.77,124332
2024-05-10 04:00:00,0.87,0.9,0.77,0.77749,38736
2024-05-13 04:00:00,0.82,0.82,0.75,0.77,14250
2024-05-14 04:00:00,0.8593,0.8593,0.77,0.79,8853
2024-05-15 04:00:00,0.85,0.96,0.807751,0.96,35496
2024-05-16 04:00:00,0.945,0.99,0.88,0.97,6089
2024-05-17 04:00:00,0.81,0.9486,0.81,0.85,3222
2024-05-20 04:00:00,0.9665,1.1,0.92,1.0958,12871
2024-05-21 04:00:00,1.12,1.2,1.095,1.1999,16885
2024-05-22 04:00:00,1.22,1.22,1.13,1.1301,5028
2024-05-23 04:00:00,1.02,1.1,1.0,1.095,3006
2024-05-24 04:00:00,1.11,1.2,1.11,1.2,1590
2024-05-28 04:00:00,1.2,1.4499,1.2,1.435,29496
2024-05-29 04:00:00,1.42,1.69,1.42,1.43,37957
2024-05-30 04:00:00,1.57,1.7,1.4267,1.4267,12107
2024-05-31 04:00:00,1.41,1.41,1.26,1.34,4832
2024-06-03 04:00:00,1.1921,1.21,1.0801,1.1,4459
2024-06-04 04:00:00,1.11,1.11,1.1,1.1,369
2024-06-05 04:00:00,1.15,1.15,1.15,1.15,557
2024-06-06 04:00:00,1.13,1.13,0.954,1.07,16953
2024-06-07 04:00:00,1.1,1.11,1.1,1.1,1131
