Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,11.63,11.655,11.25,11.52,289487.0
2023-09-08 04:00:00,11.51,11.51,10.88,10.98,189996.0
2023-09-11 04:00:00,11.05,11.455,10.95,11.18,583613.0
2023-09-12 04:00:00,11.14,11.41,9.9,9.9,894792.0
2023-09-13 04:00:00,9.84,9.96,9.26,9.265,574142.0
2023-09-14 04:00:00,9.23,9.555,8.63,9.34,1242496.0
2023-09-15 04:00:00,9.48,9.5,8.565,9.26,1340223.0
2023-09-18 04:00:00,9.24,10.06,9.1,9.85,914574.0
2023-09-19 04:00:00,9.86,10.05,9.525,9.86,750079.0
2023-09-20 04:00:00,9.71,9.92,9.23,9.32,610015.0
2023-09-21 04:00:00,9.21,9.34,8.71,9.27,539510.0
2023-09-22 04:00:00,9.29,9.355,8.91,9.09,292696.0
2023-09-25 04:00:00,9.1,9.105,8.47,8.67,561568.0
2023-09-26 04:00:00,8.66,9.13,8.66,9.01,314277.0
2023-09-27 04:00:00,9.06,9.22,8.56,8.6,374081.0
2023-09-28 04:00:00,8.61,8.82,8.35,8.79,1174641.0
2023-09-29 04:00:00,8.9,9.075,8.65,8.96,267634.0
2023-10-02 04:00:00,9.2,9.2,7.83,7.94,470237.0
2023-10-03 04:00:00,7.75,8.69,7.75,8.65,570058.0
2023-10-04 04:00:00,8.68,8.78,8.14,8.31,375990.0
2023-10-05 04:00:00,8.27,9.52,8.27,9.44,641179.0
2023-10-06 04:00:00,9.31,9.46,9.11,9.41,206184.0
2023-10-09 04:00:00,9.26,9.28,8.87,8.97,182361.0
2023-10-10 04:00:00,8.98,9.2,8.57,8.99,634213.0
2023-10-11 04:00:00,9.01,9.08,8.085,8.38,356735.0
2023-10-12 04:00:00,8.55,8.55,7.64,7.805,572154.0
2023-10-13 04:00:00,7.83,8.2,7.39,8.16,586609.0
2023-10-16 04:00:00,8.18,8.22,7.62,7.86,602325.0
2023-10-17 04:00:00,7.82,8.14,7.57,7.72,379581.0
2023-10-18 04:00:00,7.62,7.7,7.32,7.4,777339.0
2023-10-19 04:00:00,7.36,7.61,7.28,7.46,321464.0
2023-10-20 04:00:00,7.51,7.75,7.18,7.25,481413.0
2023-10-23 04:00:00,7.32,7.32,6.66,6.66,473592.0
2023-10-24 04:00:00,6.67,7.27,6.64,6.96,493451.0
2023-10-25 04:00:00,6.85,6.85,6.5,6.66,317123.0
2023-10-26 04:00:00,6.84,7.02,6.52,6.87,227524.0
2023-10-27 04:00:00,7.05,7.05,6.51,6.62,373552.0
2023-10-30 04:00:00,6.4,7.51,6.4,7.32,733299.0
2023-10-31 04:00:00,7.19,7.22,6.66,7.05,1905995.0
2023-11-01 04:00:00,7.02,7.36,6.9,7.3,978715.0
2023-11-02 04:00:00,7.41,7.67,7.09,7.15,427037.0
2023-11-03 04:00:00,7.26,8.32,7.1,8.23,820504.0
2023-11-06 05:00:00,8.33,8.71,8.14,8.16,637312.0
2023-11-07 05:00:00,8.2,9.48,7.9301,9.35,566718.0
2023-11-08 05:00:00,9.37,9.44,9.0,9.35,613190.0
2023-11-09 05:00:00,9.46,9.58,8.41,8.44,818214.0
2023-11-10 05:00:00,8.47,9.11,8.044,8.7,639220.0
2023-11-13 05:00:00,8.57,8.72,8.05,8.7,382648.0
2023-11-14 05:00:00,9.26,10.38,9.26,10.35,882157.0
2023-11-15 05:00:00,10.36,11.245,10.35,10.88,724413.0
2023-11-16 05:00:00,10.89,10.89,9.76,9.765,1015443.0
2023-11-17 05:00:00,9.85,11.03,9.82,11.02,590673.0
2023-11-20 05:00:00,11.02,11.45,10.52,10.65,777162.0
2023-11-21 05:00:00,10.5,11.1987,10.03,10.51,995376.0
2023-11-22 05:00:00,10.74,10.83,10.21,10.52,610660.0
2023-11-24 05:00:00,10.53,11.17,10.53,11.05,435668.0
2023-11-27 05:00:00,11.0,11.0,10.27,10.66,899775.0
2023-11-28 05:00:00,10.72,10.8,10.12,10.4,660478.0
2023-11-29 05:00:00,10.34,11.52,10.27,10.99,777612.0
2023-11-30 05:00:00,11.34,11.54,10.89,11.08,798124.0
2023-12-01 05:00:00,11.03,11.3,10.36,11.2,473883.0
2023-12-04 05:00:00,11.1,12.06,11.02,11.65,1086025.0
2023-12-05 05:00:00,11.51,11.77,11.12,11.68,933262.0
2023-12-06 05:00:00,11.88,12.07,11.4,11.42,477424.0
2023-12-07 05:00:00,11.5,11.61,11.18,11.56,428385.0
2023-12-08 05:00:00,11.47,11.57,11.07,11.18,480049.0
2023-12-11 05:00:00,11.19,11.21,10.455,10.9,466050.0
2023-12-12 05:00:00,10.92,11.07,10.33,10.96,344333.0
2023-12-13 05:00:00,10.94,11.32,10.8,11.32,873112.0
2023-12-14 05:00:00,11.74,12.2,11.51,11.82,796211.0
2023-12-15 05:00:00,11.96,12.79,11.96,12.7,2238345.0
2023-12-18 05:00:00,12.6,12.93,11.92,11.93,571759.0
2023-12-19 05:00:00,12.08,12.65,12.08,12.61,551076.0
2023-12-20 05:00:00,12.51,12.7499,11.66,11.71,653569.0
2023-12-21 05:00:00,12.02,12.31,11.93,12.22,263063.0
2023-12-22 05:00:00,12.46,13.0,12.36,12.65,410157.0
2023-12-26 05:00:00,13.06,13.09,12.06,12.65,594452.0
2023-12-27 05:00:00,12.77,13.88,12.52,13.64,945654.0
2023-12-28 05:00:00,13.6,13.795,13.02,13.16,884110.0
2023-12-29 05:00:00,13.13,13.74,12.86,13.3,722711.0
2024-01-02 05:00:00,13.02,13.82,12.57,13.06,1169318.0
2024-01-03 05:00:00,18.0,18.7272,12.33,14.77,20936866.0
2024-01-04 05:00:00,14.37,19.87,14.29,19.39,14050352.0
2024-01-05 05:00:00,17.79,18.41,17.4,17.96,8646609.0
2024-01-08 05:00:00,18.09,18.43,17.3501,18.03,3759971.0
2024-01-09 05:00:00,17.89,19.57,17.82,18.77,3228863.0
2024-01-10 05:00:00,18.2,18.94,17.06,17.34,3095453.0
2024-01-11 05:00:00,17.31,17.54,15.215,16.41,3674228.0
2024-01-12 05:00:00,17.08,17.6924,16.13,16.69,1827874.0
2024-01-16 05:00:00,16.38,16.9,16.25,16.73,1547793.0
2024-01-17 05:00:00,16.31,16.7565,16.15,16.65,966028.0
2024-01-18 05:00:00,16.71,17.2002,15.96,16.21,1090224.0
2024-01-19 05:00:00,16.33,16.33,15.49,15.62,806477.0
2024-01-22 05:00:00,15.61,16.23,15.59,16.19,1494898.0
2024-01-23 05:00:00,16.45,17.07,16.3,16.98,787903.0
2024-01-24 05:00:00,17.08,17.5,16.7601,16.96,489997.0
2024-01-25 05:00:00,17.3,17.93,16.97,17.9,1017796.0
2024-01-26 05:00:00,18.0,25.5,17.27,21.16,5763174.0
2024-01-29 05:00:00,20.8,21.24,20.08,20.9,1452934.0
2024-01-30 05:00:00,20.7,22.72,20.38,21.18,1983045.0
2024-01-31 05:00:00,21.11,22.1,20.61,21.4,1106086.0
2024-02-01 05:00:00,21.45,22.65,21.06,22.06,2183751.0
2024-02-02 05:00:00,22.09,22.215,20.4,21.04,1745136.0
2024-02-05 05:00:00,21.01,21.98,20.8,21.88,567773.0
2024-02-06 05:00:00,22.0,22.23,21.18,21.94,578504.0
2024-02-07 05:00:00,21.9,22.49,21.23,21.44,807612.0
2024-02-08 05:00:00,21.48,22.8499,21.465,22.73,722746.0
2024-02-09 05:00:00,22.9,24.92,22.8401,24.01,1019047.0
2024-02-12 05:00:00,23.44,25.22,23.3735,24.31,1593289.0
2024-02-13 05:00:00,23.21,23.975,22.51,23.11,948682.0
2024-02-14 05:00:00,23.6,24.23,23.1,24.19,980685.0
2024-02-15 05:00:00,24.23,24.6,23.39,23.6,1106013.0
2024-02-16 05:00:00,23.54,23.55,22.86,22.91,875865.0
2024-02-20 05:00:00,24.01,24.01,22.09,22.74,1098960.0
2024-02-21 05:00:00,22.55,23.3899,21.7,22.55,1106625.0
2024-02-22 05:00:00,22.5,23.19,22.16,22.41,1005863.0
2024-02-23 05:00:00,22.45,22.92,22.15,22.79,798697.0
2024-02-26 05:00:00,22.75,24.04,22.515,24.04,1113815.0
2024-02-27 05:00:00,24.48,24.7795,23.55,24.6,1722336.0
2024-02-28 05:00:00,24.42,25.28,23.9156,24.98,1756961.0
2024-02-29 05:00:00,25.66,27.61,25.3,26.9,2560987.0
2024-03-01 05:00:00,27.36,30.2687,27.26,29.13,2231271.0
2024-03-04 05:00:00,29.84,29.84,26.79,27.71,1475234.0
2024-03-05 05:00:00,27.66,28.1,25.47,25.87,1190297.0
2024-03-06 05:00:00,26.99,27.15,25.97,26.78,1150804.0
2024-03-07 05:00:00,26.37,26.89,25.14,26.44,4925032.0
2024-03-08 05:00:00,26.5,27.5799,24.97,25.16,1843811.0
2024-03-11 04:00:00,24.99,26.25,24.77,25.55,1257996.0
2024-03-12 04:00:00,25.35,27.13,25.21,27.1,1598073.0
2024-03-13 04:00:00,27.17,29.08,27.17,27.77,1437800.0
2024-03-14 04:00:00,27.61,28.03,25.985,26.68,1277822.0
2024-03-15 04:00:00,26.43,28.57,26.4,27.99,4802869.0
2024-03-18 04:00:00,27.57,28.265,26.16,26.28,2324983.0
2024-03-19 04:00:00,26.08,27.81,26.08,27.52,714909.0
2024-03-20 04:00:00,27.36,27.96,26.89,27.91,1049567.0
2024-03-21 04:00:00,28.24,29.58,27.67,29.18,1046555.0
2024-03-22 04:00:00,29.35,29.59,28.03,28.24,539893.0
2024-03-25 04:00:00,24.5001,27.2,23.56,26.06,3306201.0
2024-03-26 04:00:00,26.28,26.86,25.7,26.78,943461.0
2024-03-27 04:00:00,27.29,29.8,26.81,28.5,2461568.0
2024-03-28 04:00:00,28.51,29.0,27.27,28.39,1321776.0
2024-04-01 04:00:00,28.31,28.79,27.11,28.0,1185641.0
2024-04-02 04:00:00,27.08,28.05,26.34,27.84,978063.0
2024-04-03 04:00:00,27.65,28.95,27.63,28.76,835451.0
2024-04-04 04:00:00,28.9,29.0,26.3,26.45,1642020.0
2024-04-05 04:00:00,26.3,27.39,25.81,26.44,1037436.0
2024-04-08 04:00:00,26.44,27.16,25.89,26.9,757219.0
2024-04-09 04:00:00,26.89,27.43,26.72,27.23,668433.0
2024-04-10 04:00:00,26.2,27.66,26.04,26.83,946114.0
2024-04-11 04:00:00,27.32,27.8,26.56,27.38,737121.0
2024-04-12 04:00:00,27.14,27.52,25.54,25.85,652554.0
2024-04-15 04:00:00,26.14,26.67,25.21,25.44,662807.0
2024-04-16 04:00:00,25.19,25.76,24.61,24.63,928897.0
2024-04-17 04:00:00,25.09,25.23,24.34,24.82,801903.0
2024-04-18 04:00:00,24.68,25.29,23.54,23.65,976413.0
2024-04-19 04:00:00,23.53,24.21,23.11,23.86,973256.0
2024-04-22 04:00:00,24.28,25.19,23.59,24.87,713311.0
2024-04-23 04:00:00,25.22,26.3299,24.83,25.44,807667.0
2024-04-24 04:00:00,25.63,25.92,24.93,24.98,915656.0
2024-04-25 04:00:00,24.26,24.475,23.16,23.695,705850.0
2024-04-26 04:00:00,23.79,25.12,23.5,24.73,616906.0
2024-04-29 04:00:00,24.85,25.87,24.85,25.46,603406.0
2024-04-30 04:00:00,26.44,26.44,25.02,25.31,586896.0
2024-05-01 04:00:00,25.21,27.29,25.21,25.83,1351377.0
2024-05-02 04:00:00,26.34,27.11,24.79,26.0,935703.0
2024-05-03 04:00:00,26.0,27.31,25.87,26.08,761928.0
2024-05-06 04:00:00,26.34,26.55,25.4,26.25,646639.0
2024-05-07 04:00:00,26.14,26.39,25.37,25.65,496815.0
2024-05-08 04:00:00,25.41,25.7,24.93,25.69,464282.0
2024-05-09 04:00:00,25.8,26.43,25.7,25.95,1008522.0
2024-05-10 04:00:00,25.96,26.48,25.07,26.0,538840.0
2024-05-13 04:00:00,26.31,28.0,26.215,26.62,959621.0
2024-05-14 04:00:00,26.91,28.43,26.47,28.16,650219.0
2024-05-15 04:00:00,28.69,29.8799,28.38,29.38,1011777.0
2024-05-16 04:00:00,27.23,29.09,27.06,28.75,1120645.0
2024-05-17 04:00:00,28.3,28.37,27.04,27.68,1318232.0
2024-05-20 04:00:00,31.7,35.66,30.61,35.38,4597923.0
2024-05-21 04:00:00,35.663,35.98,32.14,32.63,2278833.0
2024-05-22 04:00:00,31.63,32.39,30.23,31.53,6693166.0
2024-05-23 04:00:00,31.95,32.0599,30.93,31.25,2640425.0
2024-05-24 04:00:00,31.52,32.03,30.87,31.22,958349.0
2024-05-28 04:00:00,31.51,31.92,29.47,30.01,2237012.0
2024-05-29 04:00:00,29.57,31.39,29.41,31.08,1359149.0
2024-05-30 04:00:00,31.42,32.06,30.79,31.2,2005836.0
2024-05-31 04:00:00,31.25,32.04,30.945,31.88,1655877.0
2024-06-03 04:00:00,32.12,32.32,30.77,31.41,1032744.0
2024-06-04 04:00:00,31.43,31.72,30.37,31.41,915257.0
2024-06-05 04:00:00,31.62,32.94,31.14,32.89,819859.0
2024-06-06 04:00:00,32.85,33.06,31.97,32.51,513494.0
2024-06-07 04:00:00,32.08,32.72,30.57,30.94,718679.0
2024-06-10 04:00:00,30.51,31.56,29.75,31.5,1037787.0
2024-06-11 04:00:00,31.03,31.86,30.785,30.96,674125.0
2024-06-12 04:00:00,32.53,34.74,32.255,33.01,1816755.0
2024-06-13 04:00:00,33.01,34.09,32.93,33.69,567950.0
2024-06-14 04:00:00,33.0,33.4,32.64,33.07,579553.0
2024-06-17 04:00:00,33.0,33.205,31.535,31.79,553871.0
2024-06-18 04:00:00,31.92,33.53,31.52,33.15,646361.0
2024-06-20 04:00:00,33.01,33.03,32.03,32.39,535790.0
2024-06-21 04:00:00,32.65,35.15,32.5,35.02,3891823.0
2024-06-24 04:00:00,35.29,36.6,34.8233,35.63,998110.0
2024-06-25 04:00:00,35.58,35.78,33.66,33.91,579878.0
2024-06-26 04:00:00,33.76,34.03,32.78,33.92,807200.0
2024-06-27 04:00:00,34.0,35.55,33.3186,35.42,933559.0
2024-06-28 04:00:00,35.43,35.78,34.04,35.29,4744343.0
2024-07-01 04:00:00,35.09,36.1789,34.87,35.49,1634580.0
2024-07-02 04:00:00,35.25,35.43,34.192,34.65,792759.0
2024-07-03 04:00:00,34.7,35.13,33.75,34.09,285965.0
2024-07-05 04:00:00,33.86,34.44,33.45,34.4,491243.0
2024-07-08 04:00:00,34.69,35.0,33.0875,33.61,715449.0
2024-07-09 04:00:00,33.62,37.22,33.21,37.21,1306761.0
2024-07-10 04:00:00,37.44,39.6,36.47,39.55,1344254.0
2024-07-11 04:00:00,40.5,42.31,39.93,41.96,1278162.0
2024-07-12 04:00:00,42.56,42.56,40.92,41.54,790563.0
2024-07-15 04:00:00,41.22,44.12,40.78,43.34,1069772.0
2024-07-16 04:00:00,43.26,44.33,42.9765,44.15,1169981.0
2024-07-17 04:00:00,42.95,43.725,41.38,41.48,1018196.0
2024-07-18 04:00:00,41.91,43.64,41.02,41.39,1016064.0
2024-07-19 04:00:00,41.46,42.465,41.13,41.47,530905.0
2024-07-22 04:00:00,41.63,43.47,41.36,43.19,796649.0
2024-07-23 04:00:00,43.16,44.38,42.91,44.03,622752.0
2024-07-24 04:00:00,43.47,44.47,43.06,43.75,721523.0
2024-07-25 04:00:00,44.56,45.455,42.65,42.7,1972122.0
2024-07-26 04:00:00,43.36,44.88,42.84,44.53,955487.0
2024-07-29 04:00:00,44.7,44.85,42.2,42.83,467470.0
2024-07-30 04:00:00,43.31,44.14,42.0501,42.86,549715.0
2024-07-31 04:00:00,43.61,44.2,42.21,42.91,756060.0
2024-08-01 04:00:00,42.71,43.105,41.87,42.08,1003814.0
2024-08-02 04:00:00,38.84,41.025,38.08,40.83,770720.0
2024-08-05 04:00:00,36.29,41.25,36.21,41.21,1725655.0
2024-08-06 04:00:00,42.21,44.84,41.075,43.38,972337.0
2024-08-07 04:00:00,44.8,44.81,41.84,42.19,666491.0
2024-08-08 04:00:00,42.64,43.27,40.51,43.07,1970491.0
2024-08-09 04:00:00,43.51,44.22,41.87,43.6,803910.0
2024-08-12 04:00:00,43.6,44.04,41.8007,43.07,584165.0
2024-08-13 04:00:00,44.24,44.24,41.9,43.64,962308.0
2024-08-14 04:00:00,43.89,44.07,43.11,43.88,716856.0
2024-08-15 04:00:00,45.01,46.0,44.55,45.74,1260609.0
2024-08-16 04:00:00,45.36,46.39,44.0,45.39,819904.0
2024-08-19 04:00:00,45.46,46.74,44.51,46.12,1586457.0
2024-08-20 04:00:00,45.82,47.45,45.19,46.82,867334.0
2024-08-21 04:00:00,46.48,47.39,45.75,47.04,962381.0
