Date,Open,High,Low,Close,Volume
2025-03-18 04:00:00,12.7,12.8,7.5,8.0,96578.0
2025-03-19 04:00:00,7.97,8.77,6.11,6.91,130127.0
2025-03-20 04:00:00,6.9,7.22,6.13,6.13,81610.0
2025-03-21 04:00:00,6.02,6.13,5.5,5.5,82450.0
2025-03-24 04:00:00,5.34,5.636,4.76,5.04,119042.0
2025-03-25 04:00:00,4.94,9.4,4.76,4.86,1897729.0
2025-03-26 04:00:00,4.62,5.35,4.54,4.89,385964.0
2025-03-27 04:00:00,4.99,4.99,4.52,4.56,102090.0
2025-03-28 04:00:00,4.57,4.7983,4.35,4.35,60498.0
2025-03-31 04:00:00,4.37,4.84,4.26,4.78,76193.0
2025-04-01 04:00:00,4.621,5.8499,4.53,5.75,142104.0
2025-04-02 04:00:00,5.55,5.85,5.1,5.57,59254.0
2025-04-03 04:00:00,5.26,5.43,4.75,4.85,60610.0
2025-04-04 04:00:00,4.75,4.75,4.2,4.28,76320.0
2025-04-07 04:00:00,4.21,4.51,3.83,4.08,56795.0
2025-04-08 04:00:00,4.36,4.73,4.25,4.45,65257.0
2025-04-09 04:00:00,4.37,4.9399,4.36,4.91,23128.0
2025-04-10 04:00:00,4.76,4.87,4.5005,4.72,61555.0
2025-04-11 04:00:00,4.87,5.1,4.57,4.9,115827.0
2025-04-14 04:00:00,4.87,4.99,4.7116,4.83,36651.0
2025-04-15 04:00:00,4.96,4.98,4.74,4.76,21491.0
2025-04-16 04:00:00,4.88,5.0,4.55,4.7194,117970.0
2025-04-17 04:00:00,4.5785,4.7283,4.56,4.59,6690.0
2025-04-21 04:00:00,4.5,4.54,4.33,4.36,17314.0
2025-04-22 04:00:00,4.49,4.6,4.23,4.59,119905.0
2025-04-23 04:00:00,4.55,4.8,4.4001,4.7,27491.0
2025-04-24 04:00:00,4.44,4.87,4.44,4.79,15407.0
2025-04-25 04:00:00,4.87,4.87,4.58,4.85,35467.0
2025-04-28 04:00:00,4.84,4.85,4.52,4.75,14922.0
2025-04-29 04:00:00,4.87,4.87,4.85,4.87,12242.0
2025-04-30 04:00:00,4.9,5.3,4.7,5.06,32697.0
2025-05-01 04:00:00,5.11,5.3497,5.08,5.13,19502.0
2025-05-02 04:00:00,5.21,5.2944,5.0001,5.29,7471.0
2025-05-05 04:00:00,5.29,5.76,5.085,5.76,17865.0
2025-05-06 04:00:00,5.79,5.9,5.7,5.7,15026.0
2025-05-07 04:00:00,5.6296,5.855,5.6296,5.7,3840.0
2025-05-08 04:00:00,5.65,5.8748,5.6,5.6553,21205.0
2025-05-09 04:00:00,5.6,5.95,5.6,5.88,11502.0
2025-05-12 04:00:00,5.78,7.0,5.78,6.59,53846.0
2025-05-13 04:00:00,6.6,6.65,6.005,6.06,22375.0
2025-05-14 04:00:00,6.01,6.48,6.01,6.1,14167.0
2025-05-15 04:00:00,6.04,6.38,6.02,6.2001,4829.0
2025-05-16 04:00:00,6.34,6.34,5.92,6.12,15137.0
2025-05-19 04:00:00,6.01,6.15,5.8,5.92,12424.0
2025-05-20 04:00:00,5.85,6.115,5.85,6.05,4347.0
2025-05-21 04:00:00,5.9,6.14,5.9,6.0699,3572.0
2025-05-22 04:00:00,6.09,6.1,5.9,5.9,7036.0
2025-05-23 04:00:00,5.53,5.99,5.53,5.99,17490.0
2025-05-27 04:00:00,6.03,6.03,5.8409,6.02,6189.0
2025-05-28 04:00:00,5.88,6.03,5.88,6.02,9192.0
2025-05-29 04:00:00,5.88,6.2,5.88,6.1,12974.0
2025-05-30 04:00:00,6.175,6.34,6.05,6.07,19547.0
2025-06-02 04:00:00,6.07,6.23,5.8462,5.95,6963.0
2025-06-03 04:00:00,6.15,6.58,6.14,6.55,9644.0
2025-06-04 04:00:00,6.35,6.58,6.1337,6.19,7201.0
2025-06-05 04:00:00,6.17,6.44,6.17,6.18,5940.0
2025-06-06 04:00:00,6.18,6.29,6.091753,6.29,8839.0
2025-06-09 04:00:00,6.27,6.27,6.1,6.1301,11188.0
2025-06-10 04:00:00,6.2107,6.54,6.2,6.45,11055.0
2025-06-11 04:00:00,6.45,6.65,6.45,6.63,7095.0
2025-06-12 04:00:00,6.598,6.62,6.47,6.58,5140.0
2025-06-13 04:00:00,6.85,6.85,6.44,6.7,18962.0
2025-06-16 04:00:00,6.66,6.78,6.01,6.69,24608.0
2025-06-17 04:00:00,6.67,6.6899,6.0758,6.67,3155.0
2025-06-18 04:00:00,6.69,6.69,6.179,6.42,7754.0
2025-06-20 04:00:00,6.41,6.75,6.41,6.61,12728.0
2025-06-23 04:00:00,6.61,8.2699,6.405,7.65,579992.0
2025-06-24 04:00:00,7.65,8.0218,6.6101,6.65,104184.0
2025-06-25 04:00:00,6.74,7.2,6.0,6.65,77490.0
2025-06-26 04:00:00,6.89,7.8,6.6061,7.7,100914.0
2025-06-27 04:00:00,8.18,8.18,7.28,7.5,28551.0
2025-06-30 04:00:00,7.61,7.91,7.4218,7.73,13635.0
2025-07-01 04:00:00,7.82,7.89,7.59,7.77,12841.0
2025-07-02 04:00:00,7.72,7.77,7.48,7.7,13221.0
2025-07-03 04:00:00,7.7,7.7,7.478,7.7,5239.0
2025-07-07 04:00:00,7.6,7.91,7.47,7.91,34161.0
2025-07-08 04:00:00,7.59,8.5,7.51,8.28,45899.0
2025-07-09 04:00:00,8.17,8.735,8.09,8.64,30779.0
2025-07-10 04:00:00,8.55,8.58,8.36,8.4351,5229.0
2025-07-11 04:00:00,8.2496,8.325,8.0001,8.1,6585.0
2025-07-14 04:00:00,8.0,8.1572,7.0501,7.95,30368.0
2025-07-15 04:00:00,7.2912,7.87,7.22,7.87,7632.0
2025-07-16 04:00:00,7.72,7.73,7.53,7.53,2101.0
2025-07-17 04:00:00,7.57,7.79,7.57,7.59,3262.0
2025-07-18 04:00:00,7.72,7.8979,7.63,7.74,3445.0
