Date,Open,High,Low,Close,Volume
2024-11-22 05:00:00,2.29,2.38,1.75,2.38,1200364.0
2024-11-25 05:00:00,2.2,2.34,1.8,1.85,2228464.0
2024-11-26 05:00:00,1.73,1.73,1.47,1.61,629817.0
2024-11-27 05:00:00,1.52,1.6,1.34,1.4,342218.0
2024-11-29 05:00:00,1.39,1.435,1.3081,1.31,170693.0
2024-12-02 05:00:00,1.3,1.46,1.24,1.41,197851.0
2024-12-03 05:00:00,1.41,1.41,1.24,1.28,147645.0
2024-12-04 05:00:00,1.25,1.2781,1.14,1.2,106164.0
2024-12-05 05:00:00,1.19,1.23,1.05,1.075,267457.0
2024-12-06 05:00:00,1.12,1.12,1.01,1.08,274086.0
2024-12-09 05:00:00,1.12,1.28,1.01,1.25,343537.0
2024-12-10 05:00:00,1.2105,1.3062,1.02,1.08,223195.0
2024-12-11 05:00:00,1.1,1.1402,1.03,1.09,81886.0
2024-12-12 05:00:00,1.15,1.19,1.04,1.07,130835.0
2024-12-13 05:00:00,1.06,1.1599,1.04,1.1195,82440.0
2024-12-16 05:00:00,1.06,1.13,1.05,1.05,58014.0
2024-12-17 05:00:00,1.09,1.12,1.0202,1.06,84238.0
2024-12-18 05:00:00,1.07,1.2,1.0416,1.11,208154.0
2024-12-19 05:00:00,1.17,1.55,1.11,1.37,1215507.0
2024-12-20 05:00:00,1.5,1.5,0.9,1.14,939926.0
2024-12-23 05:00:00,1.09,1.14,0.9976,1.07,161280.0
2024-12-24 05:00:00,1.085,1.1064,1.0103,1.05,74886.0
2024-12-26 05:00:00,1.11,1.27,1.1,1.2,245998.0
2024-12-27 05:00:00,1.21,1.2492,1.02,1.15,315207.0
2024-12-30 05:00:00,1.16,1.21,1.0613,1.21,135708.0
2024-12-31 05:00:00,1.18,1.37,1.172,1.32,173734.0
2025-01-02 05:00:00,1.28,1.4158,1.209,1.3102,84590.0
2025-01-03 05:00:00,1.34,1.39,1.23,1.291,63623.0
2025-01-06 05:00:00,1.36,1.435,1.32,1.4,71483.0
2025-01-07 05:00:00,1.42,1.45,1.3,1.34,25450.0
2025-01-08 05:00:00,1.37,1.37,1.15,1.2007,79497.0
2025-01-10 05:00:00,1.27,1.27,1.07,1.1,72625.0
2025-01-13 05:00:00,1.2,1.2,1.06,1.09,122419.0
2025-01-14 05:00:00,1.06,1.16,1.01,1.09,332355.0
2025-01-15 05:00:00,1.04,1.1,1.02,1.03,41222.0
2025-01-16 05:00:00,0.9874,1.05,0.9099,1.05,405063.0
2025-01-17 05:00:00,1.1117,1.13,1.01,1.09,68927.0
2025-01-21 05:00:00,1.1,1.13,1.01,1.11,74054.0
2025-01-22 05:00:00,1.14,1.19,1.09,1.1,56580.0
2025-01-23 05:00:00,1.18,1.22,1.03,1.17,28852.0
2025-01-24 05:00:00,1.17,1.18,1.1,1.1784,122116.0
2025-01-27 05:00:00,1.15,1.17,1.07,1.16,43588.0
2025-01-28 05:00:00,1.13,1.1437,1.06,1.09,22506.0
2025-01-29 05:00:00,1.07,1.1,1.03,1.05,65914.0
2025-01-30 05:00:00,1.02,1.1864,0.99,1.098,91309.0
2025-01-31 05:00:00,1.15,1.17,1.05,1.17,30745.0
2025-02-03 05:00:00,1.15,1.18,1.06,1.14,25130.0
2025-02-04 05:00:00,1.0756,1.15,0.9901,1.0359,212193.0
2025-02-05 05:00:00,1.0,1.0225,0.925,0.965,409096.0
2025-02-06 05:00:00,0.9522,1.01,0.9522,1.01,27276.0
2025-02-07 05:00:00,0.96,1.08,0.9501,1.04,29241.0
2025-02-10 05:00:00,1.08,1.08,0.95,0.99,25882.0
2025-02-11 05:00:00,0.95,1.17,0.95,0.9801,439109.0
2025-02-12 05:00:00,1.0,1.04,0.904,0.9716,192708.0
2025-02-13 05:00:00,0.9643,0.9643,0.904,0.938,32015.0
2025-02-14 05:00:00,1.03,1.05,0.938,0.97,57772.0
2025-02-18 05:00:00,1.03,1.05,0.9377,1.01,70018.0
2025-02-19 05:00:00,1.05,1.05,0.9914,1.01,12951.0
2025-02-20 05:00:00,1.0,1.01,0.93,0.9521,55039.0
2025-02-21 05:00:00,1.0,1.0,0.903,0.903,24644.0
2025-02-24 05:00:00,0.97,1.09,0.9127,0.9575,57112.0
2025-02-25 05:00:00,1.0207,1.03,0.937101,0.9565,4726.0
2025-02-26 05:00:00,0.9474,1.0,0.8805,0.8805,80004.0
2025-02-27 05:00:00,0.97,0.9774,0.79,0.8332,101642.0
2025-02-28 05:00:00,0.8332,0.92,0.81,0.89,46440.0
2025-03-03 05:00:00,0.8491,0.89,0.801,0.801,34909.0
2025-03-04 05:00:00,0.8685,0.8685,0.6771,0.679501,353513.0
2025-03-05 05:00:00,0.63,0.74,0.5602,0.68755,280692.0
2025-03-06 05:00:00,0.6566,0.7078,0.6106,0.662,25558.0
2025-03-07 05:00:00,0.62,0.7699,0.6101,0.741,62076.0
2025-03-10 04:00:00,0.785,0.785,0.651,0.6851,34531.0
2025-03-11 04:00:00,0.6371,0.659,0.5891,0.6578,188842.0
2025-03-12 04:00:00,0.654,0.75,0.5979,0.6765,24347.0
2025-03-13 04:00:00,0.6631,0.7499,0.6019,0.7,53283.0
2025-03-14 04:00:00,0.6303,0.73,0.6255,0.7268,51162.0
2025-03-17 04:00:00,0.728542,0.7397,0.66,0.7048,11177.0
2025-03-18 04:00:00,0.64,0.7407,0.64,0.6494,34830.0
2025-03-19 04:00:00,0.6494,0.6933,0.6494,0.6649,4485.0
2025-03-20 04:00:00,0.65,0.79,0.62,0.7617,61642.0
2025-03-21 04:00:00,0.75,0.8,0.7,0.71,18953.0
2025-03-24 04:00:00,0.7284,0.81,0.6701,0.7,65256.0
2025-03-25 04:00:00,0.767,0.8,0.6001,0.69,189288.0
2025-03-26 04:00:00,0.6511,0.73,0.6002,0.6002,79655.0
2025-03-27 04:00:00,0.675,0.675,0.59,0.59,45635.0
2025-03-28 04:00:00,0.645,0.694147,0.5844,0.58566,78344.0
2025-03-31 04:00:00,0.6202,0.7746,0.58,0.7408,137613.0
2025-04-01 04:00:00,0.7001,0.86,0.7,0.8,189878.0
2025-04-02 04:00:00,0.82,0.865,0.7304,0.79388,75433.0
2025-04-03 04:00:00,0.831,0.87,0.7325,0.83,54103.0
2025-04-04 04:00:00,0.82,1.0027,0.73,0.8935,332447.0
2025-04-07 04:00:00,0.935,1.08,0.7625,1.0597,462769.0
2025-04-08 04:00:00,1.02,1.06,0.875,1.0022,260107.0
2025-04-09 04:00:00,0.9721,1.04,0.95,1.0395,32799.0
2025-04-10 04:00:00,0.97,1.27,0.8989,1.15,455626.0
2025-04-11 04:00:00,1.15,1.27,1.01,1.02,157269.0
2025-04-14 04:00:00,0.98,1.78,0.98,1.53,5296647.0
2025-04-15 04:00:00,1.52,2.45,1.45,2.19,4285161.0
2025-04-16 04:00:00,2.12,3.25,2.02,3.25,1486790.0
2025-04-17 04:00:00,3.5591,4.5543,3.0,3.89,1385201.0
2025-04-21 04:00:00,3.76,4.22,3.38,3.74,311510.0
2025-04-22 04:00:00,3.68,3.95,3.68,3.885,108315.0
2025-04-23 04:00:00,3.84,3.96,2.56,2.69,246804.0
2025-04-24 04:00:00,2.75,3.4,2.75,2.96,155568.0
2025-04-25 04:00:00,3.0,3.2,2.96,3.18,56773.0
2025-04-28 04:00:00,3.17,3.2,2.79,2.79,105963.0
2025-04-29 04:00:00,2.7,2.99,2.65,2.93,33910.0
2025-04-30 04:00:00,2.8,3.1715,2.8,3.08,57164.0
2025-05-01 04:00:00,2.89,3.14,2.89,3.07,36881.0
2025-05-02 04:00:00,3.12,3.7173,3.07,3.22,159804.0
2025-05-05 04:00:00,3.21,3.48,3.0,3.31,108130.0
2025-05-06 04:00:00,3.29,4.0,3.29,3.45,116517.0
2025-05-07 04:00:00,3.46,3.79,3.35,3.65,17422.0
2025-05-08 04:00:00,3.83,4.9396,3.83,4.89,169471.0
2025-05-09 04:00:00,4.5,4.7,4.06,4.68,219034.0
2025-05-12 04:00:00,4.79,4.9,4.22,4.44,77824.0
2025-05-13 04:00:00,4.5,6.43,4.5,5.5,185050.0
2025-05-14 04:00:00,5.38,5.7989,4.85,5.195,111541.0
2025-05-15 04:00:00,5.2,5.82,4.58,5.6,174493.0
2025-05-16 04:00:00,5.69,6.9999,5.27,6.9,191762.0
2025-05-19 04:00:00,6.77,7.0,6.36,6.95,100295.0
2025-05-20 04:00:00,6.9,8.075,6.51,6.57,410499.0
2025-05-21 04:00:00,6.55,6.73,3.6,4.5,584271.0
2025-05-22 04:00:00,4.65,5.415,4.5,4.96,644348.0
2025-05-23 04:00:00,4.91,5.0064,4.55,4.86,318984.0
2025-05-27 04:00:00,4.6,5.39,4.3,5.06,698229.0
2025-05-28 04:00:00,5.15,6.19,3.4,3.5,4081610.0
