Date,Open,High,Low,Close,Volume
2025-05-28 04:00:00,45.28,45.405,44.55,44.55,13532.0
2025-05-29 04:00:00,44.99,46.0,44.96,45.24,54434.0
2025-05-30 04:00:00,45.0,45.955,45.0,45.86,111930.0
2025-06-02 04:00:00,45.78,46.135,45.34,45.57,72446.0
2025-06-03 04:00:00,45.54,45.74,45.08,45.4,60913.0
2025-06-04 04:00:00,45.48,45.51,44.965,45.09,368032.0
2025-06-05 04:00:00,45.09,45.09,44.57,44.71,74898.0
2025-06-06 04:00:00,44.68,44.68,44.04,44.04,53001.0
2025-06-09 04:00:00,44.16,44.44,43.9012,44.09,55277.0
2025-06-10 04:00:00,44.47,44.58,44.185,44.37,45589.0
2025-06-11 04:00:00,44.38,44.38,44.185,44.33,11658.0
2025-06-12 04:00:00,44.51,44.95,44.51,44.95,20827.0
2025-06-13 04:00:00,44.92,45.385,44.91,45.13,33843.0
2025-06-16 04:00:00,45.53,45.56,44.89,45.12,104267.0
2025-06-17 04:00:00,44.92,45.26,44.7,45.11,141383.0
2025-06-18 04:00:00,45.24,45.24,44.44,44.49,108311.0
2025-06-20 04:00:00,44.55,44.715,44.12,44.16,145282.0
2025-06-23 04:00:00,44.33,45.01,44.33,44.82,64461.0
2025-06-24 04:00:00,45.13,45.27,44.78,44.89,277956.0
2025-06-25 04:00:00,44.66,44.88,44.155,44.85,1316910.0
2025-06-26 04:00:00,44.88,45.34,44.71,44.93,116489.0
2025-06-27 04:00:00,44.7,45.42,44.555,44.97,166847.0
2025-06-30 04:00:00,45.11,45.83,44.96,45.82,94603.0
2025-07-01 04:00:00,45.79,46.45,45.77,46.03,43154.0
2025-07-02 04:00:00,45.94,45.94,45.12,45.39,107758.0
2025-07-03 04:00:00,45.47,45.56,45.13,45.49,39169.0
2025-07-07 04:00:00,45.46,45.7,45.39,45.58,94712.0
2025-07-08 04:00:00,45.57,45.57,45.07,45.44,72878.0
2025-07-09 04:00:00,45.6,45.66,45.29,45.59,57137.0
2025-07-10 04:00:00,45.66,46.0,45.43,45.77,100297.0
2025-07-11 04:00:00,45.76,46.08,45.51,46.07,67429.0
2025-07-14 04:00:00,46.1,46.19,45.57,45.7,108053.0
2025-07-15 04:00:00,45.81,45.81,45.35,45.5,101254.0
2025-07-16 04:00:00,45.57,45.77,45.33,45.57,78879.0
2025-07-17 04:00:00,45.36,45.36,44.86,45.14,86792.0
2025-07-18 04:00:00,45.07,45.76,45.07,45.66,57917.0
2025-07-21 04:00:00,45.75,46.25,45.75,46.25,147347.0
2025-07-22 04:00:00,46.34,47.05,46.34,46.87,99387.0
2025-07-23 04:00:00,46.94,47.01,46.52,46.64,60219.0
2025-07-24 04:00:00,46.7,46.865,46.42,46.65,39638.0
2025-07-25 04:00:00,46.74,46.74,46.29,46.72,38666.0
2025-07-28 04:00:00,46.8,46.8,46.15,46.24,70900.0
2025-07-29 04:00:00,46.34,46.62,46.34,46.58,44003.0
2025-07-30 04:00:00,46.74,47.03,46.55,47.0,80628.0
2025-07-31 04:00:00,47.2,47.2,46.74,47.0,122435.0
2025-08-01 04:00:00,46.51,47.13,46.51,46.77,164830.0
2025-08-04 04:00:00,46.95,47.735,46.8,47.36,36527.0
2025-08-05 04:00:00,47.06,47.53,46.91,47.06,130920.0
2025-08-06 04:00:00,47.35,47.47,47.07,47.21,97750.0
2025-08-07 04:00:00,47.32,48.12,47.24,48.07,80283.0
2025-08-08 04:00:00,48.12,49.01,48.12,48.72,192114.0
2025-08-11 04:00:00,48.26,48.32,47.64,47.82,149369.0
2025-08-12 04:00:00,47.59,47.7,47.23,47.38,155717.0
2025-08-13 04:00:00,47.41,47.72,47.06,47.11,176790.0
2025-08-14 04:00:00,46.99,47.655,46.875,47.56,251836.0
2025-08-15 04:00:00,47.57,47.9,47.39,47.86,184628.0
2025-08-18 04:00:00,48.06,48.32,47.52,47.73,141321.0
2025-08-19 04:00:00,47.91,47.92,47.43,47.59,133904.0
2025-08-20 04:00:00,47.81,48.18,47.81,47.96,59664.0
2025-08-21 04:00:00,48.035,48.39,48.035,48.2,102702.0
2025-08-22 04:00:00,48.245,48.38,47.93,48.01,125331.0
2025-08-25 04:00:00,47.8,47.99,47.42,47.56,95684.0
2025-08-26 04:00:00,47.73,47.88,47.26,47.63,564547.0
2025-08-27 04:00:00,47.52,47.52,47.08,47.46,142371.0
2025-08-28 04:00:00,47.38,47.45,47.13,47.27,128428.0
2025-08-29 04:00:00,47.39,47.85,47.1,47.72,66747.0
2025-09-02 04:00:00,47.5,47.5,46.935,47.25,213343.0
2025-09-03 04:00:00,47.24,47.39,46.93,47.16,178493.0
2025-09-04 04:00:00,47.51,47.56,46.86,47.04,119464.0
2025-09-05 04:00:00,47.1,47.11,46.63,46.8,82268.0
