Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,12.05,12.355,11.96,12.05,122701
2023-09-08 04:00:00,12.06,12.16,11.92,12.02,28990
2023-09-11 04:00:00,12.08,12.29,12.03,12.105,44332
2023-09-12 04:00:00,12.12,12.26,12.035,12.16,26167
2023-09-13 04:00:00,12.05,12.0999,11.95,11.98,40404
2023-09-14 04:00:00,11.99,12.23,11.99,12.22,51121
2023-09-15 04:00:00,12.21,12.23,12.07,12.12,132243
2023-09-18 04:00:00,12.07,12.07,11.85,11.88,44759
2023-09-19 04:00:00,11.8937,11.8937,11.7,11.75,50682
2023-09-20 04:00:00,11.91,11.91,11.59,11.61,28359
2023-09-21 04:00:00,11.51,11.63,11.4101,11.52,52041
2023-09-22 04:00:00,11.51,11.52,11.25,11.42,57851
2023-09-25 04:00:00,11.35,11.5066,11.34,11.46,55933
2023-09-26 04:00:00,11.33,11.47,11.25,11.3,47320
2023-09-27 04:00:00,11.49,11.52,11.28,11.34,70315
2023-09-28 04:00:00,11.33,11.56,11.33,11.43,51460
2023-09-29 04:00:00,11.58,11.74,11.47,11.56,94669
2023-10-02 04:00:00,11.52,11.795,11.52,11.66,82974
2023-10-03 04:00:00,11.57,11.57,11.35,11.35,69930
2023-10-04 04:00:00,11.35,11.36,11.15,11.24,74028
2023-10-05 04:00:00,11.27,11.5,11.27,11.44,83531
2023-10-06 04:00:00,11.34,11.5,11.21,11.37,114101
2023-10-09 04:00:00,11.25,11.43,11.25,11.35,53713
2023-10-10 04:00:00,11.34,11.43,11.18,11.39,57291
2023-10-11 04:00:00,11.37,11.5,11.23,11.35,83325
2023-10-12 04:00:00,11.35,11.59,10.95,11.15,97803
2023-10-13 04:00:00,11.247,11.315,11.01,11.03,50667
2023-10-16 04:00:00,11.15,11.25,11.0915,11.2,50697
2023-10-17 04:00:00,11.14,11.47,11.14,11.38,82541
2023-10-18 04:00:00,11.31,11.33,10.985,11.02,144080
2023-10-19 04:00:00,11.02,11.14,10.99,11.03,78618
2023-10-20 04:00:00,11.06,11.06,10.82,10.83,88868
2023-10-23 04:00:00,10.82,10.95,10.7139,10.79,68437
2023-10-24 04:00:00,10.82,10.86,10.3833,10.63,51294
2023-10-25 04:00:00,10.66,10.868,10.63,10.77,60995
2023-10-26 04:00:00,10.85,11.115,10.85,11.07,63159
2023-10-27 04:00:00,11.07,11.1,10.8697,11.09,81856
2023-10-30 04:00:00,11.1,11.19,10.91,11.16,61673
2023-10-31 04:00:00,11.22,11.36,10.8737,11.29,59775
2023-11-01 04:00:00,11.26,11.39,11.205,11.33,44206
2023-11-02 04:00:00,11.49,11.755,11.4,11.74,70507
2023-11-03 04:00:00,12.02,12.26,11.8101,12.16,71453
2023-11-06 05:00:00,12.14,12.14,12.005,12.08,38867
2023-11-07 05:00:00,12.1,12.145,12.0,12.07,41397
2023-11-08 05:00:00,11.98,12.08,11.7701,11.92,53357
2023-11-09 05:00:00,12.02,12.02,11.765,11.84,46479
2023-11-10 05:00:00,11.86,11.99,11.81,11.93,55824
2023-11-13 05:00:00,11.94,11.99,11.8562,11.93,30522
2023-11-14 05:00:00,12.1,12.78,12.055,12.78,158394
2023-11-15 05:00:00,12.72,13.0,12.69,12.81,54357
2023-11-16 05:00:00,12.8,12.85,12.51,12.59,52994
2023-11-17 05:00:00,12.63,12.68,12.42,12.57,100175
2023-11-20 05:00:00,12.46,12.53,12.41,12.51,30850
2023-11-21 05:00:00,12.44,12.49,12.29,12.36,39680
2023-11-22 05:00:00,12.46,12.57,12.36,12.46,33064
2023-11-24 05:00:00,12.46,12.6,12.46,12.6,15441
2023-11-27 05:00:00,12.61,12.61,12.395,12.41,30668
2023-11-28 05:00:00,12.34,12.425,12.18,12.35,39617
2023-11-29 05:00:00,12.49,12.69,12.49,12.52,38029
2023-11-30 05:00:00,12.63,12.72,12.155,12.31,92787
2023-12-01 05:00:00,12.38,12.95,12.345,12.87,87191
2023-12-04 05:00:00,12.87,13.115,12.82,13.09,56715
2023-12-05 05:00:00,13.09,13.09,12.899,12.97,43869
2023-12-06 05:00:00,13.06,13.18,12.85,12.9,82887
2023-12-07 05:00:00,12.89,13.22,12.855,13.18,79856
2023-12-08 05:00:00,12.9,13.23,12.9,13.22,46565
2023-12-11 05:00:00,13.18,13.25,12.9452,13.2,52111
2023-12-12 05:00:00,13.19,13.19,12.7901,13.04,50180
2023-12-13 05:00:00,13.01,13.94,13.01,13.76,362490
2023-12-14 05:00:00,13.99,14.08,13.66,13.88,159962
2023-12-15 05:00:00,14.01,14.29,13.76,13.99,349017
2023-12-18 05:00:00,13.95,14.15,13.81,13.94,76572
2023-12-19 05:00:00,13.9,14.21,13.89,14.05,125140
2023-12-20 05:00:00,14.06,14.55,13.91,14.09,137012
2023-12-21 05:00:00,14.2,14.31,14.1,14.25,93680
2023-12-22 05:00:00,14.26,14.46,14.25,14.34,62305
2023-12-26 05:00:00,14.33,14.59,14.15,14.51,63621
2023-12-27 05:00:00,14.57,14.71,14.44,14.66,75127
2023-12-28 05:00:00,14.61,14.72,14.45,14.55,66996
2023-12-29 05:00:00,14.61,14.66,14.32,14.45,156680
2024-01-02 05:00:00,14.3,14.66,14.25,14.38,110462
2024-01-03 05:00:00,14.45,14.56,13.99,14.03,123655
2024-01-04 05:00:00,14.03,14.12,13.92,13.92,69375
2024-01-05 05:00:00,14.17,14.19,13.88,13.91,149969
2024-01-08 05:00:00,13.91,13.99,13.73,13.87,58139
