Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,6.45,6.52,6.26,6.45,849890.0
2023-09-08 04:00:00,6.44,6.52,6.41,6.44,707038.0
2023-09-11 04:00:00,6.5,6.54,6.405,6.49,522497.0
2023-09-12 04:00:00,6.41,6.535,6.08,6.09,1000603.0
2023-09-13 04:00:00,6.17,6.26,5.99,6.04,1002410.0
2023-09-14 04:00:00,5.41,5.67,5.35,5.67,10615916.0
2023-09-15 04:00:00,5.67,5.71,5.56,5.69,2766139.0
2023-09-18 04:00:00,5.68,5.99,5.63,5.73,3359867.0
2023-09-19 04:00:00,5.7,5.74,5.47,5.5,1434412.0
2023-09-20 04:00:00,5.56,5.6,5.385,5.41,1268369.0
2023-09-21 04:00:00,5.37,5.495,5.33,5.34,1781619.0
2023-09-22 04:00:00,5.4,5.525,5.31,5.35,1343216.0
2023-09-25 04:00:00,5.3,5.38,5.22,5.29,1490763.0
2023-09-26 04:00:00,5.36,5.48,5.3,5.36,1707312.0
2023-09-27 04:00:00,5.44,5.5999,5.43,5.52,1855148.0
2023-09-28 04:00:00,5.5,5.51,5.235,5.27,2325705.0
2023-09-29 04:00:00,5.29,5.36,5.235,5.33,2238313.0
2023-10-02 04:00:00,5.33,5.35,5.055,5.09,1815483.0
2023-10-03 04:00:00,5.05,5.08,4.835,4.91,1873181.0
2023-10-04 04:00:00,5.0,5.075,4.98,5.05,1205863.0
2023-10-05 04:00:00,5.04,5.11,5.0,5.05,1391231.0
2023-10-06 04:00:00,5.0,5.27,5.0,5.22,1487619.0
2023-10-09 04:00:00,5.125,5.22,4.95,5.2,1262802.0
2023-10-10 04:00:00,5.21,5.5499,5.21,5.4,3010352.0
2023-10-11 04:00:00,5.44,5.5,5.14,5.19,1710987.0
2023-10-12 04:00:00,5.27,5.27,5.05,5.15,1318278.0
2023-10-13 04:00:00,5.13,5.17,4.98,5.03,1302290.0
2023-10-16 04:00:00,5.02,5.18,4.99,5.12,899569.0
2023-10-17 04:00:00,5.06,5.38,5.06,5.29,1023772.0
2023-10-18 04:00:00,5.26,5.275,5.11,5.17,1872781.0
2023-10-19 04:00:00,5.15,5.22,5.0,5.05,1891562.0
2023-10-20 04:00:00,5.04,5.065,4.925,5.0,1649589.0
2023-10-23 04:00:00,4.97,5.07,4.9,4.91,1015995.0
2023-10-24 04:00:00,4.93,5.24,4.92,5.23,1880358.0
2023-10-25 04:00:00,5.15,5.165,4.83,4.83,2137311.0
2023-10-26 04:00:00,4.84,5.02,4.8,4.88,2278217.0
2023-10-27 04:00:00,4.9,4.9,4.65,4.69,1860491.0
2023-10-30 04:00:00,4.7,4.78,4.67,4.78,1331246.0
2023-10-31 04:00:00,4.77,4.95,4.725,4.88,1265006.0
2023-11-01 04:00:00,4.65,4.8,4.62,4.74,1147953.0
2023-11-02 04:00:00,4.9,5.11,4.87,5.06,1683633.0
2023-11-03 04:00:00,5.17,5.3,5.11,5.3,1964181.0
2023-11-06 05:00:00,5.25,5.29,5.16,5.25,1175885.0
2023-11-07 05:00:00,5.25,5.565,5.215,5.4,2594299.0
2023-11-08 05:00:00,5.4,5.43,5.265,5.35,881246.0
2023-11-09 05:00:00,5.39,5.4,5.145,5.18,1449063.0
2023-11-10 05:00:00,5.14,5.32,5.06,5.27,2762151.0
2023-11-13 05:00:00,4.75,5.36,4.73,5.14,6680735.0
2023-11-14 05:00:00,5.25,5.41,4.9,4.96,3697500.0
2023-11-15 05:00:00,5.04,5.255,5.01,5.06,3106462.0
2023-11-16 05:00:00,5.03,5.07,4.975,4.99,2107821.0
2023-11-17 05:00:00,5.06,5.11,4.96,5.11,1517090.0
2023-11-20 05:00:00,5.16,5.45,5.13,5.33,1468282.0
2023-11-21 05:00:00,5.34,5.37,5.2,5.33,1791322.0
2023-11-22 05:00:00,5.4,5.515,5.33,5.37,1162023.0
2023-11-24 05:00:00,5.4,5.53,5.34,5.51,528151.0
2023-11-27 05:00:00,5.46,5.55,5.42,5.49,1560459.0
2023-11-28 05:00:00,5.46,5.64,5.38,5.51,1430678.0
2023-11-29 05:00:00,5.57,5.645,5.48,5.55,1221725.0
2023-11-30 05:00:00,5.56,5.6,5.49,5.55,1744863.0
2023-12-01 05:00:00,5.54,5.68,5.49,5.65,1388716.0
2023-12-04 05:00:00,5.65,5.74,5.515,5.56,1653433.0
2023-12-05 05:00:00,5.5,5.53,5.36,5.43,1443091.0
2023-12-06 05:00:00,5.45,5.55,5.4,5.4,1626972.0
2023-12-07 05:00:00,5.46,5.52,5.28,5.29,1560880.0
2023-12-08 05:00:00,5.31,5.42,5.24,5.38,1349520.0
2023-12-11 05:00:00,5.4,5.415,5.255,5.37,1226571.0
2023-12-12 05:00:00,5.38,5.425,5.245,5.41,1577717.0
2023-12-13 05:00:00,5.43,5.82,5.4,5.78,2487387.0
2023-12-14 05:00:00,5.9,6.12,5.86,5.95,2074375.0
2023-12-15 05:00:00,5.97,5.98,5.845,5.95,1703264.0
2023-12-18 05:00:00,5.92,6.115,5.87,5.94,2008826.0
