Date,Open,High,Low,Close,Volume
2024-09-16 04:00:00,3.0,3.0,2.5,2.68,208174.0
2024-09-17 04:00:00,2.6,2.6,2.3,2.33,85193.0
2024-09-18 04:00:00,2.31,2.43,2.26,2.39,42162.0
2024-09-19 04:00:00,3.0,3.0,2.45,2.52,777409.0
2024-09-20 04:00:00,2.52,2.69,2.3,2.33,103054.0
2024-09-23 04:00:00,2.49,2.64,2.3,2.49,47557.0
2024-09-24 04:00:00,2.43,2.84,2.38,2.6,174567.0
2024-09-25 04:00:00,2.69,2.695,2.31,2.31,81782.0
2024-09-26 04:00:00,2.45,2.75,2.3101,2.39,633292.0
2024-09-27 04:00:00,2.36,2.41,1.57,1.965,213260.0
2024-09-30 04:00:00,1.94,2.1,1.908,2.0,121055.0
2024-10-01 04:00:00,2.02,2.05,1.8,1.89,51696.0
2024-10-02 04:00:00,1.88,1.99,1.82,1.86,45858.0
2024-10-03 04:00:00,1.81,1.85,1.65,1.65,48914.0
2024-10-04 04:00:00,1.6,1.6,1.26,1.2701,133697.0
2024-10-07 04:00:00,1.23,1.45,1.23,1.34,30127.0
2024-10-08 04:00:00,1.48,1.54,1.36,1.5,28240.0
2024-10-09 04:00:00,1.47,1.5624,1.4201,1.494,28069.0
2024-10-10 04:00:00,1.56,1.61,1.42,1.5733,59445.0
2024-10-11 04:00:00,1.51,1.6367,1.45,1.55,43026.0
2024-10-14 04:00:00,1.56,1.56,1.25,1.25,52662.0
2024-10-15 04:00:00,1.28,1.4999,1.28,1.49,84865.0
2024-10-16 04:00:00,1.45,1.52,1.41,1.46,21023.0
2024-10-17 04:00:00,1.39,1.473,1.31,1.4272,15318.0
2024-10-18 04:00:00,1.45,1.47,1.4,1.435,13353.0
2024-10-21 04:00:00,1.46,1.46,1.22,1.28,21275.0
2024-10-22 04:00:00,1.25,1.5999,1.25,1.45,118974.0
2024-10-23 04:00:00,1.56,1.7028,1.4556,1.6,50486.0
2024-10-24 04:00:00,1.7,1.85,1.4901,1.75,81756.0
2024-10-25 04:00:00,1.89,2.4782,1.8,2.09,247902.0
2024-10-28 04:00:00,2.01,2.3,2.0,2.0,82747.0
2024-10-29 04:00:00,2.08,2.3,2.0,2.16,38283.0
2024-10-30 04:00:00,2.19,2.2547,2.01,2.21,59198.0
2024-10-31 04:00:00,2.33,2.33,2.0801,2.25,13456.0
2024-11-01 04:00:00,2.25,2.8,2.11,2.68,84311.0
2024-11-04 05:00:00,2.75,2.75,2.3999,2.72,57779.0
2024-11-05 05:00:00,2.72,2.72,2.51,2.7,15422.0
2024-11-06 05:00:00,2.95,2.95,2.4,2.599,85555.0
2024-11-07 05:00:00,2.54,2.8193,2.54,2.7892,46412.0
2024-11-08 05:00:00,2.717,3.14,2.67,2.9,119156.0
2024-11-11 05:00:00,3.2,3.2,2.5,2.63,81735.0
2024-11-12 05:00:00,2.55,3.09,2.5001,2.8351,32986.0
2024-11-13 05:00:00,2.65,2.85,2.55,2.81,29534.0
2024-11-14 05:00:00,2.8,2.85,2.49,2.51,18274.0
2024-11-15 05:00:00,2.54,2.99,2.53,2.9899,79055.0
2024-11-18 05:00:00,3.15,3.25,2.91,3.0403,214367.0
2024-11-19 05:00:00,2.64,3.06,2.2861,2.51,100653.0
2024-11-20 05:00:00,2.52,2.86,2.4,2.65,53756.0
2024-11-21 05:00:00,2.83,2.83,2.3929,2.62,28499.0
2024-11-22 05:00:00,2.45,2.88,2.01,2.61,29738.0
2024-11-25 05:00:00,2.53,2.88,2.1,2.6989,29348.0
2024-11-26 05:00:00,2.66,2.83,2.4961,2.73,26844.0
2024-11-27 05:00:00,2.75,2.75,2.6001,2.75,6232.0
2024-11-29 05:00:00,2.83,2.95,2.6619,2.92,12145.0
2024-12-02 05:00:00,2.89,2.94,2.3,2.53,77774.0
2024-12-03 05:00:00,2.45,2.6399,2.1,2.3,51536.0
2024-12-04 05:00:00,2.16,2.69,2.16,2.39,22934.0
2024-12-05 05:00:00,2.35,2.385,2.15,2.28,13031.0
2024-12-06 05:00:00,2.16,2.38,2.08,2.14,24179.0
2024-12-09 05:00:00,2.08,2.18,1.58,2.18,34453.0
2024-12-10 05:00:00,2.19,2.44,1.89,2.37,26812.0
2024-12-11 05:00:00,2.34,2.45,2.0801,2.12,17763.0
2024-12-12 05:00:00,2.16,2.45,2.13,2.15,12511.0
2024-12-13 05:00:00,2.26,2.33,1.89,1.89,16911.0
2024-12-16 05:00:00,2.28,2.44,1.77,2.32,35492.0
2024-12-17 05:00:00,2.24,2.39,1.895,2.26,31824.0
2024-12-18 05:00:00,2.19,2.4,1.41,1.47,118460.0
2024-12-19 05:00:00,1.47,1.7,1.47,1.67,50958.0
2024-12-20 05:00:00,1.62,1.62,1.16,1.16,66240.0
2024-12-23 05:00:00,1.48,1.6404,1.39,1.44,74031.0
2024-12-24 05:00:00,1.44,1.52,1.35,1.43,12152.0
2024-12-26 05:00:00,1.41,1.64,1.2959,1.6,17390.0
2024-12-27 05:00:00,1.53,1.8264,1.43,1.4394,39787.0
2024-12-30 05:00:00,1.66,1.66,1.36,1.5,18280.0
2024-12-31 05:00:00,1.65,1.6769,1.37,1.45,14025.0
2025-01-02 05:00:00,1.56,1.68,1.5,1.54,18623.0
2025-01-03 05:00:00,1.56,1.9196,1.55,1.73,32842.0
2025-01-06 05:00:00,2.1,2.16,1.83,1.93,49344.0
2025-01-07 05:00:00,1.96,2.15,1.801,1.85,33343.0
2025-01-08 05:00:00,2.02,2.1157,1.8,1.8,10396.0
2025-01-10 05:00:00,1.78,1.85,1.6,1.6,6748.0
2025-01-13 05:00:00,1.61,1.85,1.61,1.78,11427.0
2025-01-14 05:00:00,1.7701,1.7701,1.536,1.6568,8185.0
2025-01-15 05:00:00,1.5001,1.67,1.5001,1.63,13607.0
2025-01-16 05:00:00,1.79,1.8488,1.61,1.61,5570.0
2025-01-17 05:00:00,1.69,1.8795,1.49,1.5599,34938.0
2025-01-21 05:00:00,1.5372,1.71,1.45,1.48,19938.0
2025-01-22 05:00:00,1.5089,1.6509,1.5,1.56,8962.0
2025-01-23 05:00:00,1.6,1.6,1.48,1.57,26002.0
2025-01-24 05:00:00,1.58,1.7846,1.5014,1.769,17077.0
2025-01-27 05:00:00,2.18,2.18,1.5901,1.79,24265.0
2025-01-28 05:00:00,1.71,1.77,1.68,1.7,10505.0
