Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,35.0,35.69,31.2401,35.58,1287375.0
2023-09-08 04:00:00,35.46,36.09,34.68,35.36,446019.0
2023-09-11 04:00:00,35.27,35.6499,34.75,34.78,471802.0
2023-09-12 04:00:00,34.27,35.45,34.1931,35.01,349994.0
2023-09-13 04:00:00,34.91,35.49,34.45,35.41,461404.0
2023-09-14 04:00:00,35.15,36.28,35.15,35.97,411138.0
2023-09-15 04:00:00,35.97,36.03,34.54,35.38,1589219.0
2023-09-18 04:00:00,35.11,36.2,35.1,35.45,423785.0
2023-09-19 04:00:00,35.38,35.82,35.08,35.23,458578.0
2023-09-20 04:00:00,35.26,35.26,31.4,32.0,682005.0
2023-09-21 04:00:00,31.7,32.42,31.58,31.68,394242.0
2023-09-22 04:00:00,31.88,31.89,31.05,31.1,330327.0
2023-09-25 04:00:00,31.0,31.7,30.5817,31.3,360066.0
2023-09-26 04:00:00,31.14,32.16,30.93,32.0,502855.0
2023-09-27 04:00:00,32.29,32.91,32.1601,32.66,559351.0
2023-09-28 04:00:00,32.66,33.25,32.21,33.21,512448.0
2023-09-29 04:00:00,33.56,33.97,33.05,33.52,437773.0
2023-10-02 04:00:00,33.52,33.7,32.79,33.3,452437.0
2023-10-03 04:00:00,33.24,33.95,32.93,33.84,441848.0
2023-10-04 04:00:00,33.82,35.04,33.74,34.9,357870.0
2023-10-05 04:00:00,34.89,35.44,34.71,35.09,400422.0
2023-10-06 04:00:00,34.59,36.41,34.46,36.1,321626.0
2023-10-09 04:00:00,35.69,36.59,35.21,36.58,263295.0
2023-10-10 04:00:00,36.58,37.325,35.79,35.82,290284.0
2023-10-11 04:00:00,35.91,36.36,35.51,36.19,250871.0
2023-10-12 04:00:00,36.11,36.79,35.13,35.24,210159.0
2023-10-13 04:00:00,35.23,35.23,33.71,34.34,270282.0
2023-10-16 04:00:00,34.77,36.11,34.4301,35.86,235127.0
2023-10-17 04:00:00,35.7,35.95,35.445,35.84,339555.0
2023-10-18 04:00:00,35.96,37.06,35.8075,36.62,358155.0
2023-10-19 04:00:00,36.63,36.75,35.715,35.745,314888.0
2023-10-20 04:00:00,35.8,35.8,33.97,34.03,320044.0
2023-10-23 04:00:00,33.81,34.83,33.44,34.66,255042.0
2023-10-24 04:00:00,35.05,36.13,34.64,36.1,327639.0
2023-10-25 04:00:00,35.88,36.27,35.25,35.85,356223.0
2023-10-26 04:00:00,35.98,36.2,33.28,34.4,487406.0
2023-10-27 04:00:00,34.66,34.68,32.99,33.21,225829.0
2023-10-30 04:00:00,33.46,34.08,33.0,33.96,242206.0
2023-10-31 04:00:00,34.0,34.48,33.39,34.2,282522.0
2023-11-01 04:00:00,34.15,34.15,32.47,33.59,294480.0
2023-11-02 04:00:00,34.04,34.8,33.4,33.69,217601.0
2023-11-03 04:00:00,34.15,35.21,33.9599,35.19,380957.0
2023-11-06 05:00:00,35.06,35.12,34.1,34.14,295604.0
2023-11-07 05:00:00,35.11,36.82,34.71,35.2,448641.0
2023-11-08 05:00:00,35.23,39.3225,35.13,39.09,856517.0
2023-11-09 05:00:00,39.5,39.5,37.32,37.43,395977.0
2023-11-10 05:00:00,37.99,38.95,37.44,38.66,557474.0
2023-11-13 05:00:00,39.19,39.64,37.87,39.55,584080.0
2023-11-14 05:00:00,39.96,41.09,39.53,40.78,607777.0
2023-11-15 05:00:00,38.97,39.13,37.85,38.74,2409939.0
2023-11-16 05:00:00,38.54,39.22,38.18,39.07,485218.0
2023-11-17 05:00:00,39.24,39.814,37.71,38.4,577158.0
2023-11-20 05:00:00,38.06,39.29,38.06,38.74,771945.0
2023-11-21 05:00:00,38.38,38.745,37.92,38.04,454545.0
2023-11-22 05:00:00,38.11,38.93,37.52,38.2,590064.0
2023-11-24 05:00:00,38.04,38.98,38.04,38.66,132597.0
2023-11-27 05:00:00,38.56,38.95,37.945,38.5,461559.0
2023-11-28 05:00:00,38.43,38.61,37.62,37.75,495687.0
2023-11-29 05:00:00,38.01,39.03,37.2,38.0,478550.0
2023-11-30 05:00:00,38.0,38.46,37.01,37.5,510978.0
2023-12-01 05:00:00,37.17,37.71,36.8,37.61,501026.0
2023-12-04 05:00:00,37.25,37.63,36.55,37.54,1053704.0
2023-12-05 05:00:00,37.36,38.82,37.25,38.69,661349.0
2023-12-06 05:00:00,38.69,39.0,37.37,37.37,299022.0
2023-12-07 05:00:00,37.25,37.34,35.83,36.18,259473.0
2023-12-08 05:00:00,36.01,36.32,35.41,36.0,473122.0
2023-12-11 05:00:00,35.66,37.275,35.33,36.7,548531.0
2023-12-12 05:00:00,36.83,37.12,36.4,37.03,468088.0
2023-12-13 05:00:00,37.06,37.59,36.53,37.56,559039.0
2023-12-14 05:00:00,38.0,38.61,36.93,37.69,664158.0
2023-12-15 05:00:00,38.06,38.66,37.455,38.35,1714993.0
2023-12-18 05:00:00,38.13,39.4566,37.965,39.32,575853.0
2023-12-19 05:00:00,39.44,40.57,39.22,40.5,698919.0
