Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,83.78,84.32,81.29,82.22,544945
2023-09-08 04:00:00,82.29,82.4937,81.41,81.79,152954
2023-09-11 04:00:00,81.99,83.32,81.97,82.15,114236
2023-09-12 04:00:00,81.71,82.15,79.345,79.65,281189
2023-09-13 04:00:00,79.74,80.75,79.36,80.07,182365
2023-09-14 04:00:00,80.78,81.535,80.54,80.54,89201
2023-09-15 04:00:00,80.66,80.9284,79.16,79.7,126601
2023-09-18 04:00:00,80.06,80.33,79.19,79.75,119075
2023-09-19 04:00:00,80.13,81.81,79.92,81.5,122675
2023-09-20 04:00:00,82.3,82.35,81.34,81.37,67898
2023-09-21 04:00:00,80.79,80.95,79.07,79.27,189511
2023-09-22 04:00:00,79.89,79.99,79.01,79.02,75882
2023-09-25 04:00:00,79.0,79.0,78.01,78.21,79502
2023-09-26 04:00:00,77.75,78.08,76.73,76.82,142190
2023-09-27 04:00:00,76.72,77.03,75.19,75.75,188654
2023-09-28 04:00:00,75.97,78.73,75.67,78.5,177065
2023-09-29 04:00:00,79.13,79.81,77.77,78.44,118444
2023-10-02 04:00:00,78.07,78.07,76.5,77.74,128324
2023-10-03 04:00:00,77.64,78.14,75.87,76.3,133094
2023-10-04 04:00:00,76.33,76.4,75.16,76.24,145591
2023-10-05 04:00:00,76.04,76.34,74.81,75.73,150470
2023-10-06 04:00:00,75.25,75.5,74.23,74.69,189326
2023-10-09 04:00:00,73.91,74.78,73.5,74.43,119173
2023-10-10 04:00:00,74.7,76.815,74.37,76.45,235648
2023-10-11 04:00:00,76.72,76.78,75.2,76.23,141067
2023-10-12 04:00:00,76.57,76.57,74.17,75.65,168208
2023-10-13 04:00:00,75.65,75.85,73.05,73.55,211470
2023-10-16 04:00:00,73.71,74.9899,73.42,74.9,178503
2023-10-17 04:00:00,74.42,75.2699,74.42,74.97,149162
2023-10-18 04:00:00,74.79,74.79,72.45,72.57,167449
2023-10-19 04:00:00,72.38,72.48,70.77,70.78,274917
2023-10-20 04:00:00,70.3,70.81,69.45,69.61,168245
2023-10-23 04:00:00,69.84,71.76,69.335,71.45,143309
2023-10-24 04:00:00,71.64,73.78,71.63,73.21,286837
2023-10-25 04:00:00,72.4,73.76,71.1,73.57,256041
2023-10-26 04:00:00,74.0,76.76,73.95,75.99,213174
2023-10-27 04:00:00,75.93,77.73,74.83,75.4,130511
2023-10-30 04:00:00,76.52,78.14,76.52,77.59,186718
2023-10-31 04:00:00,76.52,76.62,75.42,76.02,126798
2023-11-01 04:00:00,75.82,77.45,75.82,76.79,105143
2023-11-02 04:00:00,77.36,78.48,76.7401,78.2,90491
2023-11-03 04:00:00,78.86,81.935,78.78,81.55,259132
2023-11-06 05:00:00,81.3,82.26,81.01,82.04,115512
2023-11-07 05:00:00,82.22,82.85,81.76,82.56,108556
2023-11-08 05:00:00,83.96,83.96,82.79,82.88,178242
2023-11-09 05:00:00,83.18,83.46,82.1493,82.31,134219
2023-11-10 05:00:00,82.5,82.8,80.91,82.49,128125
2023-11-13 05:00:00,82.45,84.1,82.0485,83.27,124261
2023-11-14 05:00:00,84.36,85.16,83.535,85.04,117263
2023-11-15 05:00:00,84.65,84.925,83.72,84.11,133183
2023-11-16 05:00:00,83.56,84.92,83.4,84.92,110698
2023-11-17 05:00:00,84.92,84.98,84.1,84.38,75880
2023-11-20 05:00:00,84.59,85.55,83.85,85.31,52209
2023-11-21 05:00:00,85.42,85.74,84.14,85.01,101356
2023-11-22 05:00:00,85.41,85.91,85.0,85.4,80695
