Date,Open,High,Low,Close,Volume
2025-07-07 04:00:00,4.0,4.0,3.32,3.69,1547626.0
2025-07-08 04:00:00,2.81,2.97,2.55,2.9,1812101.0
2025-07-09 04:00:00,2.72,3.1,2.39,2.88,1284116.0
2025-07-10 04:00:00,2.75,3.47,2.7208,3.31,2370820.0
2025-07-11 04:00:00,3.21,3.47,3.15,3.37,1712376.0
2025-07-14 04:00:00,3.28,3.48,3.03,3.06,1786643.0
2025-07-15 04:00:00,3.09,3.315,2.75,2.76,1660923.0
2025-07-16 04:00:00,2.85,3.0,2.28,2.48,2253281.0
2025-07-17 04:00:00,2.47,2.65,2.41,2.47,1918052.0
2025-07-18 04:00:00,2.46,2.54,2.3213,2.53,545694.0
2025-07-21 04:00:00,2.51,3.134,2.44,2.85,1399469.0
2025-07-22 04:00:00,2.83,2.95,2.5301,2.68,435371.0
2025-07-23 04:00:00,2.72,2.72,2.5515,2.58,238399.0
2025-07-24 04:00:00,2.63,2.88,2.556,2.71,357922.0
2025-07-25 04:00:00,2.63,2.8,2.63,2.69,291138.0
2025-07-28 04:00:00,2.6501,2.718,2.3,2.52,59898.0
2025-07-29 04:00:00,2.53,2.67,2.4413,2.6,248518.0
2025-07-30 04:00:00,2.6,3.15,2.49,3.0,495724.0
2025-07-31 04:00:00,3.03,3.03,2.67,2.73,188008.0
2025-08-01 04:00:00,2.6501,2.7093,2.574,2.66,46517.0
2025-08-04 04:00:00,2.56,2.66,2.53,2.56,134198.0
2025-08-05 04:00:00,2.51,2.63,2.48,2.52,124570.0
2025-08-06 04:00:00,2.57,2.6,2.5,2.53,32457.0
2025-08-07 04:00:00,2.53,2.59,2.42,2.59,61804.0
2025-08-08 04:00:00,2.58,2.66,2.3501,2.47,22563.0
2025-08-11 04:00:00,2.43,2.47,2.34,2.36,51214.0
2025-08-12 04:00:00,2.47,2.47,1.9,1.99,412999.0
2025-08-13 04:00:00,1.96,2.05,1.865,1.97,205443.0
2025-08-14 04:00:00,1.96,2.04,1.93,2.02,44514.0
2025-08-15 04:00:00,1.98,2.35,1.98,2.34,160926.0
2025-08-18 04:00:00,2.4,2.75,2.285,2.48,236391.0
2025-08-19 04:00:00,2.57,2.57,2.145,2.25,173528.0
2025-08-20 04:00:00,2.32,2.32,2.12,2.25,35700.0
2025-08-21 04:00:00,2.19,2.26,2.0593,2.1,17921.0
2025-08-22 04:00:00,2.23,2.23,2.06,2.11,17205.0
2025-08-25 04:00:00,2.1,2.2292,2.01,2.16,34236.0
2025-08-26 04:00:00,2.085,2.2,2.04,2.15,21644.0
2025-08-27 04:00:00,2.1392,2.275,2.04,2.15,45245.0
2025-08-28 04:00:00,2.12,2.28,2.1,2.18,17614.0
2025-08-29 04:00:00,2.2799,2.2799,2.1,2.16,5647.0
2025-09-02 04:00:00,2.1,2.1999,2.09,2.16,15183.0
2025-09-03 04:00:00,2.0842,2.3,2.0842,2.18,10401.0
2025-09-04 04:00:00,2.06,2.19,2.041,2.14,12245.0
2025-09-05 04:00:00,2.03,2.24,2.01,2.015,76573.0
