Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,6.51,7.09,6.36,6.78,232798.0
2023-09-08 04:00:00,6.79,6.79,6.4,6.41,220885.0
2023-09-11 04:00:00,6.41,6.53,6.38,6.47,117646.0
2023-09-12 04:00:00,6.45,6.5,6.22,6.34,106148.0
2023-09-13 04:00:00,6.37,6.58,6.26,6.41,69819.0
2023-09-14 04:00:00,6.41,6.67,6.31,6.6,99999.0
2023-09-15 04:00:00,6.59,6.59,6.28,6.36,193647.0
2023-09-18 04:00:00,6.34,6.34,6.12,6.12,181897.0
2023-09-19 04:00:00,6.1,6.22,6.1,6.16,117949.0
2023-09-20 04:00:00,6.2,6.33,6.03,6.04,133415.0
2023-09-21 04:00:00,6.0,6.14,5.95,6.0,167204.0
2023-09-22 04:00:00,6.09,6.25,6.0,6.04,114549.0
2023-09-25 04:00:00,6.0,6.11,5.92,6.05,102528.0
2023-09-26 04:00:00,5.99,6.17,5.84,6.1,196138.0
2023-09-27 04:00:00,6.16,6.69,6.15,6.48,228155.0
2023-09-28 04:00:00,6.47,6.64,6.25,6.42,123085.0
2023-09-29 04:00:00,6.51,6.77,6.51,6.66,130274.0
2023-10-02 04:00:00,6.6,6.66,6.29,6.37,173716.0
2023-10-03 04:00:00,6.31,6.4,6.04,6.16,148068.0
2023-10-04 04:00:00,6.13,6.285,6.0,6.25,114517.0
2023-10-05 04:00:00,6.36,6.36,6.136,6.23,74069.0
2023-10-06 04:00:00,6.13,6.27,5.73,5.97,184505.0
2023-10-09 04:00:00,5.9,6.13,5.71,5.85,119829.0
2023-10-10 04:00:00,5.82,6.18,5.81,5.87,177619.0
2023-10-11 04:00:00,5.86,6.235,5.83,6.17,147898.0
2023-10-12 04:00:00,6.2,6.2,5.5,5.54,137038.0
2023-10-13 04:00:00,5.55,5.66,5.5,5.63,99162.0
2023-10-16 04:00:00,5.61,5.99,5.55,5.94,104092.0
2023-10-17 04:00:00,5.89,6.14,5.79,5.88,132370.0
2023-10-18 04:00:00,5.8,5.8,5.5,5.65,118909.0
2023-10-19 04:00:00,5.61,5.7,5.56,5.58,81240.0
2023-10-20 04:00:00,5.58,5.77,5.495,5.62,119990.0
2023-10-23 04:00:00,5.58,5.75,5.43,5.53,125699.0
2023-10-24 04:00:00,5.54,6.02,5.5,5.52,154910.0
2023-10-25 04:00:00,5.55,6.0,5.3,5.43,216475.0
2023-10-26 04:00:00,5.43,5.765,5.14,5.24,101174.0
2023-10-27 04:00:00,5.28,5.29,4.98,5.14,82716.0
2023-10-30 04:00:00,5.11,5.53,4.97,5.25,175073.0
2023-10-31 04:00:00,5.14,5.95,5.14,5.93,180190.0
2023-11-01 04:00:00,5.93,6.31,5.65,6.17,402946.0
2023-11-02 04:00:00,6.17,6.42,5.86,6.3,255206.0
2023-11-03 04:00:00,6.35,6.93,6.35,6.58,258395.0
2023-11-06 05:00:00,6.67,6.67,5.695,5.91,244855.0
2023-11-07 05:00:00,6.15,6.63,5.8655,6.155,168276.0
2023-11-08 05:00:00,6.18,6.215,5.57,5.62,116412.0
2023-11-09 05:00:00,5.73,5.73,4.85,4.955,154876.0
2023-11-10 05:00:00,5.03,5.32,4.92,5.25,154858.0
2023-11-13 05:00:00,5.18,5.78,5.08,5.65,131351.0
2023-11-14 05:00:00,6.05,6.75,5.91,6.73,277819.0
2023-11-15 05:00:00,6.75,7.0,6.49,6.49,164875.0
2023-11-16 05:00:00,6.44,6.5,5.97,6.13,137860.0
2023-11-17 05:00:00,6.22,6.9,6.06,6.83,234281.0
2023-11-20 05:00:00,6.8,6.99,6.57,6.7,108484.0
2023-11-21 05:00:00,6.71,6.71,6.43,6.55,83200.0
2023-11-22 05:00:00,6.59,6.98,6.59,6.94,82121.0
2023-11-24 05:00:00,6.86,7.07,6.78,7.03,43838.0
2023-11-27 05:00:00,7.03,7.04,6.7209,6.85,70934.0
2023-11-28 05:00:00,6.8,7.35,6.7001,7.19,100432.0
2023-11-29 05:00:00,7.26,7.88,7.16,7.76,230235.0
2023-11-30 05:00:00,7.89,8.32,7.37,7.96,169133.0
2023-12-01 05:00:00,7.89,8.11,7.41,7.7,236291.0
2023-12-04 05:00:00,7.66,8.36,7.32,8.2,138893.0
2023-12-05 05:00:00,8.06,8.06,7.11,7.15,126489.0
2023-12-06 05:00:00,7.16,7.53,7.05,7.38,65055.0
2023-12-07 05:00:00,7.48,7.55,7.19,7.27,54682.0
2023-12-08 05:00:00,7.25,7.32,6.89,6.97,92025.0
2023-12-11 05:00:00,6.96,6.96,6.51,6.82,122367.0
2023-12-12 05:00:00,6.78,6.91,6.52,6.81,128128.0
2023-12-13 05:00:00,6.82,7.12,6.56,6.93,226461.0
2023-12-14 05:00:00,7.12,7.83,7.01,7.76,274030.0
2023-12-15 05:00:00,7.87,8.5,7.64,7.95,583371.0
2023-12-18 05:00:00,7.99,8.51,7.43,7.65,137146.0
2023-12-19 05:00:00,7.81,9.1,7.68,8.99,293134.0
2023-12-20 05:00:00,9.01,9.19,8.665,8.69,153041.0
