Date,Open,High,Low,Close,Volume
2023-10-17 04:00:00,20.5,22.82,19.75,21.34,15487560.0
2023-10-18 04:00:00,20.7,21.43,20.4,21.31,3327468.0
2023-10-19 04:00:00,21.81,23.66,21.5,22.1,2352922.0
2023-10-20 04:00:00,22.0,22.995,21.385,22.7,2591481.0
2023-10-23 04:00:00,23.27,23.91,22.08,22.16,1758523.0
2023-10-24 04:00:00,22.11,24.41,22.11,23.58,2376149.0
2023-10-25 04:00:00,23.41,24.38,21.6,22.01,1251978.0
2023-10-26 04:00:00,22.2,22.97,21.49,22.26,1245474.0
2023-10-27 04:00:00,21.37,23.15,21.37,22.46,1484657.0
2023-10-30 04:00:00,22.65,23.51,21.75,22.05,919297.0
2023-10-31 04:00:00,22.19,23.19,22.04,22.06,347337.0
2023-11-01 04:00:00,21.87,22.52,21.53,22.09,833933.0
2023-11-02 04:00:00,22.47,23.13,22.29,23.12,703199.0
2023-11-03 04:00:00,23.4,23.95,22.63,23.42,552198.0
2023-11-06 05:00:00,23.12,24.91,23.12,24.55,829129.0
2023-11-07 05:00:00,24.42,24.7,23.69,24.15,697502.0
2023-11-08 05:00:00,23.91,24.46,23.54,23.93,395740.0
2023-11-09 05:00:00,23.59,24.11,22.97,23.13,635266.0
2023-11-10 05:00:00,23.14,23.75,23.14,23.49,519904.0
2023-11-13 05:00:00,23.22,24.77,22.97,24.4,651722.0
2023-11-14 05:00:00,24.7,25.18,24.15,24.32,809130.0
2023-11-15 05:00:00,23.96,25.15,23.21,24.8,702628.0
2023-11-16 05:00:00,24.37,24.93,23.06,23.08,636039.0
2023-11-17 05:00:00,22.48,23.28,22.305,22.44,931807.0
2023-11-20 05:00:00,22.35,22.63,21.77,22.15,917678.0
2023-11-21 05:00:00,21.79,23.45,21.67,22.73,622285.0
2023-11-22 05:00:00,22.7,23.11,22.39,22.83,359218.0
2023-11-24 05:00:00,22.65,23.66,22.65,23.3,136438.0
2023-11-27 05:00:00,22.83,23.47,22.6,23.34,506748.0
2023-11-28 05:00:00,23.15,23.84,22.96,23.24,304214.0
2023-11-29 05:00:00,23.17,23.41,21.855,22.45,663627.0
2023-11-30 05:00:00,22.56,22.72,21.79,22.21,555992.0
2023-12-01 05:00:00,22.0,22.65,21.695,22.38,365887.0
2023-12-04 05:00:00,22.17,22.7,21.75,22.31,432172.0
2023-12-05 05:00:00,22.27,22.63,22.11,22.63,431132.0
2023-12-06 05:00:00,22.68,23.225,22.12,22.25,342601.0
2023-12-07 05:00:00,22.16,22.3,21.57,21.86,459343.0
2023-12-08 05:00:00,21.73,22.0,21.29,21.88,479396.0
2023-12-11 05:00:00,21.94,22.0,21.4415,21.57,557235.0
2023-12-12 05:00:00,21.55,21.92,21.23,21.91,439768.0
2023-12-13 05:00:00,21.6,22.05,21.37,21.92,623803.0
2023-12-14 05:00:00,21.56,22.8,21.56,22.11,667079.0
2023-12-15 05:00:00,22.28,22.9,21.96,22.82,2169610.0
2023-12-18 05:00:00,22.8,23.77,22.5594,23.7,481094.0
2023-12-19 05:00:00,23.56,24.22,23.35,24.0,448023.0
2023-12-20 05:00:00,24.29,24.66,23.6709,23.9,465780.0
2023-12-21 05:00:00,24.06,24.91,23.69,24.86,283748.0
2023-12-22 05:00:00,24.99,25.46,24.743,25.42,308787.0
2023-12-26 05:00:00,25.4,25.49,24.64,24.7,214795.0
2023-12-27 05:00:00,24.74,24.86,24.21,24.44,231809.0
2023-12-28 05:00:00,24.29,24.46,24.012,24.45,186434.0
2023-12-29 05:00:00,24.24,24.38,23.65,24.29,320527.0
2024-01-02 05:00:00,23.98,24.44,23.61,23.74,276237.0
2024-01-03 05:00:00,23.46,23.6,22.55,22.66,377944.0
2024-01-04 05:00:00,22.34,22.69,22.03,22.24,401246.0
2024-01-05 05:00:00,22.17,23.375,22.02,23.31,510734.0
2024-01-08 05:00:00,23.23,23.46,22.845,23.11,381692.0
2024-01-09 05:00:00,23.0,23.075,22.63,22.64,304731.0
2024-01-10 05:00:00,22.48,22.81,22.11,22.66,251663.0
2024-01-11 05:00:00,22.81,22.87,22.28,22.28,620808.0
2024-01-12 05:00:00,22.3,22.515,21.75,22.15,601791.0
2024-01-16 05:00:00,21.85,22.3,21.69,21.99,617790.0
2024-01-17 05:00:00,21.86,21.86,21.09,21.53,961871.0
2024-01-18 05:00:00,21.71,21.96,21.33,21.94,511144.0
2024-01-19 05:00:00,22.47,22.47,21.72,22.06,316876.0
2024-01-22 05:00:00,22.08,22.74,22.06,22.53,339041.0
2024-01-23 05:00:00,22.59,22.8,22.35,22.63,278313.0
2024-01-24 05:00:00,22.71,22.71,21.88,21.97,344160.0
2024-01-25 05:00:00,22.09,22.29,21.595,22.28,324105.0
2024-01-26 05:00:00,22.32,22.66,21.86,22.65,262748.0
2024-01-29 05:00:00,22.66,22.95,22.25,22.86,224540.0
2024-01-30 05:00:00,22.83,23.26,22.81,22.95,407009.0
2024-01-31 05:00:00,22.83,23.07,22.36,22.39,357304.0
2024-02-01 05:00:00,22.43,22.89,22.0,22.17,328507.0
2024-02-02 05:00:00,22.6,22.67,21.95,22.02,376822.0
2024-02-05 05:00:00,21.81,21.904,21.5,21.89,514348.0
2024-02-06 05:00:00,21.91,22.05,21.63,21.78,447903.0
2024-02-07 05:00:00,21.78,22.02,21.48,21.91,161384.0
2024-02-08 05:00:00,22.09,22.76,21.85,22.75,276716.0
2024-02-09 05:00:00,22.71,23.42,22.64,23.4,278745.0
2024-02-12 05:00:00,23.53,23.99,23.53,23.63,288388.0
2024-02-13 05:00:00,23.18,23.46,22.57,22.75,406923.0
2024-02-14 05:00:00,22.52,23.4,19.66,21.58,1281542.0
2024-02-15 05:00:00,21.93,22.22,21.61,21.85,840409.0
2024-02-16 05:00:00,21.57,22.48,21.34,21.9,484212.0
2024-02-20 05:00:00,21.57,21.9,21.355,21.52,407887.0
2024-02-21 05:00:00,21.4,21.51,20.37,20.64,390626.0
2024-02-22 05:00:00,20.55,20.83,20.33,20.7,430332.0
2024-02-23 05:00:00,20.8,21.46,20.705,21.07,316149.0
2024-02-26 05:00:00,20.93,21.45,20.64,21.19,486031.0
2024-02-27 05:00:00,21.23,21.33,20.58,20.95,554501.0
