Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,6.43,6.4308,6.29,6.34,18628
2023-09-08 04:00:00,6.35,6.4599,6.3109,6.39,31131
2023-09-11 04:00:00,6.4,6.4,6.296,6.3,31072
2023-09-12 04:00:00,6.32,6.42,6.32,6.39,20978
2023-09-13 04:00:00,6.5,6.52,6.4,6.48,43396
2023-09-14 04:00:00,6.47,6.65,6.4153,6.61,41142
2023-09-15 04:00:00,6.63,6.7199,6.55,6.61,45749
2023-09-18 04:00:00,6.74,6.87,6.6,6.81,70846
2023-09-19 04:00:00,6.95,6.955,6.62,6.74,39083
2023-09-20 04:00:00,6.65,6.75,6.6201,6.67,9491
2023-09-21 04:00:00,6.69,6.745,6.6,6.6,25906
2023-09-22 04:00:00,6.69,6.75,6.6,6.7,27766
2023-09-25 04:00:00,6.83,6.9299,6.6,6.83,40933
2023-09-26 04:00:00,6.87,6.9,6.7,6.8,43377
2023-09-27 04:00:00,6.81,6.9,6.75,6.88,42138
2023-09-28 04:00:00,6.86,6.9899,6.83,6.89,35157
2023-09-29 04:00:00,6.85,6.9056,6.56,6.62,53778
2023-10-02 04:00:00,6.61,6.6337,6.2,6.2,112410
2023-10-03 04:00:00,6.2,6.25,6.05,6.15,37150
2023-10-04 04:00:00,6.15,6.16,5.39,5.67,130565
2023-10-05 04:00:00,5.66,5.69,5.21,5.32,93635
2023-10-06 04:00:00,5.31,5.5099,4.8,5.26,151128
2023-10-09 04:00:00,5.4,5.85,5.29,5.75,79144
2023-10-10 04:00:00,5.79,5.89,5.6336,5.77,28390
2023-10-11 04:00:00,5.76,5.81,5.5,5.79,50711
2023-10-12 04:00:00,5.86,5.9,5.76,5.76,21165
2023-10-13 04:00:00,5.76,5.94,5.7465,5.94,48407
2023-10-16 04:00:00,5.85,6.05,5.84,5.95,37022
2023-10-17 04:00:00,5.95,6.07,5.91,6.01,22621
2023-10-18 04:00:00,6.14,6.2,5.95,6.13,44715
2023-10-19 04:00:00,6.05,6.18,6.03,6.18,27158
2023-10-20 04:00:00,6.12,6.1633,6.0,6.1,16381
2023-10-23 04:00:00,6.12,6.28,6.01,6.2,34662
2023-10-24 04:00:00,6.15,6.36,6.04,6.28,36390
2023-10-25 04:00:00,6.15,6.2899,6.0,6.05,17011
2023-10-26 04:00:00,6.01,6.03,5.58,5.58,49257
2023-10-27 04:00:00,5.65,5.81,5.47,5.48,24505
2023-10-30 04:00:00,5.48,5.75,5.28,5.3223,21827
2023-10-31 04:00:00,5.21,5.31,4.9,4.95,83969
2023-11-01 04:00:00,5.0,5.2741,5.0,5.1,28393
2023-11-02 04:00:00,5.1,5.37,5.09,5.32,23830
2023-11-03 04:00:00,5.48,5.48,5.32,5.39,61328
2023-11-06 05:00:00,5.38,5.46,5.2701,5.35,12776
2023-11-07 05:00:00,5.34,5.38,5.19,5.23,14325
2023-11-08 05:00:00,5.25,5.25,5.05,5.05,19455
2023-11-09 05:00:00,5.05,5.23,4.98,5.2,33315
2023-11-10 05:00:00,5.15,5.38,5.15,5.27,12623
2023-11-13 05:00:00,5.2,5.449,5.2,5.37,36160
2023-11-14 05:00:00,5.5,5.5,5.03,5.16,59921
2023-11-15 05:00:00,5.16,5.2495,5.05,5.06,50091
2023-11-16 05:00:00,5.1,5.1,4.93,5.05,45067
2023-11-17 05:00:00,4.96,5.1826,4.9,5.03,72813
2023-11-20 05:00:00,5.04,5.1,4.8,4.8,58177
2023-11-21 05:00:00,4.88,4.9773,4.8,4.8,49604
2023-11-22 05:00:00,4.79,4.8983,4.7886,4.85,21337
2023-11-24 05:00:00,4.8,5.0885,4.78,5.06,68612
2023-11-27 05:00:00,5.04,5.13,5.0,5.0,65312
2023-11-28 05:00:00,5.0,5.1,4.82,4.85,60971
2023-11-29 05:00:00,4.85,4.9799,4.75,4.78,37077
2023-11-30 05:00:00,4.78,4.9615,4.76,4.79,20028
2023-12-01 05:00:00,4.76,4.94,4.76,4.94,36014
2023-12-04 05:00:00,4.94,4.94,4.78,4.86,27748
2023-12-05 05:00:00,4.86,4.87,4.79,4.84,35651
2023-12-06 05:00:00,4.8,4.92,4.77,4.81,21495
2023-12-07 05:00:00,4.81,4.927,4.7973,4.8,20880
