Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,2.19,2.22,2.1,2.11,193780.0
2023-09-08 04:00:00,2.14,2.15,2.02,2.05,164925.0
2023-09-11 04:00:00,2.07,2.1201,2.02,2.04,211813.0
2023-09-12 04:00:00,2.09,2.09,2.02,2.04,122008.0
2023-09-13 04:00:00,2.11,2.11,1.92,2.04,131194.0
2023-09-14 04:00:00,2.03,2.13,2.01,2.07,144032.0
2023-09-15 04:00:00,2.05,2.145,2.03,2.04,163089.0
2023-09-18 04:00:00,2.01,2.12,2.0,2.03,114396.0
2023-09-19 04:00:00,2.03,2.1121,2.01,2.03,99916.0
2023-09-20 04:00:00,2.03,2.09,1.95,1.98,127719.0
2023-09-21 04:00:00,2.01,2.05,1.81,1.84,250779.0
2023-09-22 04:00:00,1.94,2.04,1.88,2.01,128991.0
2023-09-25 04:00:00,1.96,2.04,1.94,1.99,98604.0
2023-09-26 04:00:00,2.02,2.07,1.93,1.98,107611.0
2023-09-27 04:00:00,2.0,2.23,1.935,2.2,206037.0
2023-09-28 04:00:00,2.23,2.32,2.07,2.26,179348.0
2023-09-29 04:00:00,2.28,2.4,2.23,2.28,177122.0
2023-10-02 04:00:00,2.32,2.352,2.17,2.29,106726.0
2023-10-03 04:00:00,2.26,2.37,2.16,2.22,173643.0
2023-10-04 04:00:00,2.19,2.28,2.145,2.19,157092.0
2023-10-05 04:00:00,2.17,2.27,2.15,2.17,91520.0
2023-10-06 04:00:00,2.15,2.3,2.14,2.22,109719.0
2023-10-09 04:00:00,2.19,2.37,2.17,2.31,185338.0
2023-10-10 04:00:00,2.28,2.505,2.27,2.42,193880.0
2023-10-11 04:00:00,2.42,2.52,2.14,2.16,464353.0
2023-10-12 04:00:00,2.15,2.1994,2.05,2.12,129525.0
2023-10-13 04:00:00,2.02,2.09,1.54,1.6,1432916.0
2023-10-16 04:00:00,1.6,1.87,1.6,1.79,241063.0
2023-10-17 04:00:00,1.82,1.85,1.74,1.8,424264.0
2023-10-18 04:00:00,1.8,1.8136,1.63,1.63,275741.0
2023-10-19 04:00:00,1.67,1.68,1.44,1.44,668236.0
2023-10-20 04:00:00,1.49,1.7,1.49,1.51,505276.0
2023-10-23 04:00:00,1.57,1.629,1.41,1.41,401555.0
2023-10-24 04:00:00,1.45,1.55,1.4,1.4,489643.0
2023-10-25 04:00:00,1.41,1.498,1.38,1.4,389009.0
2023-10-26 04:00:00,1.4,1.59,1.3,1.53,830155.0
2023-10-27 04:00:00,1.53,1.59,1.47,1.51,462043.0
2023-10-30 04:00:00,1.55,1.6,1.47,1.5,220270.0
2023-10-31 04:00:00,1.47,1.52,1.45,1.47,176311.0
2023-11-01 04:00:00,1.46,1.5477,1.46,1.53,246454.0
2023-11-02 04:00:00,1.55,1.64,1.5,1.63,266306.0
2023-11-03 04:00:00,1.67,1.78,1.64,1.76,484229.0
2023-11-06 05:00:00,1.77,1.83,1.71,1.78,581590.0
2023-11-07 05:00:00,1.73,1.8,1.67,1.72,487680.0
2023-11-08 05:00:00,1.71,1.8,1.71,1.76,1957950.0
2023-11-09 05:00:00,1.769,1.7973,1.66,1.68,263274.0
2023-11-10 05:00:00,1.64,1.74,1.59,1.65,600706.0
2023-11-13 05:00:00,1.63,1.64,1.58,1.6,260971.0
2023-11-14 05:00:00,1.61,1.665,1.61,1.63,229957.0
2023-11-15 05:00:00,1.65,1.745,1.63,1.71,451068.0
2023-11-16 05:00:00,1.68,1.7686,1.63,1.71,206146.0
2023-11-17 05:00:00,1.7,1.73,1.64,1.66,160381.0
2023-11-20 05:00:00,1.68,1.79,1.68,1.76,291250.0
2023-11-21 05:00:00,1.78,1.85,1.74,1.8,332828.0
2023-11-22 05:00:00,1.85,1.88,1.66,1.71,247766.0
2023-11-24 05:00:00,1.71,1.81,1.71,1.78,359051.0
2023-11-27 05:00:00,1.75,1.82,1.73,1.77,329134.0
2023-11-28 05:00:00,1.75,1.8,1.73,1.78,273809.0
2023-11-29 05:00:00,1.75,1.8013,1.73,1.74,481824.0
2023-11-30 05:00:00,1.71,1.85,1.71,1.79,641561.0
2023-12-01 05:00:00,1.76,1.79,1.72,1.77,392866.0
2023-12-04 05:00:00,1.75,1.7676,1.65,1.74,128660.0
2023-12-05 05:00:00,1.7,1.74,1.66,1.69,217750.0
2023-12-06 05:00:00,1.67,1.7,1.58,1.61,134266.0
2023-12-07 05:00:00,1.57,1.65,1.57,1.63,168595.0
2023-12-08 05:00:00,1.65,1.7,1.6,1.6,200217.0
2023-12-11 05:00:00,1.56,1.65,1.54,1.57,1954062.0
2023-12-12 05:00:00,1.6,1.6,1.55,1.6,353121.0
2023-12-13 05:00:00,1.54,1.68,1.54,1.62,188858.0
2023-12-14 05:00:00,1.6,1.685,1.57,1.67,379765.0
2023-12-15 05:00:00,1.71,1.74,1.62,1.71,501573.0
2023-12-18 05:00:00,1.68,1.78,1.62,1.73,623811.0
2023-12-19 05:00:00,1.7,1.8,1.61,1.73,453070.0
2023-12-20 05:00:00,1.67,1.81,1.6655,1.76,493610.0
2023-12-21 05:00:00,1.73,1.81,1.71,1.77,479743.0
2023-12-22 05:00:00,1.78,1.8,1.67,1.8,558473.0
2023-12-26 05:00:00,1.77,1.82,1.71,1.78,456132.0
2023-12-27 05:00:00,1.78,1.85,1.76,1.81,348517.0
2023-12-28 05:00:00,1.81,1.99,1.792,1.89,559366.0
2023-12-29 05:00:00,1.87,1.95,1.84,1.92,317089.0
2024-01-02 05:00:00,1.89,1.9,1.71,1.74,227316.0
2024-01-03 05:00:00,1.78,1.78,1.72,1.76,142329.0
2024-01-04 05:00:00,1.74,1.76,1.64,1.67,143567.0
2024-01-05 05:00:00,1.65,1.66,1.59,1.62,145052.0
2024-01-08 05:00:00,1.61,1.63,1.57,1.6,200207.0
2024-01-09 05:00:00,1.58,1.6,1.55,1.55,177444.0
2024-01-10 05:00:00,1.55,1.56,1.5,1.5,109336.0
2024-01-11 05:00:00,1.5,1.52,1.45,1.45,100588.0
2024-01-12 05:00:00,1.45,1.4577,1.41,1.42,133716.0
2024-01-16 05:00:00,1.4,1.4,1.26,1.28,289088.0
2024-01-17 05:00:00,1.26,1.31,1.2375,1.3,355451.0
2024-01-18 05:00:00,1.3,1.32,1.16,1.27,281407.0
2024-01-19 05:00:00,1.31,1.32,1.2,1.22,228497.0
2024-01-22 05:00:00,1.17,1.25,1.17,1.21,184426.0
2024-01-23 05:00:00,1.28,1.28,1.22,1.22,227148.0
2024-01-24 05:00:00,1.22,1.2564,1.22,1.22,213915.0
2024-01-25 05:00:00,1.3,1.3,1.18,1.18,140112.0
2024-01-26 05:00:00,1.19,1.23,1.17,1.23,212817.0
2024-01-29 05:00:00,1.21,1.24,1.14,1.14,354783.0
2024-01-30 05:00:00,1.14,1.15,1.06,1.1,353214.0
2024-01-31 05:00:00,1.09,1.115,1.06,1.08,295936.0
2024-02-01 05:00:00,1.08,1.11,1.07,1.08,270918.0
2024-02-02 05:00:00,1.07,1.08,1.06,1.07,117528.0
2024-02-05 05:00:00,1.08,1.08,1.01,1.03,178338.0
2024-02-06 05:00:00,1.06,1.13,1.02,1.12,304386.0
2024-02-07 05:00:00,1.09,1.1409,1.09,1.12,189650.0
2024-02-08 05:00:00,1.12,1.14,1.1,1.1,176051.0
2024-02-09 05:00:00,1.09,1.1,1.06,1.09,103784.0
2024-02-12 05:00:00,1.08,1.12,1.08,1.1,140330.0
2024-02-13 05:00:00,1.07,1.12,1.07,1.1,160774.0
2024-02-14 05:00:00,1.08,1.11,1.08,1.09,123152.0
2024-02-15 05:00:00,1.07,1.13,1.07,1.11,133556.0
2024-02-16 05:00:00,1.11,1.1398,1.09,1.1,158704.0
2024-02-20 05:00:00,1.1,1.13,1.1,1.12,134167.0
2024-02-21 05:00:00,1.12,1.14,1.1,1.1,147860.0
2024-02-22 05:00:00,1.11,1.13,1.11,1.12,121144.0
2024-02-23 05:00:00,1.2,1.21,1.14,1.16,396543.0
2024-02-26 05:00:00,1.19,1.2333,1.17,1.2,145106.0
2024-02-27 05:00:00,1.18,1.21,1.18,1.2,143049.0
2024-02-28 05:00:00,1.18,1.2,1.16,1.17,115654.0
2024-02-29 05:00:00,1.15,1.21,1.15,1.18,123426.0
2024-03-01 05:00:00,1.16,1.1999,1.16,1.17,109813.0
2024-03-04 05:00:00,1.2,1.2,1.16,1.17,163567.0
2024-03-05 05:00:00,1.16,1.175,1.13,1.15,95662.0
2024-03-06 05:00:00,1.14,1.18,1.14,1.15,111615.0
2024-03-07 05:00:00,1.13,1.16,1.11,1.14,90086.0
2024-03-08 05:00:00,1.13,1.16,1.13,1.14,146147.0
2024-03-11 04:00:00,1.15,1.19,1.15,1.19,213439.0
2024-03-12 04:00:00,1.56,1.7,1.37,1.51,16112608.0
2024-03-13 04:00:00,1.46,1.64,1.44,1.59,2234449.0
2024-03-14 04:00:00,1.59,1.74,1.54,1.68,1998799.0
2024-03-15 04:00:00,1.69,1.75,1.66,1.68,1260391.0
2024-03-18 04:00:00,1.71,1.92,1.695,1.81,1592081.0
2024-03-19 04:00:00,1.82,1.84,1.7,1.84,589087.0
2024-03-20 04:00:00,1.8,1.84,1.77,1.83,468627.0
2024-03-21 04:00:00,1.83,1.84,1.78,1.8,475792.0
2024-03-22 04:00:00,1.76,1.81,1.62,1.67,941717.0
2024-03-25 04:00:00,1.67,1.705,1.6,1.63,321522.0
2024-03-26 04:00:00,1.61,1.675,1.6008,1.65,258434.0
2024-03-27 04:00:00,1.62,1.67,1.6143,1.65,205297.0
2024-03-28 04:00:00,1.65,1.76,1.65,1.76,560798.0
2024-04-01 04:00:00,1.76,1.87,1.75,1.84,660641.0
2024-04-02 04:00:00,1.82,1.87,1.79,1.85,505206.0
2024-04-03 04:00:00,1.84,1.86,1.79,1.79,320299.0
2024-04-04 04:00:00,1.81,1.85,1.74,1.75,312739.0
2024-04-05 04:00:00,1.75,1.79,1.62,1.66,557911.0
2024-04-08 04:00:00,1.66,1.7,1.61,1.69,869236.0
2024-04-09 04:00:00,1.67,1.72,1.67,1.7,703640.0
2024-04-10 04:00:00,1.72,1.7394,1.66,1.71,578073.0
2024-04-11 04:00:00,1.68,1.75,1.68,1.73,523442.0
2024-04-12 04:00:00,1.73,1.76,1.72,1.74,531005.0
2024-04-15 04:00:00,1.73,1.76,1.71,1.71,345775.0
2024-04-16 04:00:00,1.72,1.72,1.5,1.53,1107753.0
2024-04-17 04:00:00,1.55,1.6,1.55,1.59,540881.0
2024-04-18 04:00:00,1.59,1.62,1.54,1.56,476006.0
2024-04-19 04:00:00,1.59,1.7049,1.55,1.58,501598.0
2024-04-22 04:00:00,1.6,1.62,1.54,1.55,371518.0
2024-04-23 04:00:00,1.53,1.62,1.53,1.58,1252213.0
2024-04-24 04:00:00,1.6,1.62,1.58,1.58,1118124.0
2024-04-25 04:00:00,1.57,1.62,1.55,1.61,673003.0
2024-04-26 04:00:00,1.77,2.0,1.69,1.98,3416436.0
