Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,16.0,16.6193,16.0,16.04,12428
2023-09-08 04:00:00,16.16,16.24,16.01,16.13,4574
2023-09-11 04:00:00,16.01,16.16,15.85,15.87,28857
2023-09-12 04:00:00,15.84,16.14,15.84,15.88,16968
2023-09-13 04:00:00,15.891,16.16,15.88,15.88,2562
2023-09-14 04:00:00,15.8,15.9398,15.8,15.87,9647
2023-09-15 04:00:00,15.85,16.0699,15.85,16.03,2136
2023-09-18 04:00:00,15.88,16.0124,15.8,16.0,5312
2023-09-19 04:00:00,15.9773,15.9773,15.65,15.65,5161
2023-09-20 04:00:00,15.73,15.73,15.29,15.29,41660
2023-09-21 04:00:00,15.29,15.3899,15.13,15.13,15657
2023-09-22 04:00:00,15.15,15.2665,15.04,15.1,10128
2023-09-25 04:00:00,15.0401,15.1,14.75,14.81,38194
2023-09-26 04:00:00,14.87,14.87,14.4,14.4697,52180
2023-09-27 04:00:00,14.47,14.47,14.2,14.32,13680
2023-09-28 04:00:00,14.315,14.4196,14.1441,14.31,41933
2023-09-29 04:00:00,14.71,14.71,14.27,14.36,22673
2023-10-02 04:00:00,14.31,14.49,14.21,14.26,9979
2023-10-03 04:00:00,14.24,14.49,14.14,14.17,28151
2023-10-04 04:00:00,14.23,14.53,14.23,14.23,23508
2023-10-05 04:00:00,14.29,14.29,13.96,14.06,18870
2023-10-06 04:00:00,14.06,14.1228,13.96,14.05,23948
2023-10-09 04:00:00,14.15,14.16,14.0072,14.09,18324
2023-10-10 04:00:00,14.05,14.32,14.02,14.28,35756
2023-10-11 04:00:00,14.36,14.41,14.25,14.3,31173
2023-10-12 04:00:00,14.36,14.46,14.04,14.06,29254
2023-10-13 04:00:00,14.14,14.35,14.1,14.16,8063
2023-10-16 04:00:00,14.15,14.16,13.98,13.98,6328
2023-10-17 04:00:00,13.95,14.3045,13.7,13.92,62352
2023-10-18 04:00:00,13.92,13.9438,13.81,13.88,8534
2023-10-19 04:00:00,13.85,13.88,13.73,13.73,9687
2023-10-20 04:00:00,13.77,13.87,13.6818,13.77,9043
2023-10-23 04:00:00,13.67,13.69,13.55,13.55,25514
2023-10-24 04:00:00,13.6321,13.72,13.51,13.5701,18948
2023-10-25 04:00:00,13.61,13.67,13.41,13.41,19504
2023-10-26 04:00:00,13.45,13.5299,13.36,13.45,16629
2023-10-27 04:00:00,13.45,13.45,13.05,13.19,55626
2023-10-30 04:00:00,13.23,13.44,13.13,13.34,13816
2023-10-31 04:00:00,13.45,13.75,13.26,13.67,39035
2023-11-01 04:00:00,13.7899,14.04,13.6299,13.93,11049
2023-11-02 04:00:00,14.06,14.2,13.95,14.15,25029
2023-11-03 04:00:00,14.24,14.35,14.15,14.34,30404
2023-11-06 05:00:00,14.29,14.29,14.08,14.15,18417
2023-11-07 05:00:00,14.17,14.35,14.17,14.349,13681
2023-11-08 05:00:00,14.35,14.54,14.23,14.51,21277
2023-11-09 05:00:00,14.5891,14.5891,14.33,14.38,7576
2023-11-10 05:00:00,14.33,14.57,14.33,14.54,13952
2023-11-13 05:00:00,14.41,14.5987,14.4,14.47,12528
2023-11-14 05:00:00,14.5,14.6499,14.42,14.62,41016
2023-11-15 05:00:00,14.62,14.6252,14.57,14.62,13122
2023-11-16 05:00:00,14.65,15.11,14.599,15.07,60601
2023-11-17 05:00:00,15.15,15.27,15.0001,15.26,27657
2023-11-20 05:00:00,15.17,15.29,15.0801,15.27,41909
2023-11-21 05:00:00,15.17,15.245,15.14,15.18,21133
2023-11-22 05:00:00,15.18,15.22,15.1,15.2064,14407
2023-11-24 05:00:00,15.13,15.26,15.12,15.25,13518
2023-11-27 05:00:00,15.25,15.26,15.07,15.22,21304
2023-11-28 05:00:00,15.26,15.49,15.1609,15.2,23937
2023-11-29 05:00:00,15.3,15.5097,15.13,15.37,30302
2023-11-30 05:00:00,15.62,15.62,15.17,15.255,26886
2023-12-01 05:00:00,15.41,15.5135,15.296,15.41,47490
2023-12-04 05:00:00,15.4,15.48,15.09,15.19,43661
2023-12-05 05:00:00,15.25,15.44,15.09,15.17,87659
2023-12-06 05:00:00,15.13,15.34,15.1,15.17,61566
2023-12-07 05:00:00,15.18,15.2957,15.14,15.26,20152
2023-12-08 05:00:00,15.22,15.4298,15.22,15.4279,16520
2023-12-11 05:00:00,15.37,15.381,15.17,15.21,14237
2023-12-12 05:00:00,15.34,15.34,15.16,15.2,38058
2023-12-13 05:00:00,15.19,15.36,15.14,15.34,44835
2023-12-14 05:00:00,15.3,15.48,15.3,15.42,28952
2023-12-15 05:00:00,15.54,15.54,15.32,15.42,39386
2023-12-18 05:00:00,15.35,15.41,15.25,15.38,41110
2023-12-19 05:00:00,15.4,15.8453,15.4,15.52,66702
2023-12-20 05:00:00,15.47,15.5999,15.28,15.32,55127
2023-12-21 05:00:00,15.34,15.395,15.24,15.27,28421
2023-12-22 05:00:00,15.28,15.42,15.28,15.32,35362
2023-12-26 05:00:00,15.3,15.365,15.28,15.36,53733
2023-12-27 05:00:00,15.36,15.56,15.29,15.32,45807
2023-12-28 05:00:00,15.26,15.51,15.09,15.21,86748
2023-12-29 05:00:00,15.38,15.38,15.12,15.23,51122
2024-01-02 05:00:00,15.2582,15.47,15.2397,15.39,16016
2024-01-03 05:00:00,15.58,15.63,15.45,15.63,16973
2024-01-04 05:00:00,15.63,15.84,15.63,15.84,16258
2024-01-05 05:00:00,15.71,15.91,15.6413,15.76,9383
2024-01-08 05:00:00,15.77,15.99,15.77,15.945,7839
2024-01-09 05:00:00,15.8798,15.98,15.86,15.87,6644
2024-01-10 05:00:00,15.95,15.95,15.7999,15.864,10751
2024-01-11 05:00:00,15.8966,15.9099,15.83,15.86,8253
2024-01-12 05:00:00,15.84,15.8899,15.681,15.74,17561
2024-01-16 05:00:00,15.88,15.88,15.46,15.53,22464
2024-01-17 05:00:00,15.64,15.64,15.452,15.51,10016
2024-01-18 05:00:00,15.51,15.5466,15.35,15.4,2775
2024-01-19 05:00:00,15.37,15.4631,15.1867,15.26,12049
2024-01-22 05:00:00,15.3,15.6799,15.3,15.545,17920
2024-01-23 05:00:00,15.64,15.64,15.5,15.55,3740
2024-01-24 05:00:00,15.495,15.8,15.495,15.605,27760
2024-01-25 05:00:00,15.49,15.7599,15.49,15.64,6857
2024-01-26 05:00:00,15.8199,15.8199,15.5626,15.72,9968
2024-01-29 05:00:00,15.61,15.8486,15.56,15.725,38796
2024-01-30 05:00:00,15.72,15.82,15.611,15.7,27588
2024-01-31 05:00:00,15.92,15.93,15.7394,15.91,13422
2024-02-01 05:00:00,15.94,16.1,15.94,16.06,17883
2024-02-02 05:00:00,16.01,16.028,15.85,15.91,12924
2024-02-05 05:00:00,15.86,15.88,15.7357,15.82,23489
2024-02-06 05:00:00,15.9929,15.9929,15.84,15.96,2789
2024-02-07 05:00:00,16.0475,16.05,15.8436,15.95,28827
2024-02-08 05:00:00,15.94,15.98,15.89,15.96,12657
2024-02-09 05:00:00,15.93,16.05,15.925,16.01,4703
2024-02-12 05:00:00,15.96,16.02,15.96,16.01,15692
2024-02-13 05:00:00,15.92,16.03,15.88,15.9,4473
2024-02-14 05:00:00,15.9654,16.2,15.9,16.02,29786
2024-02-15 05:00:00,16.03,16.1902,16.03,16.11,1558
2024-02-16 05:00:00,16.19,16.34,16.08,16.1,18165
2024-02-20 05:00:00,15.85,16.28,15.85,16.2,12255
2024-02-21 05:00:00,16.35,16.44,16.19,16.19,34947
2024-02-22 05:00:00,16.33,16.49,16.18,16.27,10691
2024-02-23 05:00:00,16.3,16.4848,16.2,16.22,16148
2024-02-26 05:00:00,16.34,16.34,15.84,15.8899,31418
2024-02-27 05:00:00,15.88,15.9342,15.85,15.86,11484
2024-02-28 05:00:00,15.92,16.2458,15.9,16.0,35914
2024-02-29 05:00:00,15.93,16.3091,15.93,16.09,23012
2024-03-01 05:00:00,16.1,16.2,16.1,16.15,20167
2024-03-04 05:00:00,16.38,16.3899,15.9506,16.0532,30427
2024-03-05 05:00:00,16.27,16.3526,16.1468,16.33,8797
2024-03-06 05:00:00,16.28,16.28,16.255,16.2799,5061
2024-03-07 05:00:00,16.3899,16.3899,16.305,16.315,6002
2024-03-08 05:00:00,16.25,16.2575,16.11,16.2575,24028
2024-03-11 04:00:00,16.18,16.37,16.18,16.3,6030
2024-03-12 04:00:00,16.25,16.3999,16.25,16.35,5167
2024-03-13 04:00:00,16.335,16.43,16.335,16.4,4768
2024-03-14 04:00:00,16.28,16.378,16.2,16.2,7803
2024-03-15 04:00:00,16.36,16.5,16.2665,16.5,7083
2024-03-18 04:00:00,16.4,16.4997,16.2,16.3122,17649
2024-03-19 04:00:00,16.424,16.4857,16.1601,16.1601,17346
2024-03-20 04:00:00,16.2,16.2,16.0492,16.14,20772
2024-03-21 04:00:00,16.1,16.11,16.0635,16.1099,12128
2024-03-22 04:00:00,16.13,16.13,16.02,16.07,14426
2024-03-25 04:00:00,16.06,16.06,15.9677,16.02,16814
2024-03-26 04:00:00,16.09,16.09,15.91,15.98,16286
2024-03-27 04:00:00,16.045,16.045,15.9694,16.04,11449
2024-03-28 04:00:00,16.09,16.1,15.95,16.1,23231
2024-04-01 04:00:00,16.1,16.13,15.81,15.98,34345
2024-04-02 04:00:00,16.0,16.02,15.95,15.9784,31252
2024-04-03 04:00:00,15.9,16.0,15.85,15.89,34132
2024-04-04 04:00:00,15.93,15.9636,15.87,15.8947,11046
2024-04-05 04:00:00,15.9,15.9033,15.76,15.81,15271
2024-04-08 04:00:00,15.81,15.9,15.78,15.89,17875
2024-04-09 04:00:00,16.0,16.0,15.88,15.91,5961
2024-04-10 04:00:00,15.86,16.0,15.56,15.66,20267
2024-04-11 04:00:00,15.69,15.82,15.65,15.7,14904
2024-04-12 04:00:00,15.65,15.7,15.5,15.58,22145
2024-04-15 04:00:00,15.62,15.62,15.29,15.3201,13686
2024-04-16 04:00:00,15.28,15.5159,15.28,15.39,17449
2024-04-17 04:00:00,15.42,15.5,15.3992,15.47,14090
2024-04-18 04:00:00,15.42,15.52,15.39,15.42,18968
2024-04-19 04:00:00,15.39,15.4931,15.39,15.42,10602
2024-04-22 04:00:00,15.39,15.42,15.24,15.36,7834
2024-04-23 04:00:00,15.43,15.48,15.43,15.4511,14837
2024-04-24 04:00:00,15.525,15.62,15.44,15.45,9244
2024-04-25 04:00:00,15.41,15.43,15.36,15.37,4928
2024-04-26 04:00:00,15.58,15.58,15.37,15.42,12470
2024-04-29 04:00:00,15.4,15.48,15.4,15.46,14107
2024-04-30 04:00:00,15.52,15.52,15.35,15.39,14207
2024-05-01 04:00:00,15.49,15.5299,15.44,15.45,4530
2024-05-02 04:00:00,15.43,15.565,15.3913,15.47,9283
2024-05-03 04:00:00,15.52,15.59,15.51,15.54,9432
2024-05-06 04:00:00,15.62,15.79,15.59,15.7315,24867
2024-05-07 04:00:00,15.75,16.04,15.75,16.01,32496
2024-05-08 04:00:00,16.04,16.04,15.8917,16.0195,4095
2024-05-09 04:00:00,15.875,16.05,15.875,16.05,2940
2024-05-10 04:00:00,16.04,16.07,15.95,16.06,21660
2024-05-13 04:00:00,16.0382,16.0382,15.9335,16.0,15109
2024-05-14 04:00:00,16.0083,16.0355,15.9133,15.97,4102
2024-05-15 04:00:00,15.7929,16.18,15.7928,16.17,14155
2024-05-16 04:00:00,15.945,16.0998,15.945,15.99,5282
2024-05-17 04:00:00,16.0903,16.0903,15.84,15.98,2205
2024-05-20 04:00:00,16.06,16.25,15.94,16.25,5630
2024-05-21 04:00:00,16.14,16.14,15.995,16.08,6089
2024-05-22 04:00:00,16.16,16.16,15.8445,15.88,15383
2024-05-23 04:00:00,15.88,15.9,15.68,15.77,24881
2024-05-24 04:00:00,15.89,15.89,15.81,15.82,10860
2024-05-28 04:00:00,15.89,15.89,15.64,15.7,12939
2024-05-29 04:00:00,15.655,15.67,15.575,15.58,8013
2024-05-30 04:00:00,15.66,15.72,15.62,15.64,6297
2024-05-31 04:00:00,16.12,16.12,15.66,15.6899,10934
2024-06-03 04:00:00,15.73,15.849,15.73,15.8,9920
2024-06-04 04:00:00,15.76,15.8525,15.75,15.76,23240
2024-06-05 04:00:00,15.75,16.11,15.75,15.84,13063
2024-06-06 04:00:00,15.88,15.985,15.86,15.93,3462
2024-06-07 04:00:00,15.89,16.14,15.83,16.0001,17674
2024-06-10 04:00:00,16.035,16.2499,15.8801,16.11,5807
2024-06-11 04:00:00,16.115,16.4,16.02,16.09,34658
2024-06-12 04:00:00,16.19,16.415,16.02,16.29,4912
2024-06-13 04:00:00,16.21,16.2207,16.02,16.05,15997
2024-06-14 04:00:00,16.15,16.15,15.87,15.98,5246
2024-06-17 04:00:00,15.98,16.19,15.897,15.96,6145
2024-06-18 04:00:00,16.05,16.05,15.86,15.9,24576
2024-06-20 04:00:00,15.81,15.89,15.76,15.815,16444
2024-06-21 04:00:00,15.82,15.8999,15.8,15.8,6083
2024-06-24 04:00:00,15.91,15.9184,15.82,15.83,6025
2024-06-25 04:00:00,15.86,15.9178,15.7973,15.9,7188
2024-06-26 04:00:00,15.88,15.89,15.74,15.75,33707
2024-06-27 04:00:00,15.9,15.9399,15.75,15.75,24437
2024-06-28 04:00:00,15.83,15.93,15.81,15.91,17483
2024-07-01 04:00:00,15.91,15.96,15.715,15.75,37361
2024-07-02 04:00:00,15.84,15.845,15.75,15.825,47725
2024-07-03 04:00:00,15.81,15.91,15.8,15.9,22216
2024-07-05 04:00:00,15.95,15.95,15.86,15.9,22532
2024-07-08 04:00:00,15.87,15.9,15.77,15.81,23524
2024-07-09 04:00:00,15.81,15.85,15.7852,15.83,17666
2024-07-10 04:00:00,15.905,15.99,15.905,15.91,8450
2024-07-11 04:00:00,15.96,16.2094,15.96,16.19,44886
2024-07-12 04:00:00,16.12,16.19,16.0952,16.15,31979
2024-07-15 04:00:00,15.99,16.13,15.986,16.03,22461
2024-07-16 04:00:00,16.0853,16.12,16.0401,16.11,15250
2024-07-17 04:00:00,16.08,16.08,15.93,15.98,25126
2024-07-18 04:00:00,15.96,15.97,15.8205,15.9,17491
2024-07-19 04:00:00,15.8837,15.891,15.8401,15.86,7616
2024-07-22 04:00:00,15.9,15.95,15.8301,15.9,20808
2024-07-23 04:00:00,15.9,16.1499,15.9,15.95,19203
2024-07-24 04:00:00,15.93,15.95,15.85,15.85,17789
2024-07-25 04:00:00,15.84,16.0337,15.84,16.01,6528
2024-07-26 04:00:00,16.0,16.08,15.96,16.03,15084
2024-07-29 04:00:00,15.97,16.06,15.89,15.89,31115
2024-07-30 04:00:00,16.06,16.06,15.9,15.98,6446
2024-07-31 04:00:00,16.1,16.19,16.0,16.06,9738
2024-08-01 04:00:00,16.155,16.155,16.08,16.15,4550
2024-08-02 04:00:00,16.16,16.16,16.02,16.02,54982
2024-08-05 04:00:00,16.03,16.1499,15.72,15.7301,36877
2024-08-06 04:00:00,15.79,15.95,15.73,15.95,23631
2024-08-07 04:00:00,15.94,16.2,15.94,16.06,18500
2024-08-08 04:00:00,16.11,16.16,16.07,16.08,4761
2024-08-09 04:00:00,16.07,16.14,16.01,16.14,12375
2024-08-12 04:00:00,16.055,16.11,15.92,16.11,15839
2024-08-13 04:00:00,16.12,16.1442,16.09,16.1,18387
2024-08-14 04:00:00,16.08,16.14,16.01,16.13,11544
2024-08-15 04:00:00,16.085,16.095,15.992,16.0,15336
2024-08-16 04:00:00,16.0,16.2,16.0,16.14,13007
2024-08-19 04:00:00,16.13,16.22,16.07,16.07,11449
2024-08-20 04:00:00,16.0,16.2,16.0,16.2,3998
2024-08-21 04:00:00,16.2,16.2,15.98,16.11,5678
2024-08-22 04:00:00,16.01,16.0693,15.91,15.97,44427
2024-08-23 04:00:00,16.0101,16.11,16.0101,16.02,13190
2024-08-26 04:00:00,16.0,16.06,15.7,15.83,112362
2024-08-27 04:00:00,15.81,15.91,15.75,15.84,69067
2024-08-28 04:00:00,15.88,15.9199,15.77,15.81,16921
2024-08-29 04:00:00,15.89,15.89,15.76,15.81,16039
2024-08-30 04:00:00,15.86,15.96,15.85,15.88,13531
2024-09-03 04:00:00,15.99,15.99,15.87,15.8983,23702
2024-09-04 04:00:00,15.86,15.95,15.85,15.93,13324
2024-09-05 04:00:00,15.98,15.98,15.84,15.85,21979
2024-09-06 04:00:00,15.99,15.99,15.82,15.86,37554
2024-09-09 04:00:00,15.87,15.96,15.8,15.89,43252
2024-09-10 04:00:00,15.895,15.95,15.87,15.9,29987
2024-09-11 04:00:00,15.955,16.04,15.94,16.015,18154
2024-09-12 04:00:00,16.03,16.2,16.0114,16.15,31976
2024-09-13 04:00:00,16.14,16.23,16.1098,16.14,7784
2024-09-16 04:00:00,16.1,16.19,16.1,16.12,14999
2024-09-17 04:00:00,16.1521,16.16,16.08,16.14,15326
2024-09-18 04:00:00,16.13,16.2299,16.1,16.12,14290
2024-09-19 04:00:00,16.09,16.22,16.09,16.15,8808
2024-09-20 04:00:00,16.2099,16.26,16.2,16.211,17082
2024-09-23 04:00:00,16.15,16.25,16.15,16.16,12635
2024-09-24 04:00:00,16.12,16.25,16.12,16.25,12682
2024-09-25 04:00:00,16.2,16.3195,16.2,16.27,6336
2024-09-26 04:00:00,16.14,16.4,16.14,16.3108,15971
2024-09-27 04:00:00,16.4,16.41,16.24,16.32,36417
2024-09-30 04:00:00,16.37,16.4073,16.24,16.33,14443
