Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,4.35,4.49,4.35,4.4852,6015.0
2023-09-08 04:00:00,4.5,4.51,4.4,4.45,8858.0
2023-09-11 04:00:00,4.4793,4.5,4.39,4.41,7406.0
2023-09-12 04:00:00,4.5,4.636,4.4525,4.49,12494.0
2023-09-13 04:00:00,4.45,4.5,4.44,4.44,1915.0
2023-09-14 04:00:00,4.3584,4.5,4.3584,4.5,3379.0
2023-09-15 04:00:00,4.48,4.49,4.25,4.25,7130.0
2023-09-18 04:00:00,4.18,4.46,4.18,4.36,8244.0
2023-09-19 04:00:00,4.34,4.47,4.28,4.38,5887.0
2023-09-20 04:00:00,4.375,4.76,4.375,4.38,26284.0
2023-09-21 04:00:00,4.3,4.5,4.2292,4.35,6720.0
2023-09-22 04:00:00,4.4523,4.5,4.4101,4.5,3563.0
2023-09-25 04:00:00,4.4999,4.5,4.4765,4.49,12363.0
2023-09-26 04:00:00,4.3909,4.5,4.3909,4.5,1065.0
2023-09-27 04:00:00,4.455,4.66,4.455,4.5,14423.0
2023-09-28 04:00:00,4.4802,4.5,4.4477,4.49,10895.0
2023-09-29 04:00:00,4.4538,4.5,4.45,4.49,4825.0
2023-10-02 04:00:00,4.49,4.5,4.43,4.49,5865.0
2023-10-03 04:00:00,4.53,4.63,4.4552,4.5,26283.0
2023-10-04 04:00:00,4.31,4.79,4.31,4.64,18535.0
2023-10-05 04:00:00,4.49,4.66,4.45,4.5,29764.0
2023-10-06 04:00:00,4.49,4.6655,4.38,4.5,19903.0
2023-10-09 04:00:00,4.43,4.69,4.38,4.5,9960.0
2023-10-10 04:00:00,4.5,4.64,4.5,4.555,34738.0
2023-10-11 04:00:00,4.55,4.65,4.55,4.61,7467.0
2023-10-12 04:00:00,4.65,4.89,4.6,4.89,39459.0
2023-10-13 04:00:00,5.19,5.19,4.72,5.02,63712.0
2023-10-16 04:00:00,5.28,6.03,5.1,5.49,97938.0
2023-10-17 04:00:00,5.85,6.22,5.5265,5.94,82966.0
2023-10-18 04:00:00,5.95,6.47,5.95,6.47,67449.0
2023-10-19 04:00:00,6.5,6.7899,5.9511,6.24,36379.0
2023-10-20 04:00:00,6.11,7.45,6.11,7.25,66868.0
2023-10-23 04:00:00,7.44,8.32,6.7201,6.73,96816.0
2023-10-24 04:00:00,6.61,7.09,6.21,6.25,43611.0
2023-10-25 04:00:00,6.25,6.25,5.5,5.73,79586.0
2023-10-26 04:00:00,5.75,6.4483,5.2351,6.13,91477.0
2023-10-27 04:00:00,6.26,6.63,5.73,5.76,53871.0
2023-10-30 04:00:00,5.63,6.14,5.63,5.76,35981.0
2023-10-31 04:00:00,5.89,6.24,5.78,5.78,17219.0
2023-11-01 04:00:00,5.86,6.19,5.79,6.09,9452.0
2023-11-02 04:00:00,6.14,6.2999,5.86,5.97,27519.0
2023-11-03 04:00:00,6.12,7.41,6.04,6.68,76288.0
2023-11-06 05:00:00,6.68,6.73,6.25,6.54,18724.0
