Date,Open,High,Low,Close,Volume
2025-05-23 04:00:00,10.02,10.02,9.9,9.91,566091
2025-05-27 04:00:00,9.91,9.92,9.69,9.905,43865
2025-05-28 04:00:00,9.9003,9.912,9.9,9.91,191572
2025-05-29 04:00:00,9.93,9.95,9.91,9.92,890220
2025-05-30 04:00:00,9.9374,9.9374,9.92,9.9261,7501
2025-06-02 04:00:00,9.93,9.94,9.925,9.94,306916
2025-06-04 04:00:00,9.94,9.94,9.94,9.94,360004
2025-06-06 04:00:00,9.95,10.13,9.95,9.96,63005
2025-06-09 04:00:00,9.96,9.979,9.96,9.979,90305
2025-06-10 04:00:00,9.97,9.97,9.9648,9.9648,6553
2025-06-13 04:00:00,9.99,9.99,9.97,9.98,32018
2025-06-16 04:00:00,10.18,10.18,9.975,9.98,32605
2025-06-18 04:00:00,9.995,9.995,9.99,9.99,574602
2025-06-20 04:00:00,9.99,10.0,9.99,9.99,110112
2025-06-23 04:00:00,10.0,10.02,9.995,10.0,228835
2025-06-24 04:00:00,10.05,10.05,10.04,10.04,24611
2025-06-26 04:00:00,10.07,10.07,10.02,10.02,85573
2025-06-27 04:00:00,10.06,10.06,10.04,10.04,4396
2025-06-30 04:00:00,10.045,10.045,10.04,10.04,69386
2025-07-01 04:00:00,10.03,10.03,10.03,10.03,1005
2025-07-02 04:00:00,10.07,10.07,10.05,10.05,1334
2025-07-03 04:00:00,10.07,10.07,10.07,10.07,3200
2025-07-07 04:00:00,10.06,10.06,10.06,10.06,45053
2025-07-08 04:00:00,10.06,10.06,10.05,10.05,26357
2025-07-09 04:00:00,10.06,10.06,10.05,10.05,29002
2025-07-10 04:00:00,10.055,10.055,10.05,10.055,264686
2025-07-11 04:00:00,10.04,10.05,10.04,10.05,7222
2025-07-15 04:00:00,10.05,10.05,10.05,10.05,3424
2025-07-17 04:00:00,10.08,10.08,10.08,10.08,2001
2025-07-18 04:00:00,10.06,10.06,10.04,10.06,2500
2025-07-21 04:00:00,10.09,10.09,10.06,10.06,152420
2025-07-24 04:00:00,10.08,10.09,10.08,10.09,7255
2025-07-25 04:00:00,10.0741,10.09,10.0741,10.09,3837
2025-07-30 04:00:00,10.1,10.1,10.1,10.1,1400
2025-07-31 04:00:00,10.09,10.1,10.07,10.089,5144
2025-08-01 04:00:00,10.1,10.1,10.1,10.1,10114
2025-08-06 04:00:00,10.06,10.06,10.06,10.06,68275
2025-08-07 04:00:00,10.1,10.1,10.1,10.1,5967
2025-08-08 04:00:00,10.09,10.09,10.06,10.06,50356
2025-08-12 04:00:00,10.06,10.06,10.01,10.01,298464
2025-08-13 04:00:00,10.05,10.05,10.05,10.05,7850
2025-08-14 04:00:00,10.1,10.1,10.08,10.08,4738
2025-08-15 04:00:00,10.0801,10.0801,10.0801,10.0801,307
2025-08-18 04:00:00,10.08,10.08,10.08,10.08,1019
2025-08-19 04:00:00,10.09,10.09,10.08,10.08,39811
2025-08-20 04:00:00,10.08,10.09,10.06,10.0872,22529
2025-08-21 04:00:00,10.0971,10.1,10.087,10.09,12252
2025-08-25 04:00:00,10.09,10.09,10.09,10.09,21228
2025-08-26 04:00:00,10.0951,10.0951,10.0951,10.0951,185
2025-08-27 04:00:00,10.09,10.09,10.09,10.09,59663
2025-09-02 04:00:00,10.0802,10.0802,10.0802,10.0802,944
2025-09-04 04:00:00,10.09,10.09,10.08,10.08,7352
2025-09-05 04:00:00,10.28,10.28,10.05,10.05,975
