Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,49.0,49.0,46.0,48.495,1767.5
2023-09-08 04:00:00,49.5,49.5,45.0,47.0,1432.5
2023-09-11 04:00:00,47.5,51.0,46.255,46.5,3788.7
2023-09-12 04:00:00,52.5,53.0,48.81,51.5,4028.24
2023-09-13 04:00:00,51.0,51.0,47.505,49.5,1853.3
2023-09-14 04:00:00,51.0,51.5,49.5,51.5,1479.84
2023-09-15 04:00:00,51.5,53.5,50.09,53.0,2446.96
2023-09-18 04:00:00,53.5,57.0,49.99,52.5,3042.38
2023-09-19 04:00:00,54.0,54.0,47.0,49.5,1774.6
2023-09-20 04:00:00,51.5,51.5,47.0,49.5,1494.74
2023-09-21 04:00:00,49.175,49.5,46.5,47.305,2013.14
2023-09-22 04:00:00,47.26,49.5,46.5,46.51,1010.32
2023-09-25 04:00:00,47.5,48.405,42.61,45.0,2569.36
2023-09-26 04:00:00,43.75,45.635,42.5,44.5,2668.98
2023-09-27 04:00:00,44.5,46.0,41.55,42.225,2246.68
2023-09-28 04:00:00,44.745,44.745,42.5,44.4,872.6
2023-09-29 04:00:00,44.5,45.99,42.8,43.5,865.68
2023-10-02 04:00:00,44.45,44.85,41.865,43.95,1143.06
2023-10-03 04:00:00,42.5,45.0,40.51,41.5,1623.4
2023-10-04 04:00:00,41.615,44.4,39.5,40.05,2159.06
2023-10-05 04:00:00,40.5,43.995,40.0,40.0,1002.22
2023-10-06 04:00:00,40.0,42.0,40.0,40.95,906.3
2023-10-09 04:00:00,40.5,40.5,38.0,38.75,2278.68
2023-10-10 04:00:00,39.0,39.45,37.5,38.79,1097.06
2023-10-11 04:00:00,39.45,40.0,36.5,38.445,2741.86
2023-10-12 04:00:00,39.45,39.45,35.0,36.0,1288.82
2023-10-13 04:00:00,36.0,40.8,35.6,36.5,1358.42
2023-10-16 04:00:00,38.5,38.5,36.01,37.95,868.68
2023-10-17 04:00:00,39.0,39.0,35.9,37.8,1164.36
2023-10-18 04:00:00,38.3,38.35,35.5,37.38,821.92
2023-10-19 04:00:00,36.05,37.995,34.0,34.0,1455.38
2023-10-20 04:00:00,35.0,37.45,35.0,35.0,769.78
2023-10-23 04:00:00,33.5,36.4,32.51,33.805,1861.26
2023-10-24 04:00:00,33.565,36.5,32.5,34.995,817.58
2023-10-25 04:00:00,36.5,38.0,36.0,36.5,2443.24
2023-10-26 04:00:00,35.135,36.49,33.165,35.0,2161.82
2023-10-27 04:00:00,33.55,35.95,33.55,34.495,896.48
2023-10-30 04:00:00,34.5,34.5,31.65,33.905,1761.04
2023-10-31 04:00:00,33.0,34.345,32.0,33.22,492.62
2023-11-01 04:00:00,33.75,33.75,30.0,31.5,4018.28
2023-11-02 04:00:00,31.5,32.5,30.5,31.5,1508.0
2023-11-03 04:00:00,32.5,32.5,30.5,30.75,1556.78
2023-11-06 05:00:00,32.475,32.475,29.3,30.65,2152.56
2023-11-07 05:00:00,30.5,32.0,29.3,30.5,2611.94
2023-11-08 05:00:00,31.0,31.4,29.0,29.7,1713.72
2023-11-09 05:00:00,29.18,31.0,28.5,29.583,1414.8
