Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,64.85,65.015,63.99,64.33,279324.0
2023-09-08 04:00:00,64.0,64.4,63.435,63.88,241582.0
2023-09-11 04:00:00,64.03,64.4,62.73,63.42,232895.0
2023-09-12 04:00:00,63.03,63.48,61.645,62.23,211251.0
2023-09-13 04:00:00,62.3,62.49,61.85,62.01,249436.0
2023-09-14 04:00:00,62.29,63.97,62.29,63.49,372983.0
2023-09-15 04:00:00,63.37,64.99,63.215,63.79,8000665.0
2023-09-18 04:00:00,63.77,63.77,61.4,62.05,377010.0
2023-09-19 04:00:00,61.94,62.365,61.34,61.5,215709.0
2023-09-20 04:00:00,61.76,62.88,61.58,61.63,171492.0
2023-09-21 04:00:00,61.21,61.365,60.6375,60.87,228013.0
2023-09-22 04:00:00,61.15,61.425,60.54,60.55,191594.0
2023-09-25 04:00:00,60.37,60.815,59.88,60.43,124930.0
2023-09-26 04:00:00,60.06,60.4,58.78,58.81,242216.0
2023-09-27 04:00:00,59.31,59.83,58.81,59.43,209537.0
2023-09-28 04:00:00,59.47,59.82,59.15,59.29,395872.0
2023-09-29 04:00:00,59.71,59.85,58.45,58.48,329720.0
2023-10-02 04:00:00,58.08,58.08,56.23,56.57,330669.0
2023-10-03 04:00:00,56.4,56.58,56.04,56.37,275373.0
2023-10-04 04:00:00,56.69,57.03,55.97,56.48,218426.0
2023-10-05 04:00:00,56.54,56.9,56.05,56.41,184058.0
2023-10-06 04:00:00,56.23,56.82,55.72,56.42,188083.0
2023-10-09 04:00:00,56.08,56.39,55.61,55.73,174893.0
2023-10-10 04:00:00,55.78,56.64,55.66,56.27,336788.0
2023-10-11 04:00:00,56.21,56.46,54.45,54.5,230966.0
2023-10-12 04:00:00,54.71,54.87,53.26,53.27,256965.0
2023-10-13 04:00:00,53.33,53.605,52.9,53.14,220594.0
2023-10-16 04:00:00,53.71,54.295,53.26,53.4,426169.0
2023-10-17 04:00:00,54.5,58.59,54.15,58.16,455042.0
2023-10-18 04:00:00,57.57,57.685,55.96,56.17,345258.0
2023-10-19 04:00:00,56.21,57.31,55.68,56.19,426069.0
2023-10-20 04:00:00,58.41,58.41,56.1767,57.58,532599.0
2023-10-23 04:00:00,56.89,57.65,56.3042,56.75,373906.0
2023-10-24 04:00:00,56.82,57.22,55.93,55.95,411058.0
2023-10-25 04:00:00,55.37,56.405,55.07,55.49,180612.0
2023-10-26 04:00:00,55.99,56.85,55.99,56.31,182963.0
2023-10-27 04:00:00,56.68,56.68,55.57,55.88,196729.0
2023-10-30 04:00:00,56.64,56.73,55.11,55.14,187663.0
2023-10-31 04:00:00,55.52,56.54,55.52,56.42,169871.0
2023-11-01 04:00:00,56.21,56.36,55.5001,56.03,134777.0
2023-11-02 04:00:00,56.86,57.36,56.4,57.32,131576.0
2023-11-03 04:00:00,58.2,59.03,57.725,58.68,134363.0
2023-11-06 05:00:00,58.32,58.47,57.72,57.96,147424.0
2023-11-07 05:00:00,58.06,58.11,57.36,57.82,110769.0
2023-11-08 05:00:00,58.02,58.02,57.05,57.39,102128.0
2023-11-09 05:00:00,58.02,58.04,57.25,57.31,242497.0
2023-11-10 05:00:00,57.41,58.01,56.93,57.57,123263.0
2023-11-13 05:00:00,57.57,58.04,56.69,57.48,125810.0
2023-11-14 05:00:00,59.11,61.4,59.11,61.38,210639.0
2023-11-15 05:00:00,61.49,61.94,60.79,61.26,303414.0
2023-11-16 05:00:00,61.46,61.7191,60.39,61.46,137616.0
2023-11-17 05:00:00,62.08,62.08,60.45,60.74,278749.0
2023-11-20 05:00:00,59.21,59.7,58.23,58.24,411850.0
2023-11-21 05:00:00,57.21,58.19,56.51,57.37,559404.0
2023-11-22 05:00:00,57.9,58.53,57.33,58.29,1906320.0
2023-11-24 05:00:00,58.71,59.41,58.57,58.83,109246.0
2023-11-27 05:00:00,58.83,58.85,57.78,58.21,198665.0
2023-11-28 05:00:00,58.33,58.89,58.0,58.16,234946.0
2023-11-29 05:00:00,58.81,59.72,58.35,58.43,259067.0
2023-11-30 05:00:00,58.43,58.49,57.77,57.94,195409.0
2023-12-01 05:00:00,57.72,59.84,57.72,59.72,217700.0
2023-12-04 05:00:00,59.57,60.28,59.24,59.85,137716.0
2023-12-05 05:00:00,59.55,60.15,58.69,60.15,348667.0
2023-12-06 05:00:00,60.75,61.39,60.535,60.79,186465.0
2023-12-07 05:00:00,60.63,61.85,60.17,61.67,215269.0
2023-12-08 05:00:00,61.77,62.27,61.14,61.37,114149.0
2023-12-11 05:00:00,61.08,61.85,60.74,61.33,248812.0
2023-12-12 05:00:00,61.38,61.82,60.51,61.52,208886.0
2023-12-13 05:00:00,61.32,63.8,61.32,63.51,243605.0
2023-12-14 05:00:00,64.61,66.06,64.405,65.06,325477.0
2023-12-15 05:00:00,65.22,65.78,64.14,65.62,1147258.0
2023-12-18 05:00:00,65.62,66.21,64.53,65.0,318318.0
2023-12-19 05:00:00,65.68,66.95,65.57,66.69,204489.0
2023-12-20 05:00:00,66.94,67.52,65.37,65.51,310145.0
2023-12-21 05:00:00,66.14,66.33,65.145,65.99,356224.0
2023-12-22 05:00:00,66.28,66.92,66.1613,66.28,137619.0
2023-12-26 05:00:00,66.6,67.03,66.25,66.56,164300.0
2023-12-27 05:00:00,66.49,66.84,66.17,66.29,107120.0
2023-12-28 05:00:00,65.91,66.79,65.91,66.72,106724.0
2023-12-29 05:00:00,66.64,66.76,65.705,66.0,112466.0
2024-01-02 05:00:00,65.48,66.3282,65.07,65.84,175441.0
2024-01-03 05:00:00,65.65,65.65,64.13,64.18,167023.0
2024-01-04 05:00:00,64.38,64.38,63.37,63.89,155735.0
2024-01-05 05:00:00,63.14,64.22,63.01,63.05,143393.0
2024-01-08 05:00:00,62.79,63.89,62.5,63.88,115401.0
2024-01-09 05:00:00,62.72,63.27,62.43,62.98,148213.0
2024-01-10 05:00:00,62.53,63.07,62.28,63.01,110204.0
2024-01-11 05:00:00,62.76,62.76,61.66,62.26,139773.0
2024-01-12 05:00:00,63.31,63.545,62.48,62.8,98424.0
