Date,Open,High,Low,Close,Volume
2025-07-01 04:00:00,7.45,8.61,6.1,8.35,725327
2025-07-02 04:00:00,7.91,8.94,7.51,8.08,342231
2025-07-03 04:00:00,7.88,8.53,7.6,8.5,140224
2025-07-07 04:00:00,8.48,8.5307,7.1501,7.63,248682
2025-07-08 04:00:00,7.7,8.74,7.32,8.2,629144
2025-07-09 04:00:00,7.9,7.99,6.96,7.12,197738
2025-07-10 04:00:00,7.56,8.0,7.01,7.98,199910
2025-07-11 04:00:00,7.71,9.0,7.6,8.99,998620
2025-07-14 04:00:00,9.03,11.4,9.0,10.38,602481
2025-07-15 04:00:00,10.39,10.6,8.555,9.695,420936
2025-07-16 04:00:00,9.69,9.89,8.8321,9.31,267982
2025-07-17 04:00:00,9.8,9.9,8.7501,9.4,332319
2025-07-18 04:00:00,10.0,11.9799,9.54,10.11,548834
2025-07-21 04:00:00,10.05,10.7,9.2,9.21,430542
2025-07-22 04:00:00,9.52,9.52,8.22,8.91,262702
2025-07-23 04:00:00,9.1,9.8,8.44,9.5,231298
2025-07-24 04:00:00,9.54,9.54,8.7101,8.9,96924
2025-07-25 04:00:00,8.87,8.87,7.81,8.41,173342
2025-07-28 04:00:00,8.82,8.82,6.51,6.52,415004
2025-07-29 04:00:00,6.51,7.0,6.23,6.86,206850
2025-07-30 04:00:00,7.0,7.42,6.65,6.74,135617
2025-07-31 04:00:00,6.83,7.15,6.31,6.33,183037
2025-08-01 04:00:00,6.25,6.25,5.7,5.99,235754
2025-08-04 04:00:00,5.87,6.7,5.78,6.49,211958
2025-08-05 04:00:00,6.15,6.61,5.5,5.89,240795
2025-08-06 04:00:00,5.91,6.59,5.65,6.22,259317
2025-08-07 04:00:00,6.61,6.65,5.5601,5.95,331017
2025-08-08 04:00:00,6.25,6.447,5.86,6.16,216472
2025-08-11 04:00:00,6.25,7.9616,6.18,7.39,612236
2025-08-12 04:00:00,7.35,8.57,7.15,8.34,421950
2025-08-13 04:00:00,8.44,9.75,8.41,9.56,467085
2025-08-14 04:00:00,9.1,9.4,8.51,9.195,377422
2025-08-15 04:00:00,9.31,9.31,8.1001,8.4,249702
2025-08-18 04:00:00,8.1,8.73,8.09,8.34,201422
2025-08-19 04:00:00,8.34,8.52,6.5501,6.96,360610
2025-08-20 04:00:00,7.14,7.3909,6.562,6.93,180803
2025-08-21 04:00:00,6.79,7.3092,6.3919,6.45,105010
2025-08-22 04:00:00,6.6,7.884,6.4,7.65,339418
2025-08-25 04:00:00,7.51,7.61,7.0,7.01,163826
2025-08-26 04:00:00,6.99,7.2,6.66,6.96,168898
2025-08-27 04:00:00,7.03,7.27,6.67,6.92,198735
2025-08-28 04:00:00,7.03,7.17,6.44,6.545,190540
2025-08-29 04:00:00,6.67,6.94,5.6,5.82,429835
2025-09-02 04:00:00,5.74,6.5,5.57,6.21,281084
2025-09-03 04:00:00,6.02,6.25,5.8,6.0,133472
2025-09-04 04:00:00,6.0024,6.0024,5.6,5.79,114311
2025-09-05 04:00:00,5.83,6.2,5.67,6.19,169564
