Date,Open,High,Low,Close,Volume
2023-09-08 04:00:00,6.51,6.73,6.35,6.35,183673
2023-09-11 04:00:00,6.43,6.6,6.06,6.13,170354
2023-09-12 04:00:00,6.17,6.47,5.96,5.99,136840
2023-09-13 04:00:00,6.12,6.12,5.88,5.97,59091
2023-09-14 04:00:00,6.11,6.125,5.9758,6.01,42879
2023-09-15 04:00:00,6.01,6.18,5.94,5.94,158647
2023-09-18 04:00:00,5.89,6.18,5.89,6.04,126325
2023-09-19 04:00:00,6.04,6.17,6.0,6.01,107290
2023-09-20 04:00:00,6.14,6.26,5.98,6.01,134800
2023-09-21 04:00:00,5.95,6.15,5.9007,5.98,130077
2023-09-22 04:00:00,6.05,6.28,6.05,6.16,132809
2023-09-25 04:00:00,6.06,6.28,5.9983,6.21,93111
2023-09-26 04:00:00,6.21,6.27,5.95,5.96,30794
2023-09-27 04:00:00,5.98,6.2,5.93,6.01,53155
2023-09-28 04:00:00,6.01,6.11,5.91,6.0,58882
2023-09-29 04:00:00,6.0,6.08,5.77,5.83,92253
2023-10-02 04:00:00,5.79,5.84,5.365,5.6,124689
2023-10-03 04:00:00,5.57,5.6,5.38,5.45,62848
2023-10-04 04:00:00,5.39,5.51,5.1101,5.46,87217
2023-10-05 04:00:00,5.42,5.64,5.42,5.49,36494
2023-10-06 04:00:00,5.45,5.74,5.42,5.45,84188
2023-10-09 04:00:00,5.41,5.45,5.24,5.3,56185
2023-10-10 04:00:00,5.3,5.75,5.3,5.47,52478
2023-10-11 04:00:00,5.47,5.82,5.26,5.3,65055
2023-10-12 04:00:00,5.3,5.47,5.1,5.2,63081
2023-10-13 04:00:00,5.21,5.48,4.9301,5.15,71071
2023-10-16 04:00:00,5.22,5.78,5.22,5.29,62946
2023-10-17 04:00:00,5.29,5.6,5.29,5.44,57306
2023-10-18 04:00:00,5.44,5.74,5.17,5.24,55094
2023-10-19 04:00:00,5.22,5.36,5.07,5.08,38629
2023-10-20 04:00:00,5.09,5.42,5.05,5.22,51911
2023-10-23 04:00:00,5.22,5.46,4.7701,5.25,189164
2023-10-24 04:00:00,5.92,6.85,5.92,6.53,621346
2023-10-25 04:00:00,6.6,7.15,6.58,7.05,227599
2023-10-26 04:00:00,7.07,7.1,6.57,6.71,151866
2023-10-27 04:00:00,6.81,7.198,6.8,6.89,177402
2023-10-30 04:00:00,7.14,7.7,6.97,7.1,287218
2023-10-31 04:00:00,7.0,7.38,6.8,7.03,198379
2023-11-01 04:00:00,7.08,7.19,6.91,7.1,155165
2023-11-02 04:00:00,7.18,7.53,7.04,7.4,204898
2023-11-03 04:00:00,7.62,7.9,7.42,7.88,188484
2023-11-06 05:00:00,8.0,8.148,7.678,7.98,178060
2023-11-07 05:00:00,8.05,8.13,7.95,8.04,129938
2023-11-08 05:00:00,8.16,8.16,7.6,7.97,159004
2023-11-09 05:00:00,8.02,8.06,7.76,7.935,206615
2023-11-10 05:00:00,8.06,8.1,7.76,7.95,192067
2023-11-13 05:00:00,7.93,8.47,7.8501,8.44,242468
2023-11-14 05:00:00,8.4,8.47,8.21,8.29,124018
2023-11-15 05:00:00,8.29,8.46,8.26,8.26,117947
2023-11-16 05:00:00,8.21,8.4,8.15,8.37,145619
2023-11-17 05:00:00,8.47,9.0,8.46,9.0,426891
2023-11-20 05:00:00,9.0,9.49,8.852,9.43,273384
2023-11-21 05:00:00,9.43,9.4999,9.09,9.28,107466
2023-11-22 05:00:00,9.32,9.62,9.29,9.35,93662
2023-11-24 05:00:00,9.29,9.54,9.29,9.4,50109
2023-11-27 05:00:00,9.41,9.59,9.14,9.29,248150
2023-11-28 05:00:00,9.22,9.3,8.83,8.89,238427
2023-11-29 05:00:00,9.04,9.44,9.04,9.35,265075
2023-11-30 05:00:00,9.48,10.23,9.48,10.15,314967
2023-12-01 05:00:00,10.13,10.52,9.71,9.98,189618
2023-12-04 05:00:00,10.0,10.6,9.9,10.4,225757
2023-12-05 05:00:00,10.2,10.37,9.81,9.86,90319
2023-12-06 05:00:00,9.96,9.96,9.45,9.45,125448
2023-12-07 05:00:00,9.39,9.95,9.2,9.64,173831
2023-12-08 05:00:00,9.65,9.88,9.56,9.62,89681
2023-12-11 05:00:00,9.62,10.27,9.4586,10.07,239839
2023-12-12 05:00:00,10.09,10.36,10.05,10.16,77423
2023-12-13 05:00:00,10.28,10.47,10.2,10.45,116124
2023-12-14 05:00:00,10.6,10.66,9.86,10.3,337583
2023-12-15 05:00:00,10.27,10.27,9.4,9.58,248547
2023-12-18 05:00:00,9.69,10.09,9.37,9.94,184258
2023-12-19 05:00:00,9.92,10.24,9.62,9.78,140509
2023-12-20 05:00:00,9.71,9.86,9.3,9.41,114935
2023-12-21 05:00:00,9.55,9.749,9.51,9.64,105652
2023-12-22 05:00:00,9.73,9.73,9.44,9.51,56912
2023-12-26 05:00:00,9.65,10.028,9.4259,9.91,175131
2023-12-27 05:00:00,9.97,10.0247,9.55,9.69,77399
2023-12-28 05:00:00,9.85,9.86,9.5,9.63,65176
2023-12-29 05:00:00,9.6,9.64,9.4,9.53,73393
2024-01-02 05:00:00,9.45,9.5799,9.19,9.46,97041
2024-01-03 05:00:00,9.39,9.47,9.18,9.22,67895
2024-01-04 05:00:00,9.19,9.54,9.16,9.49,77658
2024-01-05 05:00:00,9.49,9.86,9.3,9.78,79120
2024-01-08 05:00:00,9.76,9.78,9.1845,9.46,130993
2024-01-09 05:00:00,9.42,9.67,9.36,9.44,71553
2024-01-10 05:00:00,9.43,9.5546,9.41,9.42,39410
2024-01-11 05:00:00,9.47,9.5,9.1701,9.26,37174
2024-01-12 05:00:00,9.29,9.5,9.28,9.28,60959
2024-01-16 05:00:00,9.13,9.185,8.7,8.83,107729
2024-01-17 05:00:00,8.5,8.7699,8.44,8.53,86342
2024-01-18 05:00:00,8.55,8.74,8.39,8.56,44464
2024-01-19 05:00:00,8.58,8.75,8.42,8.48,69797
2024-01-22 05:00:00,8.48,9.01,8.48,8.86,72938
2024-01-23 05:00:00,8.95,9.14,8.88,8.88,48700
2024-01-24 05:00:00,9.08,9.14,8.69,8.69,51856
2024-01-25 05:00:00,8.71,8.94,8.69,8.92,51286
2024-01-26 05:00:00,9.0,9.06,8.88,8.9,32885
2024-01-29 05:00:00,8.87,8.9895,8.74,8.81,51721
2024-01-30 05:00:00,8.72,8.78,8.65,8.73,46926
2024-01-31 05:00:00,8.78,8.8,8.47,8.47,48815
2024-02-01 05:00:00,8.5,8.7,8.39,8.53,98684
2024-02-02 05:00:00,8.53,8.539,8.12,8.24,92413
2024-02-05 05:00:00,8.2,8.62,8.16,8.3,62978
2024-02-06 05:00:00,8.21,8.6499,8.21,8.39,53006
2024-02-07 05:00:00,8.4,8.5,8.204,8.45,69731
2024-02-08 05:00:00,8.44,8.7,8.355,8.64,64220
2024-02-09 05:00:00,8.41,8.5609,8.02,8.06,132992
2024-02-12 05:00:00,8.09,8.84,8.09,8.59,136377
2024-02-13 05:00:00,8.4,8.526,8.18,8.24,71641
2024-02-14 05:00:00,8.39,8.68,8.39,8.62,68692
2024-02-15 05:00:00,8.88,9.2399,8.751,9.15,131812
2024-02-16 05:00:00,9.15,9.15,8.88,8.97,50223
2024-02-20 05:00:00,8.95,9.12,8.83,9.06,75619
2024-02-21 05:00:00,9.03,9.04,8.7109,8.9,95573
2024-02-22 05:00:00,9.02,9.295,8.9514,9.27,61226
2024-02-23 05:00:00,9.37,9.37,9.078,9.22,46456
2024-02-26 05:00:00,9.1,9.77,9.01,9.55,156612
2024-02-27 05:00:00,9.68,9.68,9.17,9.6,124637
2024-02-28 05:00:00,9.74,9.74,8.84,8.92,169339
2024-02-29 05:00:00,9.16,10.09,8.97,9.45,266984
2024-03-01 05:00:00,9.37,9.37,8.46,8.97,195630
2024-03-04 05:00:00,8.85,8.88,8.22,8.41,224157
2024-03-05 05:00:00,8.3,8.57,8.21,8.54,109151
2024-03-06 05:00:00,8.57,9.07,8.57,8.88,105817
2024-03-07 05:00:00,8.93,9.47,8.8201,9.31,130640
2024-03-08 05:00:00,9.39,9.875,9.35,9.64,227632
2024-03-11 04:00:00,9.73,9.91,9.54,9.6,255669
2024-03-12 04:00:00,9.61,9.93,9.59,9.68,125697
2024-03-13 04:00:00,9.76,10.375,9.76,10.08,286281
2024-03-14 04:00:00,10.06,10.1505,9.8,9.98,142820
2024-03-15 04:00:00,9.99,10.42,9.83,10.16,200738
2024-03-18 04:00:00,10.24,10.55,10.09,10.35,188678
2024-03-19 04:00:00,10.31,10.7,10.25,10.54,190931
2024-03-20 04:00:00,10.57,10.83,10.4301,10.73,180666
2024-03-21 04:00:00,10.76,10.76,10.35,10.38,85572
2024-03-22 04:00:00,10.43,10.44,9.98,10.13,95764
2024-03-25 04:00:00,10.31,10.99,10.31,10.86,171754
2024-03-26 04:00:00,10.96,11.2285,10.8,10.99,120913
2024-03-27 04:00:00,11.11,11.11,10.41,10.6,101931
2024-03-28 04:00:00,10.59,10.7899,10.101,10.18,81038
2024-04-01 04:00:00,10.34,10.65,10.08,10.33,142405
2024-04-02 04:00:00,10.24,10.24,9.75,9.98,81762
2024-04-03 04:00:00,9.88,10.14,9.81,9.81,63999
2024-04-04 04:00:00,9.8,10.24,9.8,9.84,78306
2024-04-05 04:00:00,9.74,10.1,9.7,9.95,75848
2024-04-08 04:00:00,9.96,9.96,9.66,9.82,98431
2024-04-09 04:00:00,9.92,10.17,9.89,10.16,50758
2024-04-10 04:00:00,10.09,10.09,9.47,9.53,60223
2024-04-11 04:00:00,9.52,9.68,9.22,9.56,42032
2024-04-12 04:00:00,9.53,9.53,9.13,9.16,59031
2024-04-15 04:00:00,9.15,9.3414,8.91,9.05,52479
2024-04-16 04:00:00,9.03,9.06,8.81,8.92,59623
2024-04-17 04:00:00,9.03,9.11,8.83,8.84,45144
2024-04-18 04:00:00,8.85,9.1599,8.82,9.03,52142
2024-04-19 04:00:00,9.04,9.17,8.86,8.91,57716
2024-04-22 04:00:00,8.95,9.3799,8.85,9.27,95711
2024-04-23 04:00:00,9.38,9.49,9.135,9.33,65641
2024-04-24 04:00:00,8.76,8.915,8.28,8.58,187545
2024-04-25 04:00:00,8.59,8.6044,8.2,8.5,112573
2024-04-26 04:00:00,8.64,8.67,8.41,8.58,91865
2024-04-29 04:00:00,8.64,8.79,8.285,8.36,116119
2024-04-30 04:00:00,8.76,9.48,8.635,8.91,230085
2024-05-01 04:00:00,8.99,9.03,8.5,8.5,147307
