Date,Open,High,Low,Close,Volume
2025-02-27 05:00:00,4.1,4.28,3.49,3.6,740838.0
2025-02-28 05:00:00,3.415,4.0,3.1,3.76,178418.0
2025-03-03 05:00:00,3.43,3.855,3.4201,3.8,32994.0
2025-03-04 05:00:00,3.8,3.8,3.45,3.6,49696.0
2025-03-05 05:00:00,3.83,3.88,3.59,3.67,46299.0
2025-03-06 05:00:00,3.67,3.7,3.55,3.69,25062.0
2025-03-07 05:00:00,3.601,3.68,3.6,3.65,14798.0
2025-03-10 04:00:00,3.7854,3.85,3.602,3.65,27790.0
2025-03-11 04:00:00,3.65,3.79,3.6,3.6,966.0
2025-03-12 04:00:00,3.6,3.85,3.6,3.7545,26668.0
2025-03-13 04:00:00,3.79,3.9,3.7502,3.8,84633.0
2025-03-14 04:00:00,3.71,3.9899,3.71,3.9,62720.0
2025-03-17 04:00:00,3.9,3.9,3.6192,3.85,30645.0
2025-03-18 04:00:00,3.89,3.89,3.6253,3.775,9089.0
2025-03-19 04:00:00,3.84,3.99,3.7,3.99,16783.0
2025-03-20 04:00:00,3.8895,4.1,3.8,4.05,158429.0
2025-03-21 04:00:00,4.01,4.1,3.75,3.9,29023.0
2025-03-24 04:00:00,3.99,4.0,3.89,4.0,35090.0
2025-03-25 04:00:00,3.99,3.99,3.9,3.97,24119.0
2025-03-26 04:00:00,3.91,3.9787,3.7,3.8,53160.0
2025-03-27 04:00:00,3.648,3.91,3.648,3.81,92921.0
2025-03-28 04:00:00,3.9,3.96,3.7,3.96,21800.0
2025-03-31 04:00:00,3.94,3.99,3.88,3.89,22526.0
2025-04-01 04:00:00,3.88,3.98,3.78,3.93,32289.0
2025-04-02 04:00:00,3.97,4.0,3.75,3.9214,14783.0
2025-04-03 04:00:00,3.8,3.99,3.8,3.92,10819.0
2025-04-04 04:00:00,3.7,3.99,3.58,3.93,18620.0
2025-04-07 04:00:00,3.71,3.94,3.71,3.77,21655.0
2025-04-08 04:00:00,3.98,4.0,3.7163,4.0,13475.0
2025-04-09 04:00:00,3.9,3.95,3.89,3.89,1415.0
2025-04-10 04:00:00,3.7,3.9,3.7,3.75,11048.0
2025-04-11 04:00:00,3.8,3.9,3.73,3.9,10004.0
2025-04-14 04:00:00,3.94,4.1,3.69,3.99,21321.0
2025-04-15 04:00:00,3.9782,3.9782,3.87,3.87,4876.0
2025-04-16 04:00:00,4.0146,4.06,3.795,4.05,1674.0
2025-04-17 04:00:00,3.87,3.91,3.87,3.9,1124.0
2025-04-21 04:00:00,4.04,4.04,3.98,4.01,1271.0
2025-04-22 04:00:00,4.29,4.29,3.955,4.09,8293.0
2025-04-23 04:00:00,4.29,4.29,3.99,4.2,30415.0
2025-04-24 04:00:00,4.05,4.2,4.05,4.1055,5958.0
2025-04-25 04:00:00,4.1,4.3,4.09,4.3,27056.0
2025-04-28 04:00:00,4.17,4.215,4.055,4.12,24803.0
2025-04-29 04:00:00,4.15,4.155,4.11,4.15,16179.0
2025-04-30 04:00:00,4.15,4.17,4.09,4.12,16122.0
2025-05-01 04:00:00,4.1,4.265,4.01,4.13,115583.0
2025-05-02 04:00:00,4.1391,4.215,3.83,4.167,99171.0
2025-05-05 04:00:00,3.98,4.14,3.84,3.84,3634.0
2025-05-06 04:00:00,3.88,4.17,3.88,4.01,17044.0
2025-05-07 04:00:00,4.1,4.1001,3.76,3.76,3626.0
2025-05-08 04:00:00,3.99,3.9925,3.88,3.945,4171.0
2025-05-09 04:00:00,3.96,3.97,3.8,3.81,2569.0
2025-05-12 04:00:00,3.73,3.88,3.73,3.88,480.0
2025-05-13 04:00:00,3.92,4.0,3.92,4.0,877.0
2025-05-14 04:00:00,3.9998,3.9998,3.9998,3.9998,291.0
2025-05-19 04:00:00,3.751,3.751,3.59,3.6,11695.0
2025-05-20 04:00:00,3.4502,3.5735,3.23,3.23,14115.0
2025-05-21 04:00:00,3.0,3.0,2.34,2.5,85111.0
2025-05-22 04:00:00,2.42,2.56,2.24,2.24,32727.0
2025-05-23 04:00:00,2.11,2.285,1.94,1.94,31096.0
2025-05-27 04:00:00,1.88,2.25,1.5,1.67,297725.0
2025-05-28 04:00:00,1.69,2.0,1.551,1.96,115082.0
2025-05-29 04:00:00,3.87,4.25,2.27,3.31,27805945.0
2025-05-30 04:00:00,3.38,3.66,2.65,2.9,802364.0
2025-06-02 04:00:00,3.31,3.62,2.29,2.71,11372153.0
2025-06-03 04:00:00,2.74,2.8,2.3,2.46,739375.0
2025-06-04 04:00:00,2.8,2.91,2.66,2.82,459491.0
2025-06-05 04:00:00,2.94,3.13,2.55,2.56,271529.0
2025-06-06 04:00:00,2.9,2.9,2.52,2.83,195842.0
2025-06-09 04:00:00,2.9,2.9,2.0,2.62,122479.0
2025-06-10 04:00:00,3.0,3.0494,2.75,2.8,199588.0
2025-06-11 04:00:00,2.79,2.8989,2.74,2.87,68676.0
2025-06-12 04:00:00,2.8,2.97,2.7536,2.92,229020.0
2025-06-13 04:00:00,2.76,2.92,2.69,2.73,123536.0
2025-06-16 04:00:00,2.75,2.82,2.5,2.6,119922.0
2025-06-17 04:00:00,2.7,2.86,2.51,2.55,37097.0
2025-06-18 04:00:00,2.57,2.8099,2.49,2.64,58615.0
2025-06-20 04:00:00,2.57,2.7815,2.53,2.54,39890.0
2025-06-23 04:00:00,2.49,2.61,2.39,2.39,135624.0
2025-06-24 04:00:00,2.362,2.49,2.2,2.46,70285.0
2025-06-25 04:00:00,2.39,2.39,2.2046,2.27,26750.0
2025-06-26 04:00:00,2.25,2.385,2.25,2.3,15171.0
2025-06-27 04:00:00,2.25,2.31,2.19,2.31,27306.0
2025-06-30 04:00:00,2.31,2.6163,2.2,2.23,22108.0
2025-07-01 04:00:00,4.17,4.18,1.89,2.05,43380708.0
2025-07-02 04:00:00,1.86,2.0,1.75,1.95,748903.0
2025-07-03 04:00:00,2.0,2.165,1.8403,1.85,349135.0
2025-07-07 04:00:00,1.82,1.85,1.61,1.66,277609.0
2025-07-08 04:00:00,1.65,1.66,1.5,1.59,295164.0
2025-07-09 04:00:00,1.72,1.8156,1.66,1.72,165137.0
2025-07-10 04:00:00,1.69,1.7534,1.65,1.72,67329.0
2025-07-11 04:00:00,1.82,2.04,1.7582,1.81,342388.0
2025-07-14 04:00:00,1.75,2.31,1.72,2.07,2076438.0
2025-07-15 04:00:00,2.05,2.22,1.9492,2.07,402111.0
2025-07-16 04:00:00,2.16,2.16,2.0,2.09,167111.0
2025-07-17 04:00:00,2.24,2.27,2.02,2.13,228746.0
2025-07-18 04:00:00,2.12,2.27,2.04,2.2,195739.0
2025-07-21 04:00:00,2.19,2.25,2.05,2.15,233324.0
2025-07-22 04:00:00,2.14,2.16,2.06,2.07,130832.0
2025-07-23 04:00:00,2.03,2.0635,1.95,1.97,82967.0
2025-07-24 04:00:00,2.03,2.05,1.85,1.86,76144.0
2025-07-25 04:00:00,1.91,1.91,1.8,1.84,35330.0
2025-07-28 04:00:00,1.99,1.99,1.87,1.88,36917.0
2025-07-29 04:00:00,1.83,1.9,1.75,1.76,119985.0
2025-07-30 04:00:00,1.79,1.8928,1.74,1.76,63908.0
2025-07-31 04:00:00,1.78,1.85,1.6849,1.82,81758.0
2025-08-01 04:00:00,1.84,1.85,1.6801,1.7,53240.0
2025-08-04 04:00:00,1.69,1.78,1.69,1.73,31146.0
2025-08-05 04:00:00,1.77,1.85,1.73,1.84,67534.0
2025-08-06 04:00:00,1.9,2.009,1.82,1.82,100103.0
2025-08-07 04:00:00,1.84,2.0,1.84,1.99,38096.0
2025-08-08 04:00:00,2.19,2.19,1.6511,1.92,2845625.0
2025-08-11 04:00:00,2.0,2.18,1.95,2.07,174140.0
2025-08-12 04:00:00,1.98,2.1,1.9,1.94,54908.0
2025-08-13 04:00:00,1.93,2.13,1.8724,1.9,88295.0
2025-08-14 04:00:00,1.95,2.02,1.8,1.98,60892.0
2025-08-15 04:00:00,1.97,1.97,1.9,1.92,38897.0
2025-08-18 04:00:00,1.92,1.9996,1.8713,1.92,35118.0
2025-08-19 04:00:00,1.91,2.0499,1.87,1.93,42058.0
2025-08-20 04:00:00,1.94,1.96,1.77,1.91,74206.0
2025-08-21 04:00:00,1.85,2.0,1.85,2.0,54196.0
2025-08-22 04:00:00,1.97,2.18,1.97,2.09,129507.0
2025-08-25 04:00:00,2.05,2.14,2.01,2.13,43630.0
2025-08-26 04:00:00,2.15,2.28,2.08,2.18,85304.0
2025-08-27 04:00:00,2.12,2.228,2.1,2.17,53626.0
2025-08-28 04:00:00,2.2,2.25,2.1201,2.235,48392.0
2025-08-29 04:00:00,2.14,2.2517,2.14,2.1901,51259.0
2025-09-02 04:00:00,2.15,2.38,2.15,2.38,117641.0
2025-09-03 04:00:00,2.47,2.47,2.0013,2.33,505751.0
2025-09-04 04:00:00,2.3021,2.41,2.26,2.33,31764.0
2025-09-05 04:00:00,2.42,2.42,2.26,2.32,36110.0
