Date,Open,High,Low,Close,Volume
2023-09-08 04:00:00,8.56,10.32,8.248,10.32,7893.25
2023-09-11 04:00:00,10.0,13.5736,9.6,11.2,71365.125
2023-09-12 04:00:00,11.44,12.392,10.4,11.2,16158.125
2023-09-13 04:00:00,10.96,10.96,9.36,9.6,20231.625
2023-09-14 04:00:00,9.44,10.76,9.44,10.32,6636.625
2023-09-15 04:00:00,10.4,11.1976,10.32,10.8,4944.0
2023-09-18 04:00:00,11.04,11.12,10.16,10.24,4098.375
2023-09-19 04:00:00,10.504,10.8,10.32,10.32,648.375
2023-09-20 04:00:00,10.56,10.56,9.2,9.28,4694.125
2023-09-21 04:00:00,9.28,9.6,8.8,8.8,3637.625
2023-09-22 04:00:00,8.64,10.0,8.168,8.32,11917.75
2023-09-25 04:00:00,8.4,9.52,8.24,8.48,8742.25
2023-09-26 04:00:00,8.4,8.8,8.24,8.28,3516.5
2023-09-27 04:00:00,8.56,8.6,8.32,8.4544,3283.75
2023-09-28 04:00:00,8.32,8.64,8.32,8.32,1689.75
2023-09-29 04:00:00,8.48,8.48,8.2448,8.28,1071.625
2023-10-02 04:00:00,8.32,8.44,8.24,8.32,1933.5
2023-10-03 04:00:00,8.16,8.24,8.08,8.24,1181.125
2023-10-04 04:00:00,8.08,8.16,7.36,7.52,4251.875
2023-10-05 04:00:00,7.84,8.24,7.7272,7.9208,1577.875
2023-10-06 04:00:00,7.84,7.84,7.2,7.44,1473.5
2023-10-09 04:00:00,7.52,8.0,7.52,7.7616,1336.5
2023-10-10 04:00:00,7.84,8.2392,7.6,7.6,6484.125
2023-10-11 04:00:00,7.6856,8.0,7.6,7.6,776.75
2023-10-12 04:00:00,7.84,7.92,7.48,7.52,1582.75
2023-10-13 04:00:00,7.76,8.0,7.32,8.0,3522.625
2023-10-16 04:00:00,8.0,8.0,7.616,7.76,278.625
2023-10-17 04:00:00,7.6832,8.0,7.6808,7.6808,1148.625
2023-10-18 04:00:00,7.7128,8.0,7.712,8.0,616.0
2023-10-19 04:00:00,8.0,8.0,7.6,7.6,506.875
2023-10-20 04:00:00,7.76,7.76,7.4,7.68,1570.0
2023-10-23 04:00:00,7.6528,7.9928,7.4408,7.62,407.25
2023-10-24 04:00:00,7.2832,7.68,7.2832,7.68,815.875
2023-10-25 04:00:00,7.424,7.68,7.3792,7.3792,494.875
2023-10-26 04:00:00,7.6,7.9992,7.5122,7.6,533.75
2023-10-27 04:00:00,7.52,7.68,7.04,7.28,1014.25
2023-10-30 04:00:00,7.76,7.76,6.5736,7.3592,1082.0
2023-10-31 04:00:00,7.36,7.5072,4.48,4.7208,10767.0
2023-11-01 04:00:00,5.1472,6.8,4.8,5.5634,10997.375
2023-11-02 04:00:00,5.8,5.998,5.12,5.4296,2441.0
2023-11-03 04:00:00,5.28,5.92,5.28,5.6928,1839.5
2023-11-06 05:00:00,5.6928,5.9192,5.5456,5.68,572.625
2023-11-07 05:00:00,5.76,5.92,5.36,5.52,1670.125
2023-11-08 05:00:00,5.9192,5.9192,5.3608,5.48,1900.5
2023-11-09 05:00:00,5.7536,5.92,5.405,5.504,2119.0
2023-11-10 05:00:00,5.92,5.92,5.6,5.68,4247.25
2023-11-13 05:00:00,5.68,5.762,5.5192,5.5344,2048.875
2023-11-14 05:00:00,5.5344,5.6,5.2,5.2,3944.625
2023-11-15 05:00:00,5.2,5.6,5.1992,5.32,1857.0
2023-11-16 05:00:00,5.52,5.5464,5.2824,5.2968,514.25
2023-11-17 05:00:00,5.52,5.6,5.2136,5.24,1728.5
2023-11-20 05:00:00,5.44,5.44,5.2,5.2,962.375
2023-11-21 05:00:00,5.12,5.36,5.064,5.36,798.875
2023-11-22 05:00:00,5.28,5.28,5.044,5.28,493.875
2023-11-24 05:00:00,5.2768,5.28,5.1064,5.2728,724.5
2023-11-27 05:00:00,5.36,5.36,5.16,5.16,2580.875
2023-11-28 05:00:00,5.2,5.352,4.96,5.04,1221.875
2023-11-29 05:00:00,5.2928,5.3592,5.0648,5.088,880.5
2023-11-30 05:00:00,5.08,5.8808,5.08,5.5992,21671.75
2023-12-01 05:00:00,5.6,5.6,5.36,5.6,1813.125
2023-12-04 05:00:00,5.76,5.92,5.5992,5.832,3647.5
2023-12-05 05:00:00,5.92,5.92,5.8408,5.912,4542.125
2023-12-06 05:00:00,5.9104,6.9592,5.7488,6.28,6402.5
